Sample 1 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity 1	Sample 1 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity 1	Sample 2 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity 1	Sample 2 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity 1	Sample 3 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity 1	Sample 3 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity 1	Sample 4 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity 1	Sample 4 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity 1	
3,328125E+2	3,382520E-1	3,328125E+2	4,810574E-2	3,328125E+2	1,086313E-1	3,328125E+2	-2,760547E-1	3,328125E+2	-1,669013E-1	3,328125E+2	-5,434599E-1	3,328125E+2	-2,026055E-1	3,328125E+2	-4,681612E-1
3,343750E+2	3,114216E-1	3,343750E+2	-2,301834E-2	3,343750E+2	1,158782E-1	3,343750E+2	-2,912959E-1	3,343750E+2	-1,698017E-1	3,343750E+2	-5,751323E-1	3,343750E+2	-2,032906E-1	3,343750E+2	-4,813945E-1
3,359375E+2	3,149232E-1	3,359375E+2	-4,997930E-2	3,359375E+2	1,238154E-1	3,359375E+2	-3,126876E-1	3,359375E+2	-1,684247E-1	3,359375E+2	-6,046370E-1	3,359375E+2	-1,970497E-1	3,359375E+2	-4,913343E-1
3,375000E+2	3,192835E-1	3,375000E+2	-7,787790E-2	3,375000E+2	1,322679E-1	3,375000E+2	-3,342023E-1	3,375000E+2	-1,676919E-1	3,375000E+2	-6,345584E-1	3,375000E+2	-1,908399E-1	3,375000E+2	-5,010747E-1
3,390625E+2	3,242306E-1	3,390625E+2	-1,024991E-1	3,390625E+2	1,410421E-1	3,390625E+2	-3,595328E-1	3,390625E+2	-1,615354E-1	3,390625E+2	-6,511534E-1	3,390625E+2	-1,843145E-1	3,390625E+2	-5,144500E-1
3,406250E+2	3,297634E-1	3,406250E+2	-1,279436E-1	3,406250E+2	1,503832E-1	3,406250E+2	-3,853899E-1	3,406250E+2	-1,556970E-1	3,406250E+2	-6,673886E-1	3,406250E+2	-1,777819E-1	3,406250E+2	-5,276500E-1
3,421875E+2	3,355699E-1	3,421875E+2	-1,502334E-1	3,421875E+2	1,591737E-1	3,421875E+2	-4,132742E-1	3,421875E+2	-1,463861E-1	3,421875E+2	-6,853119E-1	3,421875E+2	-1,669277E-1	3,421875E+2	-5,362817E-1
3,437500E+2	3,417663E-1	3,437500E+2	-1,731600E-1	3,437500E+2	1,681911E-1	3,437500E+2	-4,418431E-1	3,437500E+2	-1,373772E-1	3,437500E+2	-7,027934E-1	3,437500E+2	-1,562290E-1	3,437500E+2	-5,447417E-1
3,453125E+2	3,489656E-1	3,453125E+2	-1,938923E-1	3,453125E+2	1,774228E-1	3,453125E+2	-4,704704E-1	3,453125E+2	-1,250743E-1	3,453125E+2	-7,061842E-1	3,453125E+2	-1,453921E-1	3,453125E+2	-5,547334E-1
3,468750E+2	3,565093E-1	3,468750E+2	-2,150645E-1	3,468750E+2	1,869114E-1	3,468750E+2	-4,997026E-1	3,468750E+2	-1,133597E-1	3,468750E+2	-7,097109E-1	3,468750E+2	-1,346667E-1	3,468750E+2	-5,645362E-1
3,484375E+2	3,671240E-1	3,484375E+2	-2,347524E-1	3,484375E+2	1,961074E-1	3,484375E+2	-5,287727E-1	3,484375E+2	-1,005912E-1	3,484375E+2	-7,166695E-1	3,484375E+2	-1,242783E-1	3,484375E+2	-5,746387E-1
3,500000E+2	3,782041E-1	3,500000E+2	-2,546146E-1	3,500000E+2	2,051304E-1	3,500000E+2	-5,582512E-1	3,500000E+2	-8,836512E-2	3,500000E+2	-7,235011E-1	3,500000E+2	-1,139796E-1	3,500000E+2	-5,845373E-1
3,515625E+2	3,945074E-1	3,515625E+2	-2,726582E-1	3,515625E+2	2,121730E-1	3,515625E+2	-5,835296E-1	3,515625E+2	-7,517901E-2	3,515625E+2	-7,286265E-1	3,515625E+2	-1,043729E-1	3,515625E+2	-5,948868E-1
3,531250E+2	4,115363E-1	3,531250E+2	-2,904620E-1	3,531250E+2	2,187491E-1	3,531250E+2	-6,087655E-1	3,531250E+2	-6,261267E-2	3,531250E+2	-7,336946E-1	3,531250E+2	-9,481411E-2	3,531250E+2	-6,050753E-1
3,546875E+2	3,401494E-1	3,546875E+2	-6,284035E-1	3,546875E+2	2,139280E-1	3,546875E+2	-6,204001E-1	3,546875E+2	-4,861405E-2	3,546875E+2	-7,320993E-1	3,546875E+2	-8,692343E-2	3,546875E+2	-6,149803E-1
3,562500E+2	2,371954E-1	3,562500E+2	-7,591939E-1	3,562500E+2	2,094681E-1	3,562500E+2	-6,318372E-1	3,562500E+2	-3,554697E-2	3,562500E+2	-7,308817E-1	3,562500E+2	-7,904500E-2	3,562500E+2	-6,247732E-1
3,578125E+2	2,427498E-1	3,578125E+2	-7,616588E-1	3,578125E+2	1,050498E-1	3,578125E+2	-4,786840E-1	3,578125E+2	-2,177396E-2	3,578125E+2	-7,266935E-1	3,578125E+2	-7,368254E-2	3,578125E+2	-6,377546E-1
3,593750E+2	2,480742E-1	3,593750E+2	-7,640915E-1	3,593750E+2	6,159433E-2	3,593750E+2	-4,164791E-1	3,593750E+2	-8,965264E-3	3,593750E+2	-7,230641E-1	3,593750E+2	-6,819251E-2	3,593750E+2	-6,507150E-1
3,609375E+2	3,729807E-1	3,609375E+2	-7,546206E-1	3,609375E+2	8,620640E-2	3,609375E+2	-4,815771E-1	3,609375E+2	6,185358E-3	3,609375E+2	-7,252009E-1	3,609375E+2	2,033648E-1	3,609375E+2	-2,197664E-1
