Sample 1_Frequency [Hz]	Normal Sound Transmission Loss [dB]	Sample 2_Frequency [Hz]	Normal Sound Transmission Loss [dB]	Sample 3_Frequency [Hz]	Normal Sound Transmission Loss [dB]	Sample 4_Frequency [Hz]	Normal Sound Transmission Loss [dB]	
3,718750E+2	-1,963281E+0	3,718750E+2	-3,603797E+0	3,718750E+2	-2,192744E+0	3,718750E+2	5,697427E+0
3,734375E+2	-2,064696E+0	3,734375E+2	-3,686865E+0	3,734375E+2	-2,087896E+0	3,734375E+2	5,659392E+0
3,750000E+2	-2,167659E+0	3,750000E+2	-3,770697E+0	3,750000E+2	-1,980530E+0	3,750000E+2	5,620788E+0
3,765625E+2	-2,276503E+0	3,765625E+2	-3,834597E+0	3,765625E+2	-2,160914E+0	3,765625E+2	5,571142E+0
3,781250E+2	-2,387262E+0	3,781250E+2	-3,898925E+0	3,781250E+2	-2,854832E+0	3,781250E+2	5,520999E+0
3,796875E+2	-2,498689E+0	3,796875E+2	-3,947615E+0	3,796875E+2	-2,737498E+0	3,796875E+2	2,238026E+0
3,812500E+2	-2,612233E+0	3,812500E+2	-3,996207E+0	3,812500E+2	-2,620736E+0	3,812500E+2	-4,072148E+0
3,828125E+2	-2,789534E+0	3,828125E+2	-4,034576E+0	3,828125E+2	-2,529701E+0	3,828125E+2	-4,107627E+0
3,843750E+2	-2,972469E+0	3,843750E+2	-4,072853E+0	3,843750E+2	-2,439051E+0	3,843750E+2	-4,141086E+0
3,859375E+2	-3,192431E+0	3,859375E+2	-4,102961E+0	3,859375E+2	-2,385760E+0	3,859375E+2	-4,681138E-1
3,875000E+2	-3,422915E+0	3,875000E+2	-4,132868E+0	3,875000E+2	-2,332474E+0	3,875000E+2	2,974601E+0
3,890625E+2	-1,864150E+0	3,890625E+2	-4,148192E+0	3,890625E+2	-2,360290E+0	3,890625E+2	3,565117E+0
3,906250E+2	-3,307684E-1	3,906250E+2	-4,162945E+0	3,906250E+2	-2,388022E+0	3,906250E+2	4,120584E+0
