Sample 1 - Real_Frequency [Hz]	T22 Transfer Matrix Coefficient	Sample 1 - Imag_Frequency [Hz]	T22 Transfer Matrix Coefficient	Sample 2 - Real_Frequency [Hz]	T22 Transfer Matrix Coefficient	Sample 2 - Imag_Frequency [Hz]	T22 Transfer Matrix Coefficient	Sample 3 - Real_Frequency [Hz]	T22 Transfer Matrix Coefficient	Sample 3 - Imag_Frequency [Hz]	T22 Transfer Matrix Coefficient	Sample 4 - Real_Frequency [Hz]	T22 Transfer Matrix Coefficient	Sample 4 - Imag_Frequency [Hz]	T22 Transfer Matrix Coefficient	
3,000000E+2	-4,831466E-1	3,000000E+2	-2,608954E-1	3,000000E+2	-6,829886E-1	3,000000E+2	-1,678706E-1	3,000000E+2	-3,539363E-1	3,000000E+2	-2,237720E-1	3,000000E+2	-4,252936E-1	3,000000E+2	-1,659479E-1
3,015625E+2	-4,864555E-1	3,015625E+2	-2,638100E-1	3,015625E+2	-6,884614E-1	3,015625E+2	-1,669194E-1	3,015625E+2	-3,547873E-1	3,015625E+2	-2,247657E-1	3,015625E+2	-2,571588E-1	3,015625E+2	-4,332276E-1
3,031250E+2	-4,890194E-1	3,031250E+2	-2,664464E-1	3,031250E+2	-6,930404E-1	3,031250E+2	-1,660289E-1	3,031250E+2	-3,550732E-1	3,031250E+2	-2,252375E-1	3,031250E+2	6,078279E-2	3,031250E+2	-6,532117E-2
3,046875E+2	-4,937101E-1	3,046875E+2	-2,681343E-1	3,046875E+2	-5,481576E-1	3,046875E+2	-2,326358E-1	3,046875E+2	-1,053697E-1	3,046875E+2	-4,053849E-1	3,046875E+2	4,659505E-2	3,046875E+2	-7,309238E-2
3,062500E+2	-4,974734E-1	3,062500E+2	-2,701802E-1	3,062500E+2	-4,828444E-1	3,062500E+2	-2,078562E-1	3,062500E+2	1,658473E-1	3,062500E+2	-8,529230E-4	3,062500E+2	3,299607E-2	3,062500E+2	-8,109776E-2
3,078125E+2	-4,952895E-1	3,078125E+2	-2,768137E-1	3,078125E+2	-5,011121E-1	3,078125E+2	-2,069030E-1	3,078125E+2	1,428943E-1	3,078125E+2	-8,575614E-3	3,078125E+2	1,805739E-2	3,078125E+2	-8,831625E-2
3,093750E+2	-4,930660E-1	3,093750E+2	-2,821480E-1	3,093750E+2	-5,172129E-1	3,093750E+2	-2,059129E-1	3,093750E+2	1,204059E-1	3,093750E+2	-1,682611E-2	3,093750E+2	3,734586E-3	3,093750E+2	-9,567422E-2
3,109375E+2	-4,387365E-1	3,109375E+2	-3,909746E-1	3,109375E+2	-5,314446E-1	3,109375E+2	-2,044272E-1	3,109375E+2	9,652621E-2	3,109375E+2	-2,458611E-2	3,109375E+2	-1,241274E-2	3,109375E+2	-1,022737E-1
3,125000E+2	-3,416886E-1	3,125000E+2	-4,276321E-1	3,125000E+2	-5,438674E-1	3,125000E+2	-2,028040E-1	3,125000E+2	7,328270E-2	3,125000E+2	-3,274151E-2	3,125000E+2	-2,806248E-2	3,125000E+2	-1,089632E-1
3,140625E+2	-3,590903E-1	3,140625E+2	-4,217828E-1	3,140625E+2	-5,544281E-1	3,140625E+2	-2,013158E-1	3,140625E+2	8,436200E-3	3,140625E+2	-1,791254E-2	3,140625E+2	-5,167263E-2	3,140625E+2	-1,195456E-1
3,156250E+2	-3,754836E-1	3,156250E+2	-4,163985E-1	3,156250E+2	-5,639700E-1	3,156250E+2	-1,995300E-1	3,156250E+2	-2,730836E-2	3,156250E+2	-8,766991E-2	3,156250E+2	-4,732068E-2	3,156250E+2	-1,324214E-1
3,171875E+2	-4,015492E-1	3,171875E+2	-3,959270E-1	3,171875E+2	-4,701628E-1	3,171875E+2	-3,437592E-1	3,171875E+2	-3,056472E-2	3,171875E+2	-8,845493E-2	3,171875E+2	-4,938551E-2	3,171875E+2	-1,349076E-1
3,187500E+2	-4,264133E-1	3,187500E+2	-3,894920E-1	3,187500E+2	-2,535586E-1	3,187500E+2	-1,370602E-1	3,187500E+2	-3,333495E-2	3,187500E+2	-8,934497E-2	3,187500E+2	-5,073178E-2	3,187500E+2	-1,376280E-1
3,203125E+2	-4,354849E-1	3,203125E+2	-3,895109E-1	3,203125E+2	-2,817587E-1	3,203125E+2	-1,319681E-1	3,203125E+2	-3,672564E-2	3,203125E+2	-9,043658E-2	3,203125E+2	-5,188955E-2	3,203125E+2	-1,401218E-1
3,218750E+2	-4,442691E-1	3,218750E+2	-3,895124E-1	3,218750E+2	-3,064805E-1	3,218750E+2	-1,274638E-1	3,218750E+2	-3,960543E-2	3,218750E+2	-9,159749E-2	3,218750E+2	-5,241555E-2	3,218750E+2	-1,428394E-1
3,234375E+2	-4,531037E-1	3,234375E+2	-3,892397E-1	3,234375E+2	-3,275897E-1	3,234375E+2	-1,232571E-1	3,234375E+2	-4,245797E-2	3,234375E+2	-9,268646E-2	3,234375E+2	-5,355037E-2	3,234375E+2	-1,455699E-1
