Sample 1 - Real_Frequency [Hz]	T12 Transfer Matrix Coefficient	Sample 1 - Imag_Frequency [Hz]	T12 Transfer Matrix Coefficient	Sample 2 - Real_Frequency [Hz]	T12 Transfer Matrix Coefficient	Sample 2 - Imag_Frequency [Hz]	T12 Transfer Matrix Coefficient	Sample 3 - Real_Frequency [Hz]	T12 Transfer Matrix Coefficient	Sample 3 - Imag_Frequency [Hz]	T12 Transfer Matrix Coefficient	Sample 4 - Real_Frequency [Hz]	T12 Transfer Matrix Coefficient	Sample 4 - Imag_Frequency [Hz]	T12 Transfer Matrix Coefficient	
3,328125E+2	6,725098E+1	3,328125E+2	-3,853819E+2	3,328125E+2	3,223677E+1	3,328125E+2	-3,980848E+2	3,328125E+2	2,205321E+1	3,328125E+2	-3,041151E+2	3,328125E+2	3,191906E+1	3,328125E+2	-2,935200E+2
3,343750E+2	6,669100E+1	3,343750E+2	-3,822326E+2	3,343750E+2	3,181154E+1	3,343750E+2	-3,958039E+2	3,343750E+2	2,195817E+1	3,343750E+2	-3,022804E+2	3,343750E+2	3,177608E+1	3,343750E+2	-2,917516E+2
3,359375E+2	6,528357E+1	3,359375E+2	-3,796756E+2	3,359375E+2	3,131966E+1	3,359375E+2	-3,933675E+2	3,359375E+2	2,184509E+1	3,359375E+2	-3,004460E+2	3,359375E+2	3,156827E+1	3,359375E+2	-2,899165E+2
3,375000E+2	6,404916E+1	3,375000E+2	-3,770443E+2	3,375000E+2	3,085663E+1	3,375000E+2	-3,910301E+2	3,375000E+2	2,171087E+1	3,375000E+2	-2,986494E+2	3,375000E+2	3,133072E+1	3,375000E+2	-2,881238E+2
3,390625E+2	6,241245E+1	3,390625E+2	-3,745778E+2	3,390625E+2	3,013557E+1	3,390625E+2	-3,884806E+2	3,390625E+2	2,144866E+1	3,390625E+2	-2,968250E+2	3,390625E+2	3,102510E+1	3,390625E+2	-2,862774E+2
3,406250E+2	6,094237E+1	3,406250E+2	-3,720658E+2	3,406250E+2	2,942822E+1	3,406250E+2	-3,860005E+2	3,406250E+2	2,115504E+1	3,406250E+2	-2,950254E+2	3,406250E+2	3,069395E+1	3,406250E+2	-2,844649E+2
3,421875E+2	5,926655E+1	3,421875E+2	-3,694465E+2	3,421875E+2	2,878386E+1	3,421875E+2	-3,833011E+2	3,421875E+2	2,089688E+1	3,421875E+2	-2,930910E+2	3,421875E+2	3,038787E+1	3,421875E+2	-2,824987E+2
3,437500E+2	5,774149E+1	3,437500E+2	-3,668096E+2	3,437500E+2	2,814226E+1	3,437500E+2	-3,806510E+2	3,437500E+2	2,060962E+1	3,437500E+2	-2,911750E+2	3,437500E+2	3,004932E+1	3,437500E+2	-2,805574E+2
3,453125E+2	5,595141E+1	3,453125E+2	-3,641720E+2	3,453125E+2	2,749118E+1	3,453125E+2	-3,779825E+2	3,453125E+2	2,032746E+1	3,453125E+2	-2,892571E+2	3,453125E+2	2,971816E+1	3,453125E+2	-2,786356E+2
3,468750E+2	5,429483E+1	3,468750E+2	-3,615318E+2	3,468750E+2	2,684333E+1	3,468750E+2	-3,753523E+2	3,468750E+2	2,001134E+1	3,468750E+2	-2,873454E+2	3,468750E+2	2,935553E+1	3,468750E+2	-2,767293E+2
3,484375E+2	5,247067E+1	3,484375E+2	-3,587380E+2	3,484375E+2	2,617436E+1	3,484375E+2	-3,725923E+2	3,484375E+2	1,966812E+1	3,484375E+2	-2,853589E+2	3,484375E+2	2,903831E+1	3,484375E+2	-2,747496E+2
3,500000E+2	5,076188E+1	3,500000E+2	-3,559461E+2	3,500000E+2	2,549544E+1	3,500000E+2	-3,698492E+2	3,500000E+2	1,929556E+1	3,500000E+2	-2,833687E+2	3,500000E+2	2,869583E+1	3,500000E+2	-2,727840E+2
