Sample 1 - Real_Frequency [Hz]	Normalized Characteristic Impedance	Sample 1 - Imag_Frequency [Hz]	Normalized Characteristic Impedance	Sample 2 - Real_Frequency [Hz]	Normalized Characteristic Impedance	Sample 2 - Imag_Frequency [Hz]	Normalized Characteristic Impedance	Sample 3 - Real_Frequency [Hz]	Normalized Characteristic Impedance	Sample 3 - Imag_Frequency [Hz]	Normalized Characteristic Impedance	Sample 4 - Real_Frequency [Hz]	Normalized Characteristic Impedance	Sample 4 - Imag_Frequency [Hz]	Normalized Characteristic Impedance	
3,343750E+2	1,033678E+0	3,343750E+2	4,290617E-1	3,343750E+2	1,322256E+0	3,343750E+2	2,587815E-1	3,343750E+2	1,483049E+0	3,343750E+2	6,467644E-2	3,343750E+2	1,231127E+0	3,343750E+2	2,814441E-2
3,359375E+2	1,035337E+0	3,359375E+2	4,350141E-1	3,359375E+2	1,337446E+0	3,359375E+2	2,648015E-1	3,359375E+2	1,486302E+0	3,359375E+2	5,654872E-2	3,359375E+2	1,218203E+0	3,359375E+2	2,592119E-2
3,375000E+2	1,036550E+0	3,375000E+2	4,415570E-1	3,375000E+2	1,354497E+0	3,375000E+2	2,719609E-1	3,375000E+2	1,489826E+0	3,375000E+2	4,784195E-2	3,375000E+2	1,205242E+0	3,375000E+2	2,365235E-2
3,390625E+2	1,039219E+0	3,390625E+2	4,481121E-1	3,390625E+2	1,367678E+0	3,390625E+2	2,755219E-1	3,390625E+2	1,474175E+0	3,390625E+2	3,648968E-2	3,390625E+2	1,194958E+0	3,390625E+2	2,431521E-2
3,406250E+2	1,041544E+0	3,406250E+2	4,553780E-1	3,406250E+2	1,382259E+0	3,406250E+2	2,795876E-1	3,406250E+2	1,458260E+0	3,406250E+2	2,527014E-2	3,406250E+2	1,184646E+0	3,406250E+2	2,491899E-2
3,421875E+2	1,044694E+0	3,421875E+2	4,623481E-1	3,421875E+2	1,391073E+0	3,421875E+2	2,763524E-1	3,421875E+2	1,440376E+0	3,421875E+2	1,993603E-2	3,421875E+2	1,168699E+0	3,421875E+2	2,626323E-2
3,437500E+2	1,047584E+0	3,437500E+2	4,700615E-1	3,437500E+2	1,400717E+0	3,437500E+2	2,728973E-1	3,437500E+2	1,422465E+0	3,437500E+2	1,464639E-2	3,437500E+2	1,152822E+0	3,437500E+2	2,749108E-2
3,453125E+2	1,050969E+0	3,453125E+2	4,777620E-1	3,453125E+2	1,406907E+0	3,453125E+2	2,710072E-1	3,453125E+2	1,389258E+0	3,453125E+2	8,840730E-3	3,453125E+2	1,138356E+0	3,453125E+2	3,009599E-2
3,468750E+2	1,054136E+0	3,468750E+2	4,862131E-1	3,468750E+2	1,413657E+0	3,468750E+2	2,690205E-1	3,468750E+2	1,356979E+0	3,468750E+2	3,393630E-3	3,468750E+2	1,123927E+0	3,468750E+2	3,256262E-2
3,484375E+2	1,057819E+0	3,484375E+2	4,941331E-1	3,484375E+2	1,412221E+0	3,484375E+2	2,601681E-1	3,484375E+2	1,328458E+0	3,484375E+2	3,756561E-3	3,484375E+2	1,109979E+0	3,484375E+2	3,579647E-2
3,500000E+2	1,061323E+0	3,500000E+2	5,027878E-1	3,500000E+2	1,410813E+0	3,500000E+2	2,509799E-1	3,500000E+2	1,300643E+0	3,500000E+2	4,000747E-3	3,500000E+2	1,096039E+0	3,500000E+2	3,887180E-2
3,515625E+2	1,065729E+0	3,515625E+2	5,099266E-1	3,515625E+2	1,397291E+0	3,515625E+2	2,380004E-1	3,515625E+2	1,272667E+0	3,515625E+2	6,814554E-3	3,515625E+2	1,083436E+0	3,515625E+2	4,259700E-2
3,531250E+2	1,070088E+0	3,531250E+2	5,177434E-1	3,531250E+2	1,383606E+0	3,531250E+2	2,249033E-1	3,531250E+2	1,245392E+0	3,531250E+2	9,302296E-3	3,531250E+2	1,070820E+0	3,531250E+2	4,617887E-2
3,546875E+2	8,621434E-1	3,546875E+2	1,727430E-1	3,546875E+2	1,330905E+0	3,546875E+2	1,896309E-1	3,546875E+2	1,214456E+0	3,546875E+2	1,228413E-2	3,546875E+2	1,058916E+0	3,546875E+2	4,991548E-2
3,562500E+2	6,724068E-1	3,562500E+2	7,688604E-3	3,562500E+2	1,280011E+0	3,562500E+2	1,579079E-1	3,562500E+2	1,184502E+0	3,562500E+2	1,480250E-2	3,562500E+2	1,046986E+0	3,562500E+2	5,353198E-2
3,578125E+2	6,673038E-1	3,578125E+2	6,793610E-3	3,578125E+2	9,463754E-1	3,578125E+2	1,089866E-1	3,578125E+2	1,154987E+0	3,578125E+2	1,807191E-2	3,578125E+2	1,038595E+0	3,578125E+2	5,815301E-2
3,593750E+2	6,621616E-1	3,593750E+2	5,853886E-3	3,593750E+2	7,465223E-1	3,593750E+2	8,470346E-2	3,593750E+2	1,126392E+0	3,593750E+2	2,084733E-2	3,593750E+2	1,030144E+0	3,593750E+2	6,275626E-2
3,609375E+2	8,714601E-1	3,609375E+2	1,978455E-2	3,609375E+2	9,284447E-1	3,609375E+2	1,064935E-1	3,609375E+2	1,105091E+0	3,609375E+2	2,769905E-2	3,609375E+2	6,595700E-1	3,609375E+2	1,273958E-1
3,625000E+2	1,172241E+0	3,625000E+2	7,885423E-1	3,625000E+2	1,687693E+0	3,625000E+2	2,322803E-1	3,625000E+2	1,084006E+0	3,625000E+2	3,398874E-2	3,625000E+2	4,814627E-1	3,625000E+2	1,068131E-1
3,640625E+2	1,174467E+0	3,640625E+2	7,977389E-1	3,640625E+2	1,723449E+0	3,640625E+2	2,632147E-1	3,640625E+2	1,057478E+0	3,640625E+2	3,597405E-2	3,640625E+2	4,814298E-1	3,640625E+2	1,051881E-1
3,656250E+2	1,176616E+0	3,656250E+2	8,075152E-1	3,656250E+2	1,760307E+0	3,656250E+2	2,986241E-1	3,656250E+2	1,031744E+0	3,656250E+2	3,755782E-2	3,656250E+2	4,814363E-1	3,656250E+2	1,035375E-1
3,671875E+2	1,176833E+0	3,671875E+2	8,180104E-1	3,671875E+2	1,788124E+0	3,671875E+2	3,281486E-1	3,671875E+2	1,012069E+0	3,671875E+2	4,169910E-2	3,671875E+2	4,812182E-1	3,671875E+2	1,018805E-1
3,687500E+2	1,176825E+0	3,687500E+2	8,290663E-1	3,687500E+2	1,816344E+0	3,687500E+2	3,609638E-1	3,687500E+2	9,926838E-1	3,687500E+2	4,543194E-2	3,687500E+2	4,810518E-1	3,687500E+2	1,001865E-1
3,703125E+2	1,176544E+0	3,703125E+2	8,401309E-1	3,703125E+2	1,839695E+0	3,703125E+2	3,849107E-1	3,703125E+2	9,774580E-1	3,703125E+2	4,987094E-2	3,703125E+2	4,809549E-1	3,703125E+2	9,891253E-2
3,718750E+2	1,175998E+0	3,718750E+2	8,517563E-1	3,718750E+2	1,863604E+0	3,718750E+2	4,110994E-1	3,718750E+2	9,623398E-1	3,718750E+2	5,403119E-2	3,718750E+2	4,809327E-1	3,718750E+2	9,761205E-2
3,734375E+2	1,170234E+0	3,734375E+2	8,684662E-1	3,734375E+2	1,879945E+0	3,734375E+2	4,338821E-1	3,734375E+2	9,476893E-1	3,734375E+2	5,543067E-2	3,734375E+2	4,811974E-1	3,734375E+2	9,633837E-2
3,750000E+2	1,163617E+0	3,750000E+2	8,855949E-1	3,750000E+2	1,896401E+0	3,750000E+2	4,582873E-1	3,750000E+2	9,332455E-1	3,750000E+2	5,668867E-2	3,750000E+2	4,815571E-1	3,750000E+2	9,501091E-2
3,765625E+2	1,156445E+0	3,765625E+2	9,041974E-1	3,765625E+2	1,908163E+0	3,765625E+2	4,804449E-1	3,765625E+2	9,171166E-1	3,765625E+2	6,691669E-2	3,765625E+2	4,824294E-1	3,765625E+2	9,364717E-2
3,781250E+2	1,148227E+0	3,781250E+2	9,231798E-1	3,781250E+2	1,919861E+0	3,781250E+2	5,038757E-1	3,781250E+2	9,738750E-1	3,781250E+2	9,823822E-2	3,781250E+2	4,834440E-1	3,781250E+2	9,220477E-2
3,796875E+2	1,145303E+0	3,796875E+2	9,434109E-1	3,796875E+2	1,930060E+0	3,796875E+2	5,109599E-1	3,796875E+2	9,623369E-1	3,796875E+2	9,511462E-2	3,796875E+2	6,263741E-1	3,796875E+2	1,288748E-1
3,812500E+2	1,141377E+0	3,812500E+2	9,645436E-1	3,812500E+2	1,940758E+0	3,812500E+2	5,184444E-1	3,812500E+2	9,511427E-1	3,812500E+2	9,207240E-2	3,812500E+2	1,125270E+0	3,812500E+2	-3,299255E-1
3,828125E+2	1,119446E+0	3,828125E+2	9,976992E-1	3,828125E+2	1,943712E+0	3,828125E+2	5,314850E-1	3,828125E+2	9,405973E-1	3,828125E+2	9,155105E-2	3,828125E+2	1,123388E+0	3,828125E+2	-3,391506E-1
3,843750E+2	1,094142E+0	3,843750E+2	1,029774E+0	3,843750E+2	1,946728E+0	3,843750E+2	5,449438E-1	3,843750E+2	9,303531E-1	3,843750E+2	9,099818E-2	3,843750E+2	1,121383E+0	3,843750E+2	-3,485181E-1
3,859375E+2	1,066542E+0	3,859375E+2	1,072457E+0	3,859375E+2	1,945159E+0	3,859375E+2	5,555148E-1	3,859375E+2	9,225738E-1	3,859375E+2	9,206561E-2	3,859375E+2	8,996232E-1	3,859375E+2	1,972402E-1
3,875000E+2	1,033135E+0	3,875000E+2	1,113478E+0	3,875000E+2	1,943655E+0	3,875000E+2	5,662880E-1	3,875000E+2	9,149732E-1	3,875000E+2	9,309372E-2	3,875000E+2	6,275250E-1	3,875000E+2	2,136354E-1
3,890625E+2	1,302305E+0	3,890625E+2	6,445934E-1	3,890625E+2	1,939651E+0	3,890625E+2	5,649960E-1	3,890625E+2	9,137966E-1	3,890625E+2	9,634204E-2	3,890625E+2	5,963965E-1	3,890625E+2	2,142461E-1
3,906250E+2	1,160641E+0	3,906250E+2	2,366748E-1	3,906250E+2	1,935909E+0	3,906250E+2	5,637994E-1	3,906250E+2	9,126669E-1	3,906250E+2	9,964881E-2	3,906250E+2	5,694252E-1	3,906250E+2	2,111732E-1
3,921875E+2	8,267356E-1	3,921875E+2	7,502558E-2	3,921875E+2	1,920933E+0	3,921875E+2	5,642974E-1	3,921875E+2	9,155649E-1	3,921875E+2	1,012999E-1	3,921875E+2	5,588760E-1	3,921875E+2	2,088272E-1
3,937500E+2	6,556910E-1	3,937500E+2	2,139618E-2	3,937500E+2	1,906386E+0	3,937500E+2	5,647976E-1	3,937500E+2	9,186069E-1	3,937500E+2	1,030186E-1	3,937500E+2	5,491365E-1	3,937500E+2	2,057152E-1
3,953125E+2	6,647869E-1	3,953125E+2	2,189577E-2	3,953125E+2	1,885950E+0	3,953125E+2	5,542010E-1	3,953125E+2	9,263714E-1	3,953125E+2	1,028236E-1	3,953125E+2	5,414801E-1	3,953125E+2	2,046030E-1
3,968750E+2	6,746753E-1	3,968750E+2	2,266793E-2	3,968750E+2	1,866206E+0	3,968750E+2	5,441095E-1	3,968750E+2	9,344825E-1	3,968750E+2	1,025774E-1	3,968750E+2	5,342802E-1	3,968750E+2	2,028263E-1
3,984375E+2	6,810067E-1	3,984375E+2	2,240917E-2	3,984375E+2	9,632478E-1	3,984375E+2	6,651638E-2	3,984375E+2	6,831000E-1	3,984375E+2	1,065933E-1	3,984375E+2	5,307027E-1	3,984375E+2	2,041354E-1
4,000000E+2	6,878270E-1	4,000000E+2	2,230626E-2	4,000000E+2	6,855380E-1	4,000000E+2	8,216004E-3	4,000000E+2	5,679881E-1	4,000000E+2	8,356164E-2	4,000000E+2	5,272872E-1	4,000000E+2	2,050483E-1
4,015625E+2	8,456182E-1	4,015625E+2	5,904609E-2	4,015625E+2	6,850721E-1	4,015625E+2	6,548293E-3	4,015625E+2	5,230240E-1	4,015625E+2	7,161628E-2	4,015625E+2	5,403294E-1	4,015625E+2	2,232368E-1
4,031250E+2	1,220897E+0	4,031250E+2	2,501695E-1	4,031250E+2	6,846336E-1	4,031250E+2	4,843954E-3	4,031250E+2	4,920662E-1	4,031250E+2	5,905825E-2	4,031250E+2	5,553155E-1	4,031250E+2	2,431417E-1
4,046875E+2	1,238693E+0	4,046875E+2	2,556467E-1	4,046875E+2	6,832539E-1	4,046875E+2	3,473253E-3	4,046875E+2	4,886065E-1	4,046875E+2	5,599927E-2	4,046875E+2	5,573242E-1	4,046875E+2	2,684332E-1
4,062500E+2	1,257559E+0	4,062500E+2	2,616368E-1	4,062500E+2	6,818956E-1	4,062500E+2	2,077702E-3	4,062500E+2	4,854763E-1	4,062500E+2	5,293901E-2	4,062500E+2	5,586252E-1	4,062500E+2	2,947108E-1
4,078125E+2	1,274553E+0	4,078125E+2	2,693635E-1	4,078125E+2	7,789622E-1	4,078125E+2	1,447040E-2	4,078125E+2	4,834680E-1	4,078125E+2	5,021114E-2	4,078125E+2	5,708607E-1	4,078125E+2	3,107234E-1
4,093750E+2	1,292460E+0	4,093750E+2	2,777943E-1	4,093750E+2	9,409034E-1	4,093750E+2	4,310064E-2	4,093750E+2	4,815995E-1	4,093750E+2	4,749799E-2	4,093750E+2	5,837174E-1	4,093750E+2	3,275156E-1
4,109375E+2	1,310674E+0	4,109375E+2	2,864081E-1	4,109375E+2	9,455628E-1	4,109375E+2	4,518995E-2	4,109375E+2	5,235036E-1	4,109375E+2	8,040245E-2	4,109375E+2	5,908316E-1	4,109375E+2	3,394272E-1
4,125000E+2	1,329875E+0	4,125000E+2	2,958011E-1	4,125000E+2	9,504316E-1	4,125000E+2	4,741255E-2	4,125000E+2	6,111429E-1	4,125000E+2	1,371055E-1	4,125000E+2	5,977203E-1	4,125000E+2	3,517135E-1
4,140625E+2	1,353398E+0	4,140625E+2	3,142206E-1	4,140625E+2	9,558092E-1	4,140625E+2	4,928451E-2	4,140625E+2	6,184257E-1	4,140625E+2	1,478688E-1	4,140625E+2	5,837557E-1	4,140625E+2	3,916939E-1
4,156250E+2	1,378090E+0	4,156250E+2	3,347604E-1	4,156250E+2	9,614548E-1	4,156250E+2	5,129462E-2	4,156250E+2	6,267824E-1	4,156250E+2	1,593578E-1	4,156250E+2	5,517092E-1	4,156250E+2	4,181104E-1
4,171875E+2	1,414268E+0	4,171875E+2	3,954893E-1	4,171875E+2	9,669165E-1	4,171875E+2	5,279724E-2	4,171875E+2	6,282719E-1	4,171875E+2	1,685230E-1	4,171875E+2	5,702450E-1	4,171875E+2	4,355168E-1
4,187500E+2	1,447060E+0	4,187500E+2	4,678344E-1	4,187500E+2	9,726527E-1	4,187500E+2	5,439865E-2	4,187500E+2	6,302381E-1	4,187500E+2	1,777330E-1	4,187500E+2	5,905585E-1	4,187500E+2	4,537415E-1
4,203125E+2	1,465099E+0	4,203125E+2	4,793864E-1	4,203125E+2	9,782123E-1	4,203125E+2	5,542367E-2	4,203125E+2	6,275411E-1	4,203125E+2	1,859941E-1	4,203125E+2	6,152660E-1	4,203125E+2	4,633866E-1
4,218750E+2	1,483990E+0	4,218750E+2	4,919151E-1	4,218750E+2	9,840551E-1	4,218750E+2	5,651938E-2	4,218750E+2	6,248547E-1	4,218750E+2	1,938723E-1	4,218750E+2	6,415640E-1	4,218750E+2	4,720844E-1
4,234375E+2	1,340377E+0	4,234375E+2	3,126533E-1	4,234375E+2	9,906989E-1	4,234375E+2	6,251990E-2	4,234375E+2	6,197080E-1	4,234375E+2	2,028348E-1	4,234375E+2	6,731385E-1	4,234375E+2	4,845052E-1
4,250000E+2	1,216571E+0	4,250000E+2	2,069865E-1	4,250000E+2	9,975704E-1	4,250000E+2	6,889370E-2	4,250000E+2	6,144595E-1	4,250000E+2	2,111087E-1	4,250000E+2	7,076813E-1	4,250000E+2	4,952449E-1
4,265625E+2	9,602310E-1	4,265625E+2	8,157438E-2	4,265625E+2	1,001040E+0	4,265625E+2	7,103743E-2	4,265625E+2	6,057030E-1	4,265625E+2	2,178198E-1	4,265625E+2	6,485904E-1	4,265625E+2	4,956230E-1
4,281250E+2	8,179636E-1	4,281250E+2	3,220233E-2	4,281250E+2	1,004693E+0	4,281250E+2	7,325715E-2	4,281250E+2	5,974432E-1	4,281250E+2	2,234215E-1	4,281250E+2	6,158747E-1	4,281250E+2	4,976174E-1
4,296875E+2	8,064383E-1	4,296875E+2	2,991373E-2	4,296875E+2	1,007221E+0	4,296875E+2	7,055063E-2	4,296875E+2	5,869690E-1	4,296875E+2	2,255647E-1	4,296875E+2	6,139646E-1	4,296875E+2	5,030462E-1
4,312500E+2	7,956101E-1	4,312500E+2	2,762257E-2	4,312500E+2	1,009922E+0	4,312500E+2	6,777532E-2	4,312500E+2	5,777368E-1	4,312500E+2	2,266029E-1	4,312500E+2	6,117937E-1	4,312500E+2	5,085766E-1
4,328125E+2	8,448308E-1	4,328125E+2	4,511948E-2	4,328125E+2	1,246268E+0	4,328125E+2	1,582709E-1	4,328125E+2	5,735791E-1	4,328125E+2	2,304112E-1	4,328125E+2	7,002143E-1	4,328125E+2	5,218480E-1
4,343750E+2	9,052920E-1	4,343750E+2	7,055792E-2	4,343750E+2	1,700062E+0	4,343750E+2	5,296494E-1	4,343750E+2	5,697770E-1	4,343750E+2	2,334173E-1	4,343750E+2	8,472205E-1	4,343750E+2	5,433345E-1
4,359375E+2	1,032048E+0	4,359375E+2	1,313409E-1	4,359375E+2	9,536219E-1	4,359375E+2	6,121013E-2	4,359375E+2	5,704261E-1	4,359375E+2	2,450835E-1	4,359375E+2	8,502522E-1	4,359375E+2	5,426934E-1
4,375000E+2	1,225987E+0	4,375000E+2	2,713819E-1	4,375000E+2	7,364943E-1	4,375000E+2	3,428682E-3	4,375000E+2	5,707044E-1	4,375000E+2	2,562032E-1	4,375000E+2	8,532863E-1	4,375000E+2	5,422083E-1
4,390625E+2	1,249954E+0	4,390625E+2	2,940671E-1	4,390625E+2	7,368658E-1	4,390625E+2	2,324812E-3	4,390625E+2	5,673097E-1	4,390625E+2	2,680046E-1	4,390625E+2	8,566813E-1	4,390625E+2	5,418130E-1
4,406250E+2	1,274830E+0	4,406250E+2	3,195043E-1	4,406250E+2	7,372967E-1	4,406250E+2	1,198051E-3	4,406250E+2	5,632596E-1	4,406250E+2	2,786041E-1	4,406250E+2	8,600873E-1	4,406250E+2	5,415892E-1
4,421875E+2	1,298862E+0	4,421875E+2	3,393257E-1	4,421875E+2	7,385259E-1	4,421875E+2	-5,335386E-4	4,421875E+2	5,594516E-1	4,421875E+2	2,882016E-1	4,421875E+2	8,654881E-1	4,421875E+2	5,414312E-1
