Sample 1 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity 2	Sample 1 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity 2	Sample 2 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity 2	Sample 2 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity 2	Sample 3 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity 2	Sample 3 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity 2	Sample 4 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity 2	Sample 4 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity 2	
3,000000E+2	-3,678904E-3	3,000000E+2	-4,988425E-1	3,000000E+2	1,331734E-1	3,000000E+2	-5,052708E-1	3,000000E+2	-2,132100E-1	3,000000E+2	-9,584559E-2	3,000000E+2	7,259106E-2	3,000000E+2	2,080234E+0
3,015625E+2	-3,927169E-2	3,015625E+2	-4,635631E-1	3,015625E+2	7,376030E-2	3,015625E+2	-4,219825E-1	3,015625E+2	-2,087278E-1	3,015625E+2	-1,037133E-1	3,015625E+2	-4,295877E-2	3,015625E+2	-3,179943E-1
3,031250E+2	-7,441341E-2	3,031250E+2	-4,309629E-1	3,031250E+2	6,915901E-3	3,031250E+2	-3,385336E-1	3,031250E+2	-2,041398E-1	3,031250E+2	-1,131336E-1	3,031250E+2	1,970940E-1	3,031250E+2	-2,186913E-1
3,046875E+2	-1,102246E-1	3,046875E+2	-3,499394E-1	3,046875E+2	2,263706E-1	3,046875E+2	-1,053016E+0	3,046875E+2	8,570126E-2	3,046875E+2	-3,096646E-1	3,046875E+2	2,010174E-1	3,046875E+2	-2,212990E-1
3,062500E+2	-1,485222E-1	3,062500E+2	-2,716470E-1	3,062500E+2	3,233557E-1	3,062500E+2	-1,125439E+0	3,062500E+2	1,874056E-1	3,062500E+2	-2,888109E-1	3,062500E+2	2,045788E-1	3,062500E+2	-2,238163E-1
3,078125E+2	-8,516329E-2	3,078125E+2	-2,418192E-1	3,078125E+2	3,226396E-1	3,078125E+2	-1,105709E+0	3,078125E+2	1,909270E-1	3,078125E+2	-2,918708E-1	3,078125E+2	2,075472E-1	3,078125E+2	-2,273116E-1
3,093750E+2	-2,922038E-2	3,093750E+2	-2,095164E-1	3,093750E+2	3,194720E-1	3,093750E+2	-1,086590E+0	3,093750E+2	1,941207E-1	3,093750E+2	-2,946407E-1	3,093750E+2	2,101485E-1	3,093750E+2	-2,307810E-1
3,109375E+2	5,109875E-1	3,109375E+2	-6,229639E-1	3,109375E+2	3,157848E-1	3,109375E+2	-1,050006E+0	3,109375E+2	1,965542E-1	3,109375E+2	-2,982369E-1	3,109375E+2	2,130710E-1	3,109375E+2	-2,359055E-1
3,125000E+2	7,405932E-1	3,125000E+2	-5,218870E-1	3,125000E+2	3,078595E-1	3,125000E+2	-1,015165E+0	3,125000E+2	1,986159E-1	3,125000E+2	-3,016076E-1	3,125000E+2	2,156928E-1	3,125000E+2	-2,409571E-1
3,140625E+2	7,443662E-1	3,140625E+2	-5,238184E-1	3,140625E+2	2,964612E-1	3,140625E+2	-9,927075E-1	3,140625E+2	2,385761E-1	3,140625E+2	-2,859426E-1	3,140625E+2	2,522663E-1	3,140625E+2	-1,974059E-1
