Sample 1 - Real_Frequency [Hz]	T11 Transfer Matrix Coefficient	Sample 1 - Imag_Frequency [Hz]	T11 Transfer Matrix Coefficient	Sample 2 - Real_Frequency [Hz]	T11 Transfer Matrix Coefficient	Sample 2 - Imag_Frequency [Hz]	T11 Transfer Matrix Coefficient	Sample 3 - Real_Frequency [Hz]	T11 Transfer Matrix Coefficient	Sample 3 - Imag_Frequency [Hz]	T11 Transfer Matrix Coefficient	Sample 4 - Real_Frequency [Hz]	T11 Transfer Matrix Coefficient	Sample 4 - Imag_Frequency [Hz]	T11 Transfer Matrix Coefficient	
3,000000E+2	-4,440309E-1	3,000000E+2	9,780520E-2	3,000000E+2	-3,747291E-1	3,000000E+2	1,978697E-2	3,000000E+2	-7,873763E-2	3,000000E+2	1,404201E-1	3,000000E+2	2,319032E-1	3,000000E+2	1,299484E-1
3,015625E+2	-3,984687E-1	3,015625E+2	1,097506E-1	3,015625E+2	-2,996823E-1	3,015625E+2	3,715308E-2	3,015625E+2	-8,495421E-2	3,015625E+2	1,409559E-1	3,015625E+2	-3,356802E-1	3,015625E+2	4,071430E-1
3,031250E+2	-3,588145E-1	3,031250E+2	1,224876E-1	3,031250E+2	-2,329011E-1	3,031250E+2	5,460326E-2	3,031250E+2	-9,216538E-2	3,031250E+2	1,418669E-1	3,031250E+2	-5,430352E-1	3,031250E+2	-5,920698E-1
3,046875E+2	-2,838407E-1	3,046875E+2	1,211821E-1	3,046875E+2	-1,394861E+0	3,046875E+2	2,827368E-1	3,046875E+2	-7,171162E-1	3,046875E+2	2,166526E-1	3,046875E+2	-5,515352E-1	3,046875E+2	-6,039809E-1
3,062500E+2	-2,182069E-1	3,062500E+2	1,259313E-1	3,062500E+2	-1,878187E+0	3,062500E+2	-1,414829E-2	3,062500E+2	-8,605481E-1	3,062500E+2	-8,294315E-1	3,062500E+2	-5,613168E-1	3,062500E+2	-6,146500E-1
3,078125E+2	-2,072939E-1	3,078125E+2	8,292487E-2	3,078125E+2	-1,747881E+0	3,078125E+2	5,273391E-3	3,078125E+2	-8,630729E-1	3,078125E+2	-8,454911E-1	3,078125E+2	-5,708541E-1	3,078125E+2	-6,232599E-1
3,093750E+2	-1,942355E-1	3,093750E+2	4,288073E-2	3,093750E+2	-1,633415E+0	3,093750E+2	2,879462E-2	3,093750E+2	-8,651550E-1	3,093750E+2	-8,587703E-1	3,093750E+2	-5,818295E-1	3,093750E+2	-6,304281E-1
3,109375E+2	-1,030482E+0	3,109375E+2	-4,389088E-2	3,109375E+2	-1,498410E+0	3,109375E+2	4,046498E-2	3,109375E+2	-8,666209E-1	3,109375E+2	-8,684150E-1	3,109375E+2	-5,938376E-1	3,109375E+2	-6,393507E-1
3,125000E+2	-1,585685E+0	3,125000E+2	-6,430036E-1	3,125000E+2	-1,381796E+0	3,125000E+2	5,794004E-2	3,125000E+2	-8,680547E-1	3,125000E+2	-8,749668E-1	3,125000E+2	-6,066699E-1	3,125000E+2	-6,468307E-1
3,140625E+2	-1,547957E+0	3,140625E+2	-6,183513E-1	3,140625E+2	-1,303824E+0	3,140625E+2	7,641262E-2	3,140625E+2	-2,350290E-1	3,140625E+2	-1,006141E+0	3,140625E+2	-1,588358E-1	3,140625E+2	-6,501766E-1
3,156250E+2	-1,514746E+0	3,156250E+2	-5,913758E-1	3,156250E+2	-1,235984E+0	3,156250E+2	9,644891E-2	3,156250E+2	-9,628877E-2	3,156250E+2	6,255092E-2	3,156250E+2	-1,341507E-1	3,156250E+2	5,181057E-2
3,171875E+2	-7,512227E-1	3,171875E+2	-4,358391E-1	3,171875E+2	-1,876132E+0	3,171875E+2	7,923657E-1	3,171875E+2	-1,043997E-1	3,171875E+2	6,215479E-2	3,171875E+2	-1,447198E-1	3,171875E+2	5,673772E-2
3,187500E+2	-2,383849E-1	3,187500E+2	1,375917E-2	3,187500E+2	-2,938880E+0	3,187500E+2	-5,524765E-1	3,187500E+2	-1,118979E-1	3,187500E+2	6,172837E-2	3,187500E+2	-1,545363E-1	3,187500E+2	6,206995E-2
3,203125E+2	-2,393027E-1	3,203125E+2	1,144125E-2	3,203125E+2	-2,465916E+0	3,203125E+2	-5,644052E-1	3,203125E+2	-1,205538E-1	3,203125E+2	6,241677E-2	3,203125E+2	-1,629987E-1	3,203125E+2	6,620640E-2
