Sample 1 - Real_Frequency [Hz]	T21 Transfer Matrix Coefficient	Sample 1 - Imag_Frequency [Hz]	T21 Transfer Matrix Coefficient	Sample 2 - Real_Frequency [Hz]	T21 Transfer Matrix Coefficient	Sample 2 - Imag_Frequency [Hz]	T21 Transfer Matrix Coefficient	Sample 3 - Real_Frequency [Hz]	T21 Transfer Matrix Coefficient	Sample 3 - Imag_Frequency [Hz]	T21 Transfer Matrix Coefficient	Sample 4 - Real_Frequency [Hz]	T21 Transfer Matrix Coefficient	Sample 4 - Imag_Frequency [Hz]	T21 Transfer Matrix Coefficient	
3,000000E+2	-5,169899E-4	3,000000E+2	-1,762581E-3	3,000000E+2	-4,796410E-4	3,000000E+2	-1,117014E-3	3,000000E+2	-6,734761E-4	3,000000E+2	-1,138216E-3	3,000000E+2	1,031644E-4	3,000000E+2	-2,306210E-4
3,015625E+2	-4,775363E-4	3,015625E+2	-1,700012E-3	3,015625E+2	-4,614386E-4	3,015625E+2	-1,013125E-3	3,015625E+2	-6,655233E-4	3,015625E+2	-1,148863E-3	3,015625E+2	-2,862006E-3	3,015625E+2	-2,005594E-3
3,031250E+2	-4,445890E-4	3,031250E+2	-1,643678E-3	3,031250E+2	-4,467552E-4	3,031250E+2	-9,204073E-4	3,031250E+2	-6,575094E-4	3,031250E+2	-1,161792E-3	3,031250E+2	1,152304E-3	3,031250E+2	-5,823760E-3
3,046875E+2	-3,763164E-4	3,046875E+2	-1,550844E-3	3,046875E+2	-1,282527E-3	3,046875E+2	-2,555278E-3	3,046875E+2	-2,861045E-3	3,046875E+2	-4,065613E-3	3,046875E+2	1,133698E-3	3,046875E+2	-5,857966E-3
3,062500E+2	-3,250043E-4	3,062500E+2	-1,463660E-3	3,062500E+2	-1,037713E-3	3,062500E+2	-3,380562E-3	3,062500E+2	1,915236E-3	3,062500E+2	-7,673474E-3	3,062500E+2	1,106424E-3	3,062500E+2	-5,897176E-3
3,078125E+2	-3,416492E-4	3,078125E+2	-1,482571E-3	3,078125E+2	-1,031922E-3	3,078125E+2	-3,160430E-3	3,078125E+2	1,945060E-3	3,078125E+2	-7,659288E-3	3,078125E+2	1,089304E-3	3,078125E+2	-5,912155E-3
3,093750E+2	-3,537201E-4	3,093750E+2	-1,503009E-3	3,093750E+2	-1,035114E-3	3,093750E+2	-2,965556E-3	3,093750E+2	1,964846E-3	3,093750E+2	-7,641128E-3	3,093750E+2	1,062762E-3	3,093750E+2	-5,931602E-3
3,109375E+2	-1,823766E-3	3,109375E+2	-2,209768E-3	3,109375E+2	-1,026561E-3	3,109375E+2	-2,769064E-3	3,109375E+2	1,987922E-3	3,109375E+2	-7,594289E-3	3,109375E+2	1,053655E-3	3,109375E+2	-5,934969E-3
3,125000E+2	-2,418676E-3	3,125000E+2	-3,625857E-3	3,125000E+2	-1,027418E-3	3,125000E+2	-2,598870E-3	3,125000E+2	1,999381E-3	3,125000E+2	-7,544125E-3	3,125000E+2	1,036874E-3	3,125000E+2	-5,939751E-3
3,140625E+2	-2,366690E-3	3,140625E+2	-3,494969E-3	3,140625E+2	-1,028105E-3	3,140625E+2	-2,482277E-3	3,140625E+2	4,395592E-3	3,140625E+2	-4,865057E-3	3,140625E+2	2,657449E-3	3,140625E+2	-4,020791E-3
3,156250E+2	-2,323941E-3	3,156250E+2	-3,365428E-3	3,156250E+2	-1,031453E-3	3,156250E+2	-2,380085E-3	3,156250E+2	-1,140723E-4	3,156250E+2	-1,251060E-3	3,156250E+2	-1,215442E-4	3,156250E+2	-1,440318E-3
3,171875E+2	-1,243133E-3	3,171875E+2	-2,770355E-3	3,171875E+2	-3,518852E-3	3,171875E+2	-3,886055E-3	3,171875E+2	-9,956209E-5	3,171875E+2	-1,213118E-3	3,171875E+2	-1,017158E-4	3,171875E+2	-1,391541E-3
3,187500E+2	-6,495515E-4	3,187500E+2	-1,858268E-3	3,187500E+2	-2,829472E-4	3,187500E+2	-7,964333E-3	3,187500E+2	-8,405098E-5	3,187500E+2	-1,172265E-3	3,187500E+2	-8,001448E-5	3,187500E+2	-1,337022E-3
3,203125E+2	-6,465392E-4	3,203125E+2	-1,827992E-3	3,203125E+2	5,866801E-5	3,203125E+2	-7,337434E-3	3,203125E+2	-7,698637E-5	3,203125E+2	-1,125216E-3	3,203125E+2	-5,925166E-5	3,203125E+2	-1,303736E-3
3,218750E+2	-6,447883E-4	3,218750E+2	-1,797399E-3	3,218750E+2	2,118090E-4	3,218750E+2	-6,873729E-3	3,218750E+2	-6,953314E-5	3,218750E+2	-1,075255E-3	3,218750E+2	-3,676738E-5	3,218750E+2	-1,266690E-3
3,234375E+2	-6,480454E-4	3,234375E+2	-1,766307E-3	3,234375E+2	3,609962E-4	3,234375E+2	-6,851680E-3	3,234375E+2	-6,619025E-5	3,234375E+2	-1,026089E-3	3,234375E+2	-1,992037E-5	3,234375E+2	-1,229483E-3
3,250000E+2	-6,522398E-4	3,250000E+2	-1,735149E-3	3,250000E+2	5,101074E-4	3,250000E+2	-6,824941E-3	3,250000E+2	-6,278501E-5	3,250000E+2	-9,742163E-4	3,250000E+2	-1,856960E-6	3,250000E+2	-1,188848E-3
3,265625E+2	-1,400713E-3	3,265625E+2	-2,605382E-3	3,265625E+2	4,490267E-3	3,265625E+2	-5,665758E-3	3,265625E+2	-5,510500E-5	3,265625E+2	-9,396905E-4	3,265625E+2	1,534695E-5	3,265625E+2	-1,178146E-3
3,281250E+2	-1,357281E-3	3,281250E+2	-4,052883E-3	3,281250E+2	-3,150731E-4	3,281250E+2	-1,459982E-3	3,281250E+2	-4,714701E-5	3,281250E+2	-9,034121E-4	3,281250E+2	3,377175E-5	3,281250E+2	-1,166242E-3
3,296875E+2	-5,568138E-4	3,296875E+2	-3,096138E-3	3,296875E+2	-3,436430E-4	3,296875E+2	-1,398369E-3	3,296875E+2	-3,921876E-5	3,296875E+2	-8,736697E-4	3,296875E+2	4,507614E-5	3,296875E+2	-1,148892E-3
3,312500E+2	-8,528354E-4	3,312500E+2	-1,681406E-3	3,312500E+2	-3,786534E-4	3,312500E+2	-1,332846E-3	3,312500E+2	-3,101901E-5	3,312500E+2	-8,425329E-4	3,312500E+2	5,710561E-5	3,312500E+2	-1,130323E-3
3,328125E+2	-9,486206E-4	3,328125E+2	-1,583139E-3	3,328125E+2	-3,815301E-4	3,328125E+2	-1,283427E-3	3,328125E+2	-2,048562E-5	3,328125E+2	-8,270354E-4	3,328125E+2	6,575161E-5	3,328125E+2	-1,134434E-3
3,343750E+2	-1,048218E-3	3,343750E+2	-1,495803E-3	3,343750E+2	-3,853934E-4	3,343750E+2	-1,230855E-3	3,343750E+2	-9,531357E-6	3,343750E+2	-8,109226E-4	3,343750E+2	7,488618E-5	3,343750E+2	-1,138666E-3
3,359375E+2	-1,050036E-3	3,359375E+2	-1,463487E-3	3,359375E+2	-3,801637E-4	3,359375E+2	-1,192615E-3	3,359375E+2	-4,688523E-7	3,359375E+2	-8,029053E-4	3,359375E+2	7,962462E-5	3,359375E+2	-1,155482E-3
3,375000E+2	-1,052729E-3	3,375000E+2	-1,430991E-3	3,375000E+2	-3,750546E-4	3,375000E+2	-1,152314E-3	3,375000E+2	8,940665E-6	3,375000E+2	-7,946177E-4	3,375000E+2	8,454797E-5	3,375000E+2	-1,172975E-3
3,390625E+2	-1,052805E-3	3,390625E+2	-1,395759E-3	3,390625E+2	-3,682736E-4	3,390625E+2	-1,121480E-3	3,390625E+2	2,059041E-5	3,390625E+2	-8,067274E-4	3,390625E+2	8,330093E-5	3,390625E+2	-1,185686E-3
3,406250E+2	-1,053653E-3	3,406250E+2	-1,360094E-3	3,406250E+2	-3,612577E-4	3,406250E+2	-1,089441E-3	3,406250E+2	3,262478E-5	3,406250E+2	-8,192803E-4	3,406250E+2	8,199965E-5	3,406250E+2	-1,198846E-3
3,421875E+2	-1,051608E-3	3,421875E+2	-1,323597E-3	3,421875E+2	-3,484646E-4	3,421875E+2	-1,071595E-3	3,421875E+2	3,869797E-5	3,421875E+2	-8,340813E-4	3,421875E+2	7,973798E-5	3,421875E+2	-1,223423E-3
3,437500E+2	-1,050199E-3	3,437500E+2	-1,286621E-3	3,437500E+2	-3,352311E-4	3,437500E+2	-1,053130E-3	3,437500E+2	4,499987E-5	3,437500E+2	-8,493983E-4	3,437500E+2	7,736761E-5	3,437500E+2	-1,248834E-3
3,453125E+2	-1,047704E-3	3,453125E+2	-1,248858E-3	3,453125E+2	-3,270458E-4	3,453125E+2	-1,038332E-3	3,453125E+2	5,337308E-5	3,453125E+2	-8,842877E-4	3,453125E+2	7,162733E-5	3,453125E+2	-1,272209E-3
3,468750E+2	-1,045676E-3	3,468750E+2	-1,210636E-3	3,468750E+2	-3,185836E-4	3,468750E+2	-1,023126E-3	3,468750E+2	6,209850E-5	3,468750E+2	-9,203112E-4	3,468750E+2	6,565139E-5	3,468750E+2	-1,296293E-3
3,484375E+2	-1,041136E-3	3,484375E+2	-1,172955E-3	3,484375E+2	-3,068584E-4	3,484375E+2	-1,023095E-3	3,484375E+2	6,303174E-5	3,484375E+2	-9,536581E-4	3,484375E+2	5,765573E-5	3,484375E+2	-1,319692E-3
3,500000E+2	-1,036953E-3	3,500000E+2	-1,134865E-3	3,500000E+2	-2,946839E-4	3,500000E+2	-1,023050E-3	3,500000E+2	6,398102E-5	3,500000E+2	-9,879798E-4	3,500000E+2	4,939592E-5	3,500000E+2	-1,343812E-3
3,515625E+2	-1,028761E-3	3,515625E+2	-1,098888E-3	3,515625E+2	-2,847031E-4	3,515625E+2	-1,041908E-3	3,515625E+2	6,086317E-5	3,515625E+2	-1,024783E-3	3,515625E+2	3,888177E-5	3,515625E+2	-1,365260E-3
3,531250E+2	-1,020789E-3	3,531250E+2	-1,062473E-3	3,531250E+2	-2,739656E-4	3,531250E+2	-1,061373E-3	3,531250E+2	5,765099E-5	3,531250E+2	-1,062635E-3	3,531250E+2	2,801642E-5	3,531250E+2	-1,387294E-3
3,546875E+2	-6,820359E-4	3,546875E+2	-2,539441E-3	3,546875E+2	-2,513336E-4	3,546875E+2	-1,155555E-3	3,546875E+2	5,350539E-5	3,546875E+2	-1,109319E-3	3,546875E+2	1,663109E-5	3,546875E+2	-1,407851E-3
3,562500E+2	4,227476E-4	3,562500E+2	-4,299868E-3	3,562500E+2	-2,250536E-4	3,562500E+2	-1,254531E-3	3,562500E+2	4,935356E-5	3,562500E+2	-1,157437E-3	3,562500E+2	4,879510E-6	3,562500E+2	-1,428980E-3
3,578125E+2	3,939527E-4	3,578125E+2	-4,283948E-3	3,578125E+2	-3,667634E-4	3,578125E+2	-2,280220E-3	3,578125E+2	4,271830E-5	3,578125E+2	-1,208118E-3	3,578125E+2	-9,708308E-6	3,578125E+2	-1,440713E-3
