Sample 1 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity 2	Sample 1 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity 2	Sample 2 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity 2	Sample 2 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity 2	Sample 3 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity 2	Sample 3 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity 2	Sample 4 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity 2	Sample 4 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity 2	
3,328125E+2	-5,727406E-1	3,328125E+2	1,544034E-1	3,328125E+2	-9,497835E-1	3,328125E+2	-1,148918E-1	3,328125E+2	-1,257050E+0	3,328125E+2	-7,349365E-1	3,328125E+2	-1,381879E+0	3,328125E+2	-6,630916E-1
3,343750E+2	-6,342934E-1	3,343750E+2	6,791763E-2	3,343750E+2	-9,469462E-1	3,343750E+2	-1,298643E-1	3,343750E+2	-1,215815E+0	3,343750E+2	-7,918712E-1	3,343750E+2	-1,358660E+0	3,343750E+2	-6,978906E-1
3,359375E+2	-6,370184E-1	3,359375E+2	3,225483E-2	3,359375E+2	-9,368278E-1	3,359375E+2	-1,561883E-1	3,359375E+2	-1,162844E+0	3,359375E+2	-8,396330E-1	3,359375E+2	-1,320555E+0	3,359375E+2	-7,209550E-1
3,375000E+2	-6,373885E-1	3,375000E+2	-5,030574E-3	3,375000E+2	-9,265891E-1	3,375000E+2	-1,809519E-1	3,375000E+2	-1,109363E+0	3,375000E+2	-8,844776E-1	3,375000E+2	-1,283188E+0	3,375000E+2	-7,420810E-1
3,390625E+2	-6,355016E-1	3,390625E+2	-3,764008E-2	3,390625E+2	-9,114468E-1	3,390625E+2	-2,128268E-1	3,390625E+2	-1,053695E+0	3,390625E+2	-9,029014E-1	3,390625E+2	-1,244230E+0	3,390625E+2	-7,690044E-1
3,406250E+2	-6,318404E-1	3,406250E+2	-7,135049E-2	3,406250E+2	-8,953022E-1	3,406250E+2	-2,434992E-1	3,406250E+2	-1,000717E+0	3,406250E+2	-9,191393E-1	3,406250E+2	-1,205652E+0	3,406250E+2	-7,937441E-1
3,421875E+2	-6,268568E-1	3,421875E+2	-1,004285E-1	3,421875E+2	-8,728251E-1	3,421875E+2	-2,776931E-1	3,421875E+2	-9,430566E-1	3,421875E+2	-9,349504E-1	3,421875E+2	-1,162376E+0	3,421875E+2	-8,052778E-1
3,437500E+2	-6,205980E-1	3,437500E+2	-1,301872E-1	3,437500E+2	-8,491555E-1	3,437500E+2	-3,105492E-1	3,437500E+2	-8,885080E-1	3,437500E+2	-9,481518E-1	3,437500E+2	-1,120773E+0	3,437500E+2	-8,152857E-1
3,453125E+2	-6,125776E-1	3,453125E+2	-1,565417E-1	3,453125E+2	-8,243750E-1	3,453125E+2	-3,440071E-1	3,453125E+2	-8,446274E-1	3,453125E+2	-9,422753E-1	3,453125E+2	-1,079511E+0	3,453125E+2	-8,265881E-1
3,468750E+2	-6,035437E-1	3,468750E+2	-1,831881E-1	3,468750E+2	-7,984721E-1	3,468750E+2	-3,760273E-1	3,468750E+2	-8,041317E-1	3,468750E+2	-9,368312E-1	3,468750E+2	-1,039685E+0	3,468750E+2	-8,363646E-1
3,484375E+2	-5,903600E-1	3,484375E+2	-2,066722E-1	3,484375E+2	-7,660445E-1	3,484375E+2	-4,077832E-1	3,484375E+2	-7,636081E-1	3,484375E+2	-9,351402E-1	3,484375E+2	-1,001668E+0	3,484375E+2	-8,462921E-1
3,500000E+2	-5,763223E-1	3,500000E+2	-2,298467E-1	3,500000E+2	-7,331609E-1	3,500000E+2	-4,377033E-1	3,500000E+2	-7,258702E-1	3,500000E+2	-9,330354E-1	3,500000E+2	-9,648794E-1	3,500000E+2	-8,548333E-1
3,515625E+2	-5,561223E-1	3,515625E+2	-2,483209E-1	3,515625E+2	-6,986990E-1	3,515625E+2	-4,654517E-1	3,515625E+2	-6,919451E-1	3,515625E+2	-9,285382E-1	3,515625E+2	-9,305733E-1	3,515625E+2	-8,637966E-1
3,531250E+2	-5,354056E-1	3,531250E+2	-2,656989E-1	3,531250E+2	-6,646625E-1	3,531250E+2	-4,912399E-1	3,531250E+2	-6,602546E-1	3,531250E+2	-9,240307E-1	3,531250E+2	-8,971910E-1	3,531250E+2	-8,715964E-1
3,546875E+2	-3,303074E-1	3,546875E+2	-5,674215E-1	3,546875E+2	-6,285137E-1	3,546875E+2	-5,146484E-1	3,546875E+2	-6,360230E-1	3,546875E+2	-9,121256E-1	3,546875E+2	-8,677561E-1	3,546875E+2	-8,805103E-1
3,562500E+2	-2,442129E-1	3,562500E+2	-7,061724E-1	3,562500E+2	-5,951439E-1	3,562500E+2	-5,363473E-1	3,562500E+2	-6,133620E-1	3,562500E+2	-9,013994E-1	3,562500E+2	-8,388824E-1	3,562500E+2	-8,884704E-1
3,578125E+2	-2,395908E-1	3,578125E+2	-7,029734E-1	3,578125E+2	-7,047261E-1	3,578125E+2	-5,417507E-1	3,578125E+2	-5,952992E-1	3,578125E+2	-8,873382E-1	3,578125E+2	-8,116267E-1	3,578125E+2	-9,028978E-1
3,593750E+2	-2,351513E-1	3,593750E+2	-6,999838E-1	3,593750E+2	-7,517828E-1	3,593750E+2	-5,529241E-1	3,593750E+2	-5,781959E-1	3,593750E+2	-8,747602E-1	3,593750E+2	-7,843174E-1	3,593750E+2	-9,162657E-1
3,609375E+2	-2,121220E-1	3,609375E+2	-5,915094E-1	3,609375E+2	-7,175277E-1	3,609375E+2	-5,692424E-1	3,609375E+2	-5,562353E-1	3,609375E+2	-8,644183E-1	3,609375E+2	-6,809342E-1	3,609375E+2	-2,196903E-1
3,625000E+2	-8,250399E-1	3,625000E+2	-1,687249E-2	3,625000E+2	-5,932212E-1	3,625000E+2	-5,774315E-1	3,625000E+2	-5,356585E-1	3,625000E+2	-8,546812E-1	3,625000E+2	-6,470044E-1	3,625000E+2	-4,301600E-2
3,640625E+2	-7,963816E-1	3,640625E+2	-4,598650E-2	3,640625E+2	-5,714944E-1	3,640625E+2	-6,063596E-1	3,640625E+2	-5,293164E-1	3,640625E+2	-8,387612E-1	3,640625E+2	-6,434702E-1	3,640625E+2	-5,409086E-2
3,656250E+2	-7,667055E-1	3,656250E+2	-7,285225E-2	3,656250E+2	-5,468525E-1	3,656250E+2	-6,353280E-1	3,656250E+2	-5,228384E-1	3,656250E+2	-8,245157E-1	3,656250E+2	-6,397728E-1	3,656250E+2	-6,500886E-2
3,671875E+2	-7,397407E-1	3,671875E+2	-9,970107E-2	3,671875E+2	-5,172542E-1	3,671875E+2	-6,622352E-1	3,671875E+2	-5,127667E-1	3,671875E+2	-8,130756E-1	3,671875E+2	-6,362555E-1	3,671875E+2	-7,509778E-2
3,687500E+2	-7,118451E-1	3,687500E+2	-1,244235E-1	3,687500E+2	-4,849524E-1	3,687500E+2	-6,878310E-1	3,687500E+2	-5,030720E-1	3,687500E+2	-8,026457E-1	3,687500E+2	-6,326019E-1	3,687500E+2	-8,504312E-2
3,703125E+2	-6,839048E-1	3,703125E+2	-1,473618E-1	3,703125E+2	-4,505876E-1	3,703125E+2	-7,101225E-1	3,703125E+2	-4,927978E-1	3,703125E+2	-7,951486E-1	3,703125E+2	-6,290914E-1	3,703125E+2	-9,480363E-2
3,718750E+2	-6,553139E-1	3,718750E+2	-1,682102E-1	3,718750E+2	-4,143362E-1	3,718750E+2	-7,305605E-1	3,718750E+2	-4,828646E-1	3,718750E+2	-7,882169E-1	3,718750E+2	-6,254581E-1	3,718750E+2	-1,044177E-1
3,734375E+2	-6,297450E-1	3,734375E+2	-1,882089E-1	3,734375E+2	-3,772627E-1	3,734375E+2	-7,477484E-1	3,734375E+2	-4,799126E-1	3,734375E+2	-7,831687E-1	3,734375E+2	-6,216531E-1	3,734375E+2	-1,140722E-1
3,750000E+2	-6,036796E-1	3,750000E+2	-2,060541E-1	3,750000E+2	-3,391054E-1	3,750000E+2	-7,627135E-1	3,750000E+2	-4,767557E-1	3,750000E+2	-7,786049E-1	3,750000E+2	-6,177133E-1	3,750000E+2	-1,235677E-1
3,765625E+2	-5,782602E-1	3,765625E+2	-2,211403E-1	3,765625E+2	-3,004407E-1	3,765625E+2	-7,717319E-1	3,765625E+2	-6,087060E-1	3,765625E+2	-8,139881E-1	3,765625E+2	-6,143878E-1	3,765625E+2	-1,330595E-1
3,781250E+2	-5,527396E-1	3,781250E+2	-2,341544E-1	3,781250E+2	-2,617013E-1	3,781250E+2	-7,785198E-1	3,781250E+2	-7,354024E-1	3,781250E+2	-1,016657E+0	3,781250E+2	-6,109204E-1	3,781250E+2	-1,423999E-1
3,796875E+2	-5,228890E-1	3,796875E+2	-2,441509E-1	3,796875E+2	-2,295158E-1	3,796875E+2	-7,896269E-1	3,796875E+2	-7,352073E-1	3,796875E+2	-1,000998E+0	3,796875E+2	-7,263907E-1	3,796875E+2	-3,999834E-1
3,812500E+2	-4,931485E-1	3,812500E+2	-2,518078E-1	3,812500E+2	-1,970829E-1	3,812500E+2	-7,994604E-1	3,812500E+2	-7,336556E-1	3,812500E+2	-9,865589E-1	3,812500E+2	-3,835720E-1	3,812500E+2	3,703953E+0
3,828125E+2	-4,707876E-1	3,828125E+2	-2,545549E-1	3,828125E+2	-1,654756E-1	3,828125E+2	-8,025997E-1	3,828125E+2	-7,288369E-1	3,828125E+2	-9,778571E-1	3,828125E+2	-2,638308E-1	3,828125E+2	3,568736E+0
3,843750E+2	-4,500488E-1	3,843750E+2	-2,550875E-1	3,843750E+2	-1,342801E-1	3,843750E+2	-8,044975E-1	3,843750E+2	-7,232847E-1	3,843750E+2	-9,700675E-1	3,843750E+2	-1,658850E-1	3,843750E+2	3,438577E+0
3,859375E+2	-4,229849E-1	3,859375E+2	-2,436184E-1	3,859375E+2	-1,070513E-1	3,859375E+2	-8,059624E-1	3,859375E+2	-7,158667E-1	3,859375E+2	-9,725432E-1	3,859375E+2	-1,071293E+0	3,859375E+2	-8,446918E-1
3,875000E+2	-4,000798E-1	3,875000E+2	-2,288688E-1	3,875000E+2	-8,024065E-2	3,875000E+2	-8,065580E-1	3,875000E+2	-7,078569E-1	3,875000E+2	-9,752669E-1	3,875000E+2	-6,766869E-1	3,875000E+2	-8,339250E-2
3,890625E+2	-3,685129E-1	3,890625E+2	-4,745237E-1	3,890625E+2	-5,966375E-2	3,890625E+2	-8,118175E-1	3,890625E+2	-6,866793E-1	3,890625E+2	-9,978125E-1	3,890625E+2	-6,290950E-1	3,890625E+2	3,508613E-3
3,906250E+2	-4,749165E-1	3,906250E+2	-6,044815E-1	3,906250E+2	-3,908929E-2	3,906250E+2	-8,165489E-1	3,906250E+2	-6,644299E-1	3,906250E+2	-1,019535E+0	3,906250E+2	-5,975608E-1	3,906250E+2	7,140273E-2
3,921875E+2	-7,515068E-1	3,921875E+2	-3,800572E-1	3,921875E+2	-2,613263E-2	3,921875E+2	-8,171262E-1	3,921875E+2	-6,427313E-1	3,921875E+2	-1,056259E+0	3,921875E+2	-5,746407E-1	3,921875E+2	9,766553E-2
3,937500E+2	-8,081541E-1	3,937500E+2	-2,608313E-1	3,937500E+2	-1,309172E-2	3,937500E+2	-8,176022E-1	3,937500E+2	-6,189791E-1	3,937500E+2	-1,092550E+0	3,937500E+2	-5,562685E-1	3,937500E+2	1,211701E-1
3,953125E+2	-7,988304E-1	3,953125E+2	-2,697794E-1	3,953125E+2	-8,774065E-3	3,953125E+2	-8,233123E-1	3,953125E+2	-5,890893E-1	3,953125E+2	-1,152960E+0	3,953125E+2	-5,358351E-1	3,953125E+2	1,392968E-1
3,968750E+2	-7,895195E-1	3,968750E+2	-2,778279E-1	3,968750E+2	-3,815421E-3	3,968750E+2	-8,288454E-1	3,968750E+2	-5,548011E-1	3,968750E+2	-1,214041E+0	3,968750E+2	-5,191205E-1	3,968750E+2	1,563714E-1
3,984375E+2	-7,814387E-1	3,984375E+2	-2,858178E-1	3,984375E+2	-7,086774E-1	3,984375E+2	-5,600628E-1	3,984375E+2	-8,079405E-1	3,984375E+2	-3,305225E-1	3,984375E+2	-5,048974E-1	3,984375E+2	1,711131E-1
4,000000E+2	-7,734075E-1	4,000000E+2	-2,931837E-1	4,000000E+2	-7,719289E-1	4,000000E+2	-4,104621E-1	4,000000E+2	-7,873724E-1	4,000000E+2	-5,810682E-2	4,000000E+2	-4,931865E-1	4,000000E+2	1,856052E-1
4,015625E+2	-7,427189E-1	4,015625E+2	-3,535290E-1	4,015625E+2	-7,634256E-1	4,015625E+2	-4,184499E-1	4,015625E+2	-7,431405E-1	4,015625E+2	9,231660E-2	4,015625E+2	-5,052173E-1	4,015625E+2	1,792897E-1
4,031250E+2	-6,080270E-1	4,031250E+2	-4,651564E-1	4,031250E+2	-7,548318E-1	4,031250E+2	-4,263454E-1	4,031250E+2	-7,150871E-1	4,031250E+2	1,806562E-1	4,031250E+2	-5,187562E-1	4,031250E+2	1,719408E-1
