Sample 1 - Real_Frequency [Hz]	Reflexion Coefficient on Hard Wall	Sample 1 - Imag_Frequency [Hz]	Reflexion Coefficient on Hard Wall	Sample 2 - Real_Frequency [Hz]	Reflexion Coefficient on Hard Wall	Sample 2 - Imag_Frequency [Hz]	Reflexion Coefficient on Hard Wall	Sample 3 - Real_Frequency [Hz]	Reflexion Coefficient on Hard Wall	Sample 3 - Imag_Frequency [Hz]	Reflexion Coefficient on Hard Wall	Sample 4 - Real_Frequency [Hz]	Reflexion Coefficient on Hard Wall	Sample 4 - Imag_Frequency [Hz]	Reflexion Coefficient on Hard Wall	
3,328125E+2	-4,925582E-1	3,328125E+2	5,365254E-2	3,328125E+2	-6,987008E-1	3,328125E+2	-4,229850E-1	3,328125E+2	-6,840448E-1	3,328125E+2	-1,098562E+0	3,328125E+2	-8,652222E-1	3,328125E+2	-1,095097E+0
3,343750E+2	-5,245929E-1	3,343750E+2	-2,675997E-2	3,343750E+2	-6,779651E-1	3,343750E+2	-4,380266E-1	3,343750E+2	-6,278295E-1	3,343750E+2	-1,127703E+0	3,343750E+2	-8,389423E-1	3,343750E+2	-1,111141E+0
3,359375E+2	-5,188072E-1	3,359375E+2	-5,772879E-2	3,359375E+2	-6,517775E-1	3,359375E+2	-4,595864E-1	3,359375E+2	-5,733093E-1	3,359375E+2	-1,143951E+0	3,359375E+2	-8,122454E-1	3,359375E+2	-1,108933E+0
3,375000E+2	-5,107101E-1	3,375000E+2	-8,917790E-2	3,375000E+2	-6,248119E-1	3,375000E+2	-4,795825E-1	3,375000E+2	-5,196407E-1	3,375000E+2	-1,158586E+0	3,375000E+2	-7,865883E-1	3,375000E+2	-1,106350E+0
3,390625E+2	-5,013163E-1	3,390625E+2	-1,162060E-1	3,390625E+2	-5,944795E-1	3,390625E+2	-5,024071E-1	3,390625E+2	-4,879272E-1	3,390625E+2	-1,155527E+0	3,390625E+2	-7,541593E-1	3,390625E+2	-1,106342E+0
3,406250E+2	-4,902313E-1	3,406250E+2	-1,433831E-1	3,406250E+2	-5,631196E-1	3,406250E+2	-5,236607E-1	3,406250E+2	-4,578879E-1	3,406250E+2	-1,152403E+0	3,406250E+2	-7,229022E-1	3,406250E+2	-1,105655E+0
3,421875E+2	-4,787769E-1	3,421875E+2	-1,663423E-1	3,421875E+2	-5,307886E-1	3,421875E+2	-5,457641E-1	3,421875E+2	-4,246973E-1	3,421875E+2	-1,143798E+0	3,421875E+2	-6,973634E-1	3,421875E+2	-1,092660E+0
3,437500E+2	-4,661540E-1	3,437500E+2	-1,892127E-1	3,437500E+2	-4,977809E-1	3,437500E+2	-5,665034E-1	3,437500E+2	-3,935335E-1	3,437500E+2	-1,135335E+0	3,437500E+2	-6,729987E-1	3,437500E+2	-1,080094E+0
3,453125E+2	-4,526074E-1	3,453125E+2	-2,087891E-1	3,453125E+2	-4,647597E-1	3,453125E+2	-5,852835E-1	3,453125E+2	-3,841669E-1	3,453125E+2	-1,117211E+0	3,453125E+2	-6,465104E-1	3,453125E+2	-1,068764E+0
3,468750E+2	-4,382217E-1	3,468750E+2	-2,280194E-1	3,468750E+2	-4,313405E-1	3,468750E+2	-6,026099E-1	3,468750E+2	-3,748273E-1	3,468750E+2	-1,100480E+0	3,468750E+2	-6,212290E-1	3,468750E+2	-1,057676E+0
