Sample 1_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 2_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 3_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 4_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 5_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 6_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 7_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 8_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 9_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 10_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 11_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 12_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 13_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 14_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 15_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 16_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 17_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 18_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 19_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 20_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 21_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 22_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 23_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 24_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	
1,312500E+2	6,912773E+1	1,312500E+2	7,102882E+1	1,312500E+2	6,918914E+1	1,312500E+2	6,678799E+1	1,312500E+2	6,753157E+1	1,312500E+2	6,918773E+1	1,312500E+2	6,933096E+1	1,312500E+2	6,894556E+1	1,312500E+2	7,044771E+1	1,312500E+2	6,864038E+1	1,312500E+2	6,861741E+1	1,312500E+2	6,720850E+1	1,312500E+2	7,041929E+1	1,312500E+2	7,160392E+1	1,312500E+2	6,903948E+1	1,312500E+2	6,985593E+1	1,312500E+2	6,888691E+1	1,312500E+2	7,085813E+1	1,312500E+2	7,055917E+1	1,312500E+2	6,847702E+1	1,312500E+2	6,989260E+1	1,312500E+2	6,835103E+1	1,312500E+2	6,867342E+1	1,312500E+2	6,813857E+1
1,328125E+2	7,018381E+1	1,328125E+2	7,144908E+1	1,328125E+2	6,990194E+1	1,328125E+2	6,836055E+1	1,328125E+2	6,904550E+1	1,328125E+2	6,929515E+1	1,328125E+2	6,928283E+1	1,328125E+2	6,912699E+1	1,328125E+2	6,876167E+1	1,328125E+2	6,939397E+1	1,328125E+2	6,868093E+1	1,328125E+2	6,901548E+1	1,328125E+2	6,976933E+1	1,328125E+2	7,045437E+1	1,328125E+2	6,956288E+1	1,328125E+2	6,916297E+1	1,328125E+2	6,994052E+1	1,328125E+2	7,072180E+1	1,328125E+2	7,053146E+1	1,328125E+2	6,870927E+1	1,328125E+2	6,970199E+1	1,328125E+2	6,966473E+1	1,328125E+2	7,016232E+1	1,328125E+2	6,964778E+1
1,343750E+2	7,051985E+1	1,343750E+2	7,097920E+1	1,343750E+2	7,009417E+1	1,343750E+2	6,905309E+1	1,343750E+2	6,932771E+1	1,343750E+2	7,013103E+1	1,343750E+2	6,826844E+1	1,343750E+2	6,957406E+1	1,343750E+2	6,921555E+1	1,343750E+2	6,965747E+1	1,343750E+2	6,875675E+1	1,343750E+2	6,942866E+1	1,343750E+2	6,903344E+1	1,343750E+2	6,965398E+1	1,343750E+2	6,943510E+1	1,343750E+2	6,892405E+1	1,343750E+2	6,938390E+1	1,343750E+2	7,046079E+1	1,343750E+2	6,995274E+1	1,343750E+2	6,862668E+1	1,343750E+2	6,849865E+1	1,343750E+2	6,939573E+1	1,343750E+2	7,049704E+1	1,343750E+2	7,002224E+1
1,359375E+2	6,983154E+1	1,359375E+2	7,084337E+1	1,359375E+2	6,999695E+1	1,359375E+2	6,749631E+1	1,359375E+2	6,956082E+1	1,359375E+2	7,042353E+1	1,359375E+2	6,842890E+1	1,359375E+2	6,885888E+1	1,359375E+2	7,006398E+1	1,359375E+2	6,968358E+1	1,359375E+2	6,862761E+1	1,359375E+2	6,913175E+1	1,359375E+2	6,900608E+1	1,359375E+2	6,881992E+1	1,359375E+2	6,964578E+1	1,359375E+2	6,951654E+1	1,359375E+2	6,996261E+1	1,359375E+2	7,014687E+1	1,359375E+2	7,014003E+1	1,359375E+2	6,836322E+1	1,359375E+2	6,862378E+1	1,359375E+2	6,963076E+1	1,359375E+2	7,005436E+1	1,359375E+2	6,991377E+1
1,375000E+2	7,040139E+1	1,375000E+2	7,034566E+1	1,375000E+2	6,980216E+1	1,375000E+2	6,789601E+1	1,375000E+2	6,874081E+1	1,375000E+2	7,062137E+1	1,375000E+2	6,995854E+1	1,375000E+2	6,825588E+1	1,375000E+2	6,952036E+1	1,375000E+2	7,017524E+1	1,375000E+2	6,872905E+1	1,375000E+2	6,931013E+1	1,375000E+2	6,933323E+1	1,375000E+2	6,988893E+1	1,375000E+2	6,849003E+1	1,375000E+2	6,982859E+1	1,375000E+2	7,049329E+1	1,375000E+2	6,983322E+1	1,375000E+2	7,039410E+1	1,375000E+2	6,909467E+1	1,375000E+2	6,751296E+1	1,375000E+2	6,869431E+1	1,375000E+2	6,856409E+1	1,375000E+2	6,860106E+1
1,390625E+2	7,013289E+1	1,390625E+2	7,010450E+1	1,390625E+2	6,948010E+1	1,390625E+2	6,737378E+1	1,390625E+2	6,946504E+1	1,390625E+2	6,919416E+1	1,390625E+2	7,074012E+1	1,390625E+2	6,828159E+1	1,390625E+2	7,034129E+1	1,390625E+2	6,963845E+1	1,390625E+2	6,888156E+1	1,390625E+2	6,967322E+1	1,390625E+2	6,912347E+1	1,390625E+2	7,014924E+1	1,390625E+2	6,924842E+1	1,390625E+2	6,996459E+1	1,390625E+2	6,926306E+1	1,390625E+2	6,982353E+1	1,390625E+2	7,022207E+1	1,390625E+2	6,769673E+1	1,390625E+2	6,780191E+1	1,390625E+2	6,943471E+1	1,390625E+2	6,894665E+1	1,390625E+2	6,854006E+1
1,406250E+2	7,038572E+1	1,406250E+2	7,086471E+1	1,406250E+2	6,803534E+1	1,406250E+2	6,832449E+1	1,406250E+2	7,039669E+1	1,406250E+2	6,885174E+1	1,406250E+2	6,921360E+1	1,406250E+2	6,943403E+1	1,406250E+2	7,074668E+1	1,406250E+2	6,848802E+1	1,406250E+2	6,742046E+1	1,406250E+2	6,893251E+1	1,406250E+2	6,888253E+1	1,406250E+2	6,792621E+1	1,406250E+2	7,049017E+1	1,406250E+2	6,984815E+1	1,406250E+2	6,895856E+1	1,406250E+2	7,072854E+1	1,406250E+2	7,036463E+1	1,406250E+2	6,773928E+1	1,406250E+2	6,860399E+1	1,406250E+2	6,988623E+1	1,406250E+2	6,937907E+1	1,406250E+2	6,856308E+1
1,421875E+2	6,988810E+1	1,421875E+2	7,027801E+1	1,421875E+2	6,961768E+1	1,421875E+2	6,828703E+1	1,421875E+2	6,914806E+1	1,421875E+2	6,943325E+1	1,421875E+2	6,962343E+1	1,421875E+2	6,898426E+1	1,421875E+2	7,051932E+1	1,421875E+2	6,996034E+1	1,421875E+2	6,784056E+1	1,421875E+2	6,870186E+1	1,421875E+2	6,907459E+1	1,421875E+2	6,751203E+1	1,421875E+2	7,016570E+1	1,421875E+2	6,992964E+1	1,421875E+2	6,897839E+1	1,421875E+2	7,097761E+1	1,421875E+2	6,996968E+1	1,421875E+2	6,825593E+1	1,421875E+2	6,960248E+1	1,421875E+2	6,993410E+1	1,421875E+2	6,937347E+1	1,421875E+2	6,730812E+1
1,437500E+2	6,952750E+1	1,437500E+2	7,008741E+1	1,437500E+2	7,013912E+1	1,437500E+2	6,878012E+1	1,437500E+2	6,890490E+1	1,437500E+2	7,017866E+1	1,437500E+2	7,004703E+1	1,437500E+2	6,890044E+1	1,437500E+2	6,963200E+1	1,437500E+2	6,954100E+1	1,437500E+2	6,786080E+1	1,437500E+2	6,951123E+1	1,437500E+2	6,969488E+1	1,437500E+2	6,929461E+1	1,437500E+2	6,987225E+1	1,437500E+2	7,079040E+1	1,437500E+2	6,916786E+1	1,437500E+2	7,137162E+1	1,437500E+2	6,907230E+1	1,437500E+2	6,725501E+1	1,437500E+2	6,946012E+1	1,437500E+2	6,942226E+1	1,437500E+2	6,875348E+1	1,437500E+2	6,746059E+1
1,453125E+2	6,900362E+1	1,453125E+2	7,027730E+1	1,453125E+2	6,933776E+1	1,453125E+2	6,866949E+1	1,453125E+2	6,991889E+1	1,453125E+2	7,025001E+1	1,453125E+2	6,973670E+1	1,453125E+2	6,863521E+1	1,453125E+2	6,853962E+1	1,453125E+2	6,974457E+1	1,453125E+2	6,741416E+1	1,453125E+2	6,950340E+1	1,453125E+2	6,959592E+1	1,453125E+2	6,986902E+1	1,453125E+2	6,914091E+1	1,453125E+2	7,125368E+1	1,453125E+2	6,913057E+1	1,453125E+2	7,108688E+1	1,453125E+2	6,909525E+1	1,453125E+2	6,850316E+1	1,453125E+2	6,845156E+1	1,453125E+2	6,853419E+1	1,453125E+2	6,954192E+1	1,453125E+2	6,891795E+1
