Sample 1 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 1 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 2 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 2 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 3 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 3 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 4 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 4 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 5 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 5 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 6 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 6 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 8 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 8 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 9 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 9 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 10 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 10 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 11 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 11 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 12 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 12 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 13 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 13 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	
3,156250E+2	1,043145E+0	3,156250E+2	-6,378519E-1	3,156250E+2	1,060039E+0	3,156250E+2	-9,492694E-1	3,156250E+2	1,180294E+0	3,156250E+2	-1,482189E+0	3,156250E+2	1,299299E+0	3,156250E+2	-2,242033E+0	3,156250E+2	1,488013E+0	3,156250E+2	-2,872959E+0	3,156250E+2	1,602672E+0	3,156250E+2	-3,168381E+0	3,156250E+2	1,060837E+0	3,156250E+2	-5,733355E-1	3,156250E+2	1,062443E+0	3,156250E+2	-7,152535E-1	3,156250E+2	1,095760E+0	3,156250E+2	-1,067825E+0	3,156250E+2	1,129364E+0	3,156250E+2	-1,570091E+0	3,156250E+2	1,131555E+0	3,156250E+2	-2,079130E+0	3,156250E+2	1,166382E+0	3,156250E+2	-2,325720E+0
3,171875E+2	1,058015E+0	3,171875E+2	-6,245906E-1	3,171875E+2	1,074711E+0	3,171875E+2	-8,975841E-1	3,171875E+2	1,186910E+0	3,171875E+2	-1,460202E+0	3,171875E+2	1,294305E+0	3,171875E+2	-2,212754E+0	3,171875E+2	1,495177E+0	3,171875E+2	-2,861854E+0	3,171875E+2	1,621270E+0	3,171875E+2	-3,167944E+0	3,171875E+2	1,073566E+0	3,171875E+2	-5,636727E-1	3,171875E+2	1,075883E+0	3,171875E+2	-7,085194E-1	3,171875E+2	1,110289E+0	3,171875E+2	-1,065937E+0	3,171875E+2	1,139898E+0	3,171875E+2	-1,566447E+0	3,171875E+2	1,127878E+0	3,171875E+2	-2,059745E+0	3,171875E+2	1,159409E+0	3,171875E+2	-2,302563E+0
3,187500E+2	1,072323E+0	3,187500E+2	-6,109814E-1	3,187500E+2	1,086841E+0	3,187500E+2	-8,466273E-1	3,187500E+2	1,192735E+0	3,187500E+2	-1,438205E+0	3,187500E+2	1,288096E+0	3,187500E+2	-2,183354E+0	3,187500E+2	1,501056E+0	3,187500E+2	-2,850190E+0	3,187500E+2	1,638839E+0	3,187500E+2	-3,166841E+0	3,187500E+2	1,085918E+0	3,187500E+2	-5,537259E-1	3,187500E+2	1,089115E+0	3,187500E+2	-7,015089E-1	3,187500E+2	1,124830E+0	3,187500E+2	-1,063860E+0	3,187500E+2	1,150210E+0	3,187500E+2	-1,562747E+0	3,187500E+2	1,123334E+0	3,187500E+2	-2,040256E+0	3,187500E+2	1,151376E+0	3,187500E+2	-2,279170E+0
3,203125E+2	1,088912E+0	3,203125E+2	-5,962731E-1	3,203125E+2	1,102058E+0	3,203125E+2	-8,289732E-1	3,203125E+2	1,200679E+0	3,203125E+2	-1,418237E+0	3,203125E+2	1,281115E+0	3,203125E+2	-2,152494E+0	3,203125E+2	1,501516E+0	3,203125E+2	-2,833246E+0	3,203125E+2	1,649938E+0	3,203125E+2	-3,159510E+0	3,203125E+2	1,100765E+0	3,203125E+2	-5,405054E-1	3,203125E+2	1,103855E+0	3,203125E+2	-6,915097E-1	3,203125E+2	1,139733E+0	3,203125E+2	-1,059113E+0	3,203125E+2	1,161548E+0	3,203125E+2	-1,560260E+0	3,203125E+2	1,124299E+0	3,203125E+2	-2,028949E+0	3,203125E+2	1,145174E+0	3,203125E+2	-2,258600E+0
3,218750E+2	1,104836E+0	3,218750E+2	-5,811163E-1	3,218750E+2	1,116555E+0	3,218750E+2	-8,110247E-1	3,218750E+2	1,207906E+0	3,218750E+2	-1,398247E+0	3,218750E+2	1,272998E+0	3,218750E+2	-2,121656E+0	3,218750E+2	1,500542E+0	3,218750E+2	-2,815838E+0	3,218750E+2	1,659659E+0	3,218750E+2	-3,151552E+0	3,218750E+2	1,115029E+0	3,218750E+2	-5,268972E-1	3,218750E+2	1,118232E+0	3,218750E+2	-6,811643E-1	3,218750E+2	1,154545E+0	3,218750E+2	-1,054133E+0	3,218750E+2	1,172720E+0	3,218750E+2	-1,557733E+0	3,218750E+2	1,124603E+0	3,218750E+2	-2,017571E+0	3,218750E+2	1,138027E+0	3,218750E+2	-2,237871E+0
3,234375E+2	1,129368E+0	3,234375E+2	-5,492395E-1	3,234375E+2	1,136478E+0	3,234375E+2	-7,864888E-1	3,234375E+2	1,217497E+0	3,234375E+2	-1,378792E+0	3,234375E+2	1,269574E+0	3,234375E+2	-2,094424E+0	3,234375E+2	1,493087E+0	3,234375E+2	-2,789966E+0	3,234375E+2	1,667853E+0	3,234375E+2	-3,138882E+0	3,234375E+2	1,138571E+0	3,234375E+2	-5,056673E-1	3,234375E+2	1,139506E+0	3,234375E+2	-6,593766E-1	3,234375E+2	1,169784E+0	3,234375E+2	-1,038962E+0	3,234375E+2	1,183594E+0	3,234375E+2	-1,551811E+0	3,234375E+2	1,130447E+0	3,234375E+2	-2,012068E+0	3,234375E+2	1,138772E+0	3,234375E+2	-2,226396E+0
3,250000E+2	1,151858E+0	3,250000E+2	-5,166432E-1	3,250000E+2	1,155206E+0	3,250000E+2	-7,614647E-1	3,250000E+2	1,226397E+0	3,250000E+2	-1,359281E+0	3,250000E+2	1,265143E+0	3,250000E+2	-2,067214E+0	3,250000E+2	1,484126E+0	3,250000E+2	-2,763738E+0	3,250000E+2	1,674578E+0	3,250000E+2	-3,125589E+0	3,250000E+2	1,160888E+0	3,250000E+2	-4,835285E-1	3,250000E+2	1,159662E+0	3,250000E+2	-6,369278E-1	3,250000E+2	1,184480E+0	3,250000E+2	-1,023502E+0	3,250000E+2	1,194208E+0	3,250000E+2	-1,545823E+0	3,250000E+2	1,135834E+0	3,250000E+2	-2,006507E+0	3,250000E+2	1,138804E+0	3,250000E+2	-2,214781E+0
3,265625E+2	1,182268E+0	3,265625E+2	-4,859948E-1	3,265625E+2	1,180623E+0	3,265625E+2	-7,299501E-1	3,265625E+2	1,230419E+0	3,265625E+2	-1,329031E+0	3,265625E+2	1,266554E+0	3,265625E+2	-2,046386E+0	3,265625E+2	1,472602E+0	3,265625E+2	-2,732657E+0	3,265625E+2	1,673278E+0	3,265625E+2	-3,103425E+0	3,265625E+2	1,201580E+0	3,265625E+2	-4,506295E-1	3,265625E+2	1,196188E+0	3,265625E+2	-6,035163E-1	3,265625E+2	1,199046E+0	3,265625E+2	-9,852379E-1	3,265625E+2	1,195114E+0	3,265625E+2	-1,524518E+0	3,265625E+2	1,140689E+0	3,265625E+2	-1,999563E+0	3,265625E+2	1,143992E+0	3,265625E+2	-2,208916E+0
3,281250E+2	1,210519E+0	3,281250E+2	-4,539642E-1	3,281250E+2	1,204196E+0	3,281250E+2	-6,976565E-1	3,281250E+2	1,233435E+0	3,281250E+2	-1,299094E+0	3,281250E+2	1,267126E+0	3,281250E+2	-2,025530E+0	3,281250E+2	1,459657E+0	3,281250E+2	-2,701362E+0	3,281250E+2	1,670297E+0	3,281250E+2	-3,080740E+0	3,281250E+2	1,239629E+0	3,281250E+2	-4,152717E-1	3,281250E+2	1,230315E+0	3,281250E+2	-5,682884E-1	3,281250E+2	1,211836E+0	3,281250E+2	-9,471253E-1	3,281250E+2	1,195335E+0	3,281250E+2	-1,503412E+0	3,281250E+2	1,145072E+0	3,281250E+2	-1,992585E+0	3,281250E+2	1,148654E+0	3,281250E+2	-2,202947E+0
3,296875E+2	1,232835E+0	3,296875E+2	-4,386175E-1	3,296875E+2	1,224369E+0	3,296875E+2	-6,809866E-1	3,296875E+2	1,235986E+0	3,296875E+2	-1,265582E+0	3,296875E+2	1,271321E+0	3,296875E+2	-2,008487E+0	3,296875E+2	1,444228E+0	3,296875E+2	-2,667417E+0	3,296875E+2	1,658688E+0	3,296875E+2	-3,049557E+0	3,296875E+2	1,275055E+0	3,296875E+2	-3,867454E-1	3,296875E+2	1,254128E+0	3,296875E+2	-5,525484E-1	3,296875E+2	1,227015E+0	3,296875E+2	-9,390303E-1	3,296875E+2	1,187343E+0	3,296875E+2	-1,474975E+0	3,296875E+2	1,143510E+0	3,296875E+2	-1,977385E+0	3,296875E+2	1,149616E+0	3,296875E+2	-2,192661E+0
3,312500E+2	1,254395E+0	3,312500E+2	-4,222719E-1	3,312500E+2	1,243809E+0	3,312500E+2	-6,636436E-1	3,312500E+2	1,237450E+0	3,312500E+2	-1,232574E+0	3,312500E+2	1,274805E+0	3,312500E+2	-1,991412E+0	3,312500E+2	1,427531E+0	3,312500E+2	-2,633424E+0	3,312500E+2	1,645388E+0	3,312500E+2	-3,018052E+0	3,312500E+2	1,308410E+0	3,312500E+2	-3,560416E-1	3,312500E+2	1,277223E+0	3,312500E+2	-5,357813E-1	3,312500E+2	1,241989E+0	3,312500E+2	-9,306447E-1	3,312500E+2	1,178687E+0	3,312500E+2	-1,447097E+0	3,312500E+2	1,141325E+0	3,312500E+2	-1,962239E+0	3,312500E+2	1,149963E+0	3,312500E+2	-2,182323E+0
3,328125E+2	1,283960E+0	3,328125E+2	-4,006612E-1	3,328125E+2	1,265482E+0	3,328125E+2	-6,474937E-1	3,328125E+2	1,245762E+0	3,328125E+2	-1,212453E+0	3,328125E+2	1,277063E+0	3,328125E+2	-1,970409E+0	3,328125E+2	1,418476E+0	3,328125E+2	-2,606217E+0	3,328125E+2	1,627653E+0	3,328125E+2	-2,982073E+0	3,328125E+2	1,333882E+0	3,328125E+2	-3,383816E-1	3,328125E+2	1,299422E+0	3,328125E+2	-5,215644E-1	3,328125E+2	1,257708E+0	3,328125E+2	-9,247535E-1	3,328125E+2	1,186290E+0	3,328125E+2	-1,441375E+0	3,328125E+2	1,135089E+0	3,328125E+2	-1,940375E+0	3,328125E+2	1,145028E+0	3,328125E+2	-2,163802E+0
3,343750E+2	1,312222E+0	3,343750E+2	-3,773872E-1	3,343750E+2	1,286457E+0	3,343750E+2	-6,305323E-1	3,343750E+2	1,253391E+0	3,343750E+2	-1,192404E+0	3,343750E+2	1,278567E+0	3,343750E+2	-1,949468E+0	3,343750E+2	1,408307E+0	3,343750E+2	-2,578956E+0	3,343750E+2	1,608414E+0	3,343750E+2	-2,945961E+0	3,343750E+2	1,358445E+0	3,343750E+2	-3,193087E-1	3,343750E+2	1,321039E+0	3,343750E+2	-5,063908E-1	3,343750E+2	1,273341E+0	3,343750E+2	-9,185601E-1	3,343750E+2	1,193667E+0	3,343750E+2	-1,435714E+0	3,343750E+2	1,128216E+0	3,343750E+2	-1,918702E+0	3,343750E+2	1,139409E+0	3,343750E+2	-2,145321E+0
3,359375E+2	1,349977E+0	3,359375E+2	-3,494204E-1	3,359375E+2	1,310792E+0	3,359375E+2	-6,143795E-1	3,359375E+2	1,264335E+0	3,359375E+2	-1,180537E+0	3,359375E+2	1,258136E+0	3,359375E+2	-1,902056E+0	3,359375E+2	1,410215E+0	3,359375E+2	-2,563881E+0	3,359375E+2	1,595179E+0	3,359375E+2	-2,918073E+0	3,359375E+2	1,384969E+0	3,359375E+2	-3,021713E-1	3,359375E+2	1,344735E+0	3,359375E+2	-4,936448E-1	3,359375E+2	1,289095E+0	3,359375E+2	-9,123661E-1	3,359375E+2	1,202144E+0	3,359375E+2	-1,431745E+0	3,359375E+2	1,124870E+0	3,359375E+2	-1,903951E+0	3,359375E+2	1,131891E+0	3,359375E+2	-2,125286E+0
3,375000E+2	1,385765E+0	3,375000E+2	-3,188105E-1	3,375000E+2	1,334439E+0	3,375000E+2	-5,971799E-1	3,375000E+2	1,274907E+0	3,375000E+2	-1,168609E+0	3,375000E+2	1,237116E+0	3,375000E+2	-1,855751E+0	3,375000E+2	1,411255E+0	3,375000E+2	-2,548694E+0	3,375000E+2	1,580617E+0	3,375000E+2	-2,890087E+0	3,375000E+2	1,410679E+0	3,375000E+2	-2,834456E-1	3,375000E+2	1,367992E+0	3,375000E+2	-4,797927E-1	3,375000E+2	1,304760E+0	3,375000E+2	-9,058651E-1	3,375000E+2	1,210463E+0	3,375000E+2	-1,427843E+0	3,375000E+2	1,121007E+0	3,375000E+2	-1,889359E+0	3,375000E+2	1,123744E+0	3,375000E+2	-2,105381E+0
3,390625E+2	1,420778E+0	3,390625E+2	-2,964514E-1	3,390625E+2	1,357523E+0	3,390625E+2	-5,850266E-1	3,390625E+2	1,286820E+0	3,390625E+2	-1,157805E+0	3,390625E+2	1,231684E+0	3,390625E+2	-1,829720E+0	3,390625E+2	1,407223E+0	3,390625E+2	-2,527901E+0	3,390625E+2	1,581328E+0	3,390625E+2	-2,874876E+0	3,390625E+2	1,441440E+0	3,390625E+2	-2,656782E-1	3,390625E+2	1,393550E+0	3,390625E+2	-4,690621E-1	3,390625E+2	1,320758E+0	3,390625E+2	-8,976056E-1	3,390625E+2	1,218424E+0	3,390625E+2	-1,421721E+0	3,390625E+2	1,124165E+0	3,390625E+2	-1,882619E+0	3,390625E+2	1,122010E+0	3,390625E+2	-2,092626E+0
3,406250E+2	1,454551E+0	3,406250E+2	-2,715864E-1	3,406250E+2	1,380239E+0	3,406250E+2	-5,718912E-1	3,406250E+2	1,298414E+0	3,406250E+2	-1,146907E+0	3,406250E+2	1,225593E+0	3,406250E+2	-1,804076E+0	3,406250E+2	1,402293E+0	3,406250E+2	-2,507122E+0	3,406250E+2	1,580987E+0	3,406250E+2	-2,859517E+0	3,406250E+2	1,471431E+0	3,406250E+2	-2,458281E-1	3,406250E+2	1,418885E+0	3,406250E+2	-4,570634E-1	3,406250E+2	1,336582E+0	3,406250E+2	-8,890080E-1	3,406250E+2	1,226175E+0	3,406250E+2	-1,415671E+0	3,406250E+2	1,126974E+0	3,406250E+2	-1,875981E+0	3,406250E+2	1,119761E+0	3,406250E+2	-2,079958E+0
