Sample 1_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 2_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 3_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 4_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 5_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 6_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 8_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 9_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 10_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 11_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 12_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 13_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	
3,218750E+2	9,999298E+1	3,218750E+2	1,099358E+2	3,218750E+2	1,200001E+2	3,218750E+2	1,300389E+2	3,218750E+2	1,399515E+2	3,218750E+2	1,449391E+2	3,218750E+2	9,767518E+1	3,218750E+2	1,071138E+2	3,218750E+2	1,157681E+2	3,218750E+2	1,240234E+2	3,218750E+2	1,323640E+2	3,218750E+2	1,365287E+2
3,234375E+2	9,998589E+1	3,234375E+2	1,099228E+2	3,234375E+2	1,199642E+2	3,234375E+2	1,300516E+2	3,234375E+2	1,399604E+2	3,234375E+2	1,449323E+2	3,234375E+2	9,769556E+1	3,234375E+2	1,071258E+2	3,234375E+2	1,157671E+2	3,234375E+2	1,240525E+2	3,234375E+2	1,324726E+2	3,234375E+2	1,366860E+2
3,250000E+2	9,997879E+1	3,250000E+2	1,099099E+2	3,250000E+2	1,199282E+2	3,250000E+2	1,300644E+2	3,250000E+2	1,399693E+2	3,250000E+2	1,449255E+2	3,250000E+2	9,771588E+1	3,250000E+2	1,071377E+2	3,250000E+2	1,157662E+2	3,250000E+2	1,240815E+2	3,250000E+2	1,325797E+2	3,250000E+2	1,368404E+2
3,265625E+2	1,000100E+2	3,265625E+2	1,099512E+2	3,265625E+2	1,199283E+2	3,265625E+2	1,300498E+2	3,265625E+2	1,399879E+2	3,265625E+2	1,449289E+2	3,265625E+2	9,778010E+1	3,265625E+2	1,072261E+2	3,265625E+2	1,158911E+2	3,265625E+2	1,241654E+2	3,265625E+2	1,326742E+2	3,265625E+2	1,369617E+2
3,281250E+2	1,000411E+2	3,281250E+2	1,099924E+2	3,281250E+2	1,199285E+2	3,281250E+2	1,300353E+2	3,281250E+2	1,400065E+2	3,281250E+2	1,449324E+2	3,281250E+2	9,784385E+1	3,281250E+2	1,073137E+2	3,281250E+2	1,160143E+2	3,281250E+2	1,242485E+2	3,281250E+2	1,327677E+2	3,281250E+2	1,370812E+2
3,296875E+2	1,000275E+2	3,296875E+2	1,100013E+2	3,296875E+2	1,199595E+2	3,296875E+2	1,299935E+2	3,296875E+2	1,400331E+2	3,296875E+2	1,449522E+2	3,296875E+2	9,791733E+1	3,296875E+2	1,073708E+2	3,296875E+2	1,160825E+2	3,296875E+2	1,244060E+2	3,296875E+2	1,328822E+2	3,296875E+2	1,372018E+2
3,312500E+2	1,000139E+2	3,312500E+2	1,100103E+2	3,312500E+2	1,199904E+2	3,312500E+2	1,299516E+2	3,312500E+2	1,400596E+2	3,312500E+2	1,449721E+2	3,312500E+2	9,799020E+1	3,312500E+2	1,074276E+2	3,312500E+2	1,161501E+2	3,312500E+2	1,245606E+2	3,312500E+2	1,329952E+2	3,312500E+2	1,373208E+2
3,328125E+2	1,000066E+2	3,328125E+2	1,100126E+2	3,328125E+2	1,200125E+2	3,328125E+2	1,299096E+2	3,328125E+2	1,400594E+2	3,328125E+2	1,450028E+2	3,328125E+2	9,802528E+1	3,328125E+2	1,074674E+2	3,328125E+2	1,161957E+2	3,328125E+2	1,246445E+2	3,328125E+2	1,331439E+2	3,328125E+2	1,374638E+2
3,343750E+2	9,999922E+1	3,343750E+2	1,100150E+2	3,343750E+2	1,200346E+2	3,343750E+2	1,298673E+2	3,343750E+2	1,400592E+2	3,343750E+2	1,450334E+2	3,343750E+2	9,806022E+1	3,343750E+2	1,075070E+2	3,343750E+2	1,162412E+2	3,343750E+2	1,247275E+2	3,343750E+2	1,332900E+2	3,343750E+2	1,376044E+2
3,359375E+2	1,000236E+2	3,359375E+2	1,100240E+2	3,359375E+2	1,200349E+2	3,359375E+2	1,299353E+2	3,359375E+2	1,400060E+2	3,359375E+2	1,450357E+2	3,359375E+2	9,807116E+1	3,359375E+2	1,075261E+2	3,359375E+2	1,162700E+2	3,359375E+2	1,247901E+2	3,359375E+2	1,334269E+2	3,359375E+2	1,377605E+2
