% Model:              Test mousse céramique.mph
% Version:            COMSOL 6.2.0.415
% Date:               Dec 10 2024, 19:44
% Table:              Table 1 - Moyenne sur ligne 1
% freq (Hz)                                       1-abs((exp(-j*ta.omega/acpr.c*D12)-acpr.p_t)/(acpr.p_t-exp(j*ta.omega/acpr.c*D12))*exp(2*j*ta.omega/acpr.c*(D2S+D12)))^2 (1)
1                                                 1.16607153089538E-5
26                                                6.697235054224598E-5
51                                                1.5760404641890829E-4
76                                                3.010156652117531E-4
101                                               5.061753105677377E-4
126                                               7.895700872103527E-4
151                                               0.0011731154725654314
176                                               0.0016846934082993803
201                                               0.00235938384461346
226                                               0.003240641528839584
251                                               0.004380750471249036
276                                               0.005839302055658185
301                                               0.00767738585997679
326                                               0.00994386763115761
351                                               0.01264958767657
376                                               0.0157283994853216
401                                               0.018995158014517056
426                                               0.022130322481487965
451                                               0.024731635409112426
476                                               0.02644181756198757
501                                               0.0270882003531262
526                                               0.026735832671910542
551                                               0.025623301905048627
576                                               0.024045208254643336
601                                               0.022260196293943244
626                                               0.020452923396346075
651                                               0.018735690253780152
676                                               0.017166397093145446
701                                               0.01576786612632326
726                                               0.014542808363829048
751                                               0.013483770463385761
776                                               0.012579163868148915
801                                               0.011816688327772272
826                                               0.011185176067293582
851                                               0.010675545385745612
876                                               0.010281293108436678
901                                               0.009998784907934178
926                                               0.009827499921777309
951                                               0.009770328390338385
976                                               0.00983399081903639
1001                                              0.010029632064699931
1026                                              0.010373633689388935
1051                                              0.010888671299760717
1076                                              0.011605001484721926
1101                                              0.012561859524946312
1126                                              0.013808615408000085
1151                                              0.01540484655711325
1176                                              0.017417541775889826
1201                                              0.019912030113943317
1226                                              0.022931009866877804
1251                                              0.026454665661902195
1276                                              0.0303392160192621
1301                                              0.0342507688598249
1326                                              0.03764997339042111
1351                                              0.039907047343182164
1376                                              0.04055620404395479
1401                                              0.03953311982693617
1426                                              0.037189512101081436
1451                                              0.03408174027916461
1476                                              0.030728612912464214
1501                                              0.02748780545146127
1526                                              0.0245506118675194
1551                                              0.02198919918644426
1576                                              0.019807175394166196
1601                                              0.017975708453816058
1626                                              0.016454764245077358
1651                                              0.015204022114388623
1676                                              0.014187782499075466
1701                                              0.013376758580151058
1726                                              0.012748428487693987
1751                                              0.012286846566776104
1776                                              0.01198237570836973
1801                                              0.011831579566689591
1826                                              0.011837412105676853
1851                                              0.012009807843695933
1876                                              0.012366778842971486
1901                                              0.012936144394530268
1926                                              0.013758035072223543
1951                                              0.014888281653207222
1976                                              0.01640261826379418
2001                                              0.018401050459887
2026                                              0.02101020243687943
2051                                              0.024377829165401668
2076                                              0.028646194461188254
2101                                              0.03387906812263938
2126                                              0.039910062990733096
2151                                              0.046118835310256595
2176                                              0.05129756981525355
2201                                              0.053968113848252466
2226                                              0.053253825652106554
2251                                              0.04954246806543006
2276                                              0.04413262208757284
2301                                              0.03834018188582781
2326                                              0.03298720607231085
2351                                              0.02840891781566027
2376                                              0.024649030880109044
2401                                              0.0216248422571888
2426                                              0.01921898623716224
2451                                              0.01731953632318063
2476                                              0.015833539378424733
2501                                              0.014689191766775871
2526                                              0.013834068918914198
2551                                              0.013232607726363203
2576                                              0.01286411009550641
2601                                              0.012721763472203967
2626                                              0.012812947807849091
2651                                              0.01316114189698638
2676                                              0.013809957034376508
2701                                              0.0148302032187844
2726                                              0.016331451842133905
2751                                              0.018480232035219014
2776                                              0.02152723727998648
2801                                              0.025843288702064163
2826                                              0.03194938147096441
2851                                              0.040472289672443144
2876                                              0.05180474943271957
2901                                              0.06502689182395092
2926                                              0.07620789633559094
2951                                              0.07927262215704994
2976                                              0.07227870982743306
