Sample 1_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 2_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 3_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 4_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 5_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 7_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 8_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	
3,000000E+2	7,494699E+1	3,000000E+2	7,623875E+1	3,000000E+2	8,094938E+1	3,000000E+2	8,952772E+1	3,000000E+2	9,913113E+1	3,000000E+2	1,021628E+2	3,000000E+2	1,076146E+2
3,015625E+2	6,927291E+1	3,015625E+2	7,175260E+1	3,015625E+2	8,071201E+1	3,015625E+2	9,064345E+1	3,015625E+2	9,965950E+1	3,015625E+2	1,034452E+2	3,015625E+2	1,076434E+2
3,031250E+2	5,996693E+1	3,031250E+2	6,924354E+1	3,031250E+2	8,030615E+1	3,031250E+2	8,977405E+1	3,031250E+2	9,803771E+1	3,031250E+2	1,034319E+2	3,031250E+2	1,068207E+2
3,046875E+2	5,995018E+1	3,046875E+2	7,014171E+1	3,046875E+2	7,851569E+1	3,046875E+2	8,885262E+1	3,046875E+2	9,826255E+1	3,046875E+2	1,029337E+2	3,046875E+2	1,071864E+2
3,062500E+2	5,892469E+1	3,062500E+2	6,969483E+1	3,062500E+2	7,908509E+1	3,062500E+2	8,870198E+1	3,062500E+2	9,780842E+1	3,062500E+2	1,030115E+2	3,062500E+2	1,073355E+2
3,078125E+2	5,898031E+1	3,078125E+2	7,041425E+1	3,078125E+2	7,873152E+1	3,078125E+2	8,888964E+1	3,078125E+2	9,749738E+1	3,078125E+2	1,031431E+2	3,078125E+2	1,069287E+2
3,093750E+2	5,908321E+1	3,093750E+2	6,907241E+1	3,093750E+2	7,919082E+1	3,093750E+2	8,883917E+1	3,093750E+2	9,768980E+1	3,093750E+2	1,025343E+2	3,093750E+2	1,070705E+2
3,109375E+2	5,922513E+1	3,109375E+2	6,927141E+1	3,109375E+2	7,852760E+1	3,109375E+2	8,929323E+1	3,109375E+2	9,708899E+1	3,109375E+2	1,023386E+2	3,109375E+2	1,063636E+2
3,125000E+2	5,893141E+1	3,125000E+2	6,984908E+1	3,125000E+2	7,755526E+1	3,125000E+2	8,922889E+1	3,125000E+2	9,788884E+1	3,125000E+2	1,024432E+2	3,125000E+2	1,071419E+2
3,140625E+2	5,803661E+1	3,140625E+2	6,893765E+1	3,140625E+2	7,864477E+1	3,140625E+2	8,947086E+1	3,140625E+2	9,739657E+1	3,140625E+2	1,036193E+2	3,140625E+2	1,063036E+2
3,156250E+2	5,811826E+1	3,156250E+2	6,870306E+1	3,156250E+2	7,904995E+1	3,156250E+2	8,985490E+1	3,156250E+2	9,720053E+1	3,156250E+2	1,035291E+2	3,156250E+2	1,063038E+2
3,171875E+2	5,883003E+1	3,171875E+2	6,888219E+1	3,171875E+2	7,950881E+1	3,171875E+2	8,934924E+1	3,171875E+2	9,781505E+1	3,171875E+2	1,019470E+2	3,171875E+2	1,056581E+2
3,187500E+2	5,920333E+1	3,187500E+2	6,929013E+1	3,187500E+2	7,945514E+1	3,187500E+2	8,978784E+1	3,187500E+2	9,762443E+1	3,187500E+2	1,019704E+2	3,187500E+2	1,063099E+2
3,203125E+2	5,914127E+1	3,203125E+2	6,935442E+1	3,203125E+2	7,897243E+1	3,203125E+2	8,915896E+1	3,203125E+2	9,750645E+1	3,203125E+2	1,022953E+2	3,203125E+2	1,064974E+2
3,218750E+2	5,975771E+1	3,218750E+2	6,979118E+1	3,218750E+2	7,949404E+1	3,218750E+2	8,822206E+1	3,218750E+2	9,735765E+1	3,218750E+2	1,022759E+2	3,218750E+2	1,064912E+2
3,234375E+2	5,976935E+1	3,234375E+2	6,832294E+1	3,234375E+2	7,870344E+1	3,234375E+2	8,812705E+1	3,234375E+2	9,732716E+1	3,234375E+2	1,029446E+2	3,234375E+2	1,062423E+2
3,250000E+2	5,987807E+1	3,250000E+2	6,868138E+1	3,250000E+2	8,033853E+1	3,250000E+2	8,787200E+1	3,250000E+2	9,816792E+1	3,250000E+2	1,023544E+2	3,250000E+2	1,059372E+2
3,265625E+2	5,952765E+1	3,265625E+2	7,047480E+1	3,265625E+2	7,980330E+1	3,265625E+2	8,878756E+1	3,265625E+2	9,790491E+1	3,265625E+2	1,018640E+2	3,265625E+2	1,056390E+2
3,281250E+2	5,953499E+1	3,281250E+2	7,055588E+1	3,281250E+2	7,946638E+1	3,281250E+2	8,965570E+1	3,281250E+2	9,782887E+1	3,281250E+2	1,015823E+2	3,281250E+2	1,062348E+2
