Sample 1 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 1 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 2 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 2 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 3 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 3 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 4 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 4 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 5 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 5 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 7 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 7 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 8 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 8 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	
3,171875E+2	6,089589E-1	3,171875E+2	-1,883141E+0	3,171875E+2	5,614174E-1	3,171875E+2	-1,849263E+0	3,171875E+2	6,050780E-1	3,171875E+2	-1,870786E+0	3,171875E+2	8,919076E-1	3,171875E+2	-2,004311E+0	3,171875E+2	1,596677E+0	3,171875E+2	-2,303527E+0	3,171875E+2	2,149724E+0	3,171875E+2	-2,563504E+0	3,171875E+2	2,650734E+0	3,171875E+2	-2,808611E+0
3,187500E+2	6,313873E-1	3,187500E+2	-1,842201E+0	3,187500E+2	5,853124E-1	3,187500E+2	-1,812181E+0	3,187500E+2	6,198171E-1	3,187500E+2	-1,822614E+0	3,187500E+2	9,026910E-1	3,187500E+2	-1,968949E+0	3,187500E+2	1,643920E+0	3,187500E+2	-2,272448E+0	3,187500E+2	2,126066E+0	3,187500E+2	-2,457041E+0	3,187500E+2	2,718958E+0	3,187500E+2	-2,748394E+0
3,203125E+2	6,064370E-1	3,203125E+2	-1,838688E+0	3,203125E+2	5,708781E-1	3,203125E+2	-1,749723E+0	3,203125E+2	6,321250E-1	3,203125E+2	-1,778116E+0	3,203125E+2	8,914932E-1	3,203125E+2	-1,936141E+0	3,203125E+2	1,671388E+0	3,203125E+2	-2,260497E+0	3,203125E+2	2,212204E+0	3,203125E+2	-2,422488E+0	3,203125E+2	2,783175E+0	3,203125E+2	-2,639587E+0
3,218750E+2	5,864240E-1	3,218750E+2	-1,771406E+0	3,218750E+2	5,566837E-1	3,218750E+2	-1,742275E+0	3,218750E+2	6,237848E-1	3,218750E+2	-1,748123E+0	3,218750E+2	8,771666E-1	3,218750E+2	-1,904858E+0	3,218750E+2	1,643811E+0	3,218750E+2	-2,251027E+0	3,218750E+2	2,159259E+0	3,218750E+2	-2,422100E+0	3,218750E+2	2,831575E+0	3,218750E+2	-2,634001E+0
3,234375E+2	5,357226E-1	3,234375E+2	-1,694785E+0	3,234375E+2	5,736439E-1	3,234375E+2	-1,697320E+0	3,234375E+2	6,344103E-1	3,234375E+2	-1,724286E+0	3,234375E+2	9,023341E-1	3,234375E+2	-1,866742E+0	3,234375E+2	1,637765E+0	3,234375E+2	-2,190641E+0	3,234375E+2	2,129157E+0	3,234375E+2	-2,319861E+0	3,234375E+2	2,732265E+0	3,234375E+2	-2,664016E+0
3,250000E+2	5,254158E-1	3,250000E+2	-1,615075E+0	3,250000E+2	5,520170E-1	3,250000E+2	-1,648113E+0	3,250000E+2	6,065829E-1	3,250000E+2	-1,698238E+0	3,250000E+2	8,897235E-1	3,250000E+2	-1,826035E+0	3,250000E+2	1,589342E+0	3,250000E+2	-2,159866E+0	3,250000E+2	2,157565E+0	3,250000E+2	-2,323517E+0	3,250000E+2	2,630412E+0	3,250000E+2	-2,667478E+0
3,265625E+2	5,329479E-1	3,265625E+2	-1,632026E+0	3,265625E+2	5,309100E-1	3,265625E+2	-1,628266E+0	3,265625E+2	6,042744E-1	3,265625E+2	-1,690048E+0	3,265625E+2	8,856967E-1	3,265625E+2	-1,825006E+0	3,265625E+2	1,561096E+0	3,265625E+2	-2,174267E+0	3,265625E+2	2,193716E+0	3,265625E+2	-2,352078E+0	3,265625E+2	2,639153E+0	3,265625E+2	-2,643352E+0
3,281250E+2	5,844487E-1	3,281250E+2	-1,680045E+0	3,281250E+2	5,410270E-1	3,281250E+2	-1,641133E+0	3,281250E+2	6,135796E-1	3,281250E+2	-1,671275E+0	3,281250E+2	8,857008E-1	3,281250E+2	-1,842762E+0	3,281250E+2	1,636848E+0	3,281250E+2	-2,231548E+0	3,281250E+2	2,184417E+0	3,281250E+2	-2,345846E+0	3,281250E+2	2,725453E+0	3,281250E+2	-2,615139E+0
3,296875E+2	5,458143E-1	3,296875E+2	-1,696623E+0	3,296875E+2	5,237210E-1	3,296875E+2	-1,629082E+0	3,296875E+2	6,073245E-1	3,296875E+2	-1,646997E+0	3,296875E+2	8,861648E-1	3,296875E+2	-1,805230E+0	3,296875E+2	1,634286E+0	3,296875E+2	-2,149541E+0	3,296875E+2	2,125686E+0	3,296875E+2	-2,327981E+0	3,296875E+2	2,817174E+0	3,296875E+2	-2,574624E+0
3,312500E+2	5,538111E-1	3,312500E+2	-1,620045E+0	3,312500E+2	5,542484E-1	3,312500E+2	-1,566211E+0	3,312500E+2	6,178196E-1	3,312500E+2	-1,592401E+0	3,312500E+2	9,001759E-1	3,312500E+2	-1,736145E+0	3,312500E+2	1,637912E+0	3,312500E+2	-2,066404E+0	3,312500E+2	2,172594E+0	3,312500E+2	-2,215532E+0	3,312500E+2	2,809373E+0	3,312500E+2	-2,449637E+0
