X,Y,R
-6.07,-10.64,0.600
-6.07,-8.27,0.600
-6.07,-5.91,0.600
-6.07,-3.55,0.600
-6.07,-1.18,0.600
-6.07,1.18,0.600
-6.07,3.55,0.600
-6.07,5.91,0.600
-6.07,8.27,0.600
-6.07,10.64,0.600
-3.65,-10.64,0.600
-3.65,-8.27,0.600
-3.65,-5.91,0.600
-3.65,-3.55,0.600
-3.65,-1.18,0.600
-3.65,1.18,0.600
-3.65,3.55,0.600
-3.65,5.91,0.600
-3.65,8.27,0.600
-3.65,10.64,0.600
-1.21,-10.64,0.600
-1.21,-8.27,0.600
-1.21,-5.91,0.600
-1.21,-3.55,0.600
-1.21,-1.18,0.600
-1.21,1.18,0.600
-1.21,3.55,0.600
-1.21,5.91,0.600
-1.21,8.27,0.600
-1.21,10.64,0.600
1.21,-10.64,0.600
1.21,-8.27,0.600
1.21,-5.91,0.600
1.21,-3.55,0.600
1.21,-1.18,0.600
1.21,1.18,0.600
1.21,3.55,0.600
1.21,5.91,0.600
1.21,8.27,0.600
1.21,10.64,0.600
3.65,-10.64,0.600
3.65,-8.27,0.600
3.65,-5.91,0.600
3.65,-3.55,0.600
3.65,-1.18,0.600
3.65,1.18,0.600
3.65,3.55,0.600
3.65,5.91,0.600
3.65,8.27,0.600
3.65,10.64,0.600
6.07,-10.64,0.600
6.07,-8.27,0.600
6.07,-5.91,0.600
6.07,-3.55,0.600
6.07,-1.18,0.600
6.07,1.18,0.600
6.07,3.55,0.600
6.07,5.91,0.600
6.07,8.27,0.600
6.07,10.64,0.600
