X,Y,R
-3.42,-10.40,0.480
-3.42,-7.80,0.480
-3.42,-5.20,0.480
-3.42,-2.60,0.480
-3.42,0.00,0.480
-3.42,2.60,0.480
-3.42,5.20,0.480
-3.42,7.80,0.480
-3.42,10.40,0.480
-2.05,-10.40,0.480
-2.05,-7.80,0.480
-2.05,-5.20,0.480
-2.05,-2.60,0.480
-2.05,0.00,0.480
-2.05,2.60,0.480
-2.05,5.20,0.480
-2.05,7.80,0.480
-2.05,10.40,0.480
-0.68,-10.40,0.480
-0.68,-7.80,0.480
-0.68,-5.20,0.480
-0.68,-2.60,0.480
-0.68,0.00,0.480
-0.68,2.60,0.480
-0.68,5.20,0.480
-0.68,7.80,0.480
-0.68,10.40,0.480
0.69,-10.40,0.480
0.69,-7.80,0.480
0.69,-5.20,0.480
0.69,-2.60,0.480
0.69,0.00,0.480
0.69,2.60,0.480
0.69,5.20,0.480
0.69,7.80,0.480
0.69,10.40,0.480
2.06,-10.40,0.480
2.06,-7.80,0.480
2.06,-5.20,0.480
2.06,-2.60,0.480
2.06,0.00,0.480
2.06,2.60,0.480
2.06,5.20,0.480
2.06,7.80,0.480
2.06,10.40,0.480
3.42,-10.40,0.480
3.42,-7.80,0.480
3.42,-5.20,0.480
3.42,-2.60,0.480
3.42,0.00,0.480
3.42,2.60,0.480
3.42,5.20,0.480
3.42,7.80,0.480
3.42,10.40,0.480
