X,Y,R
-5.68,-10.40,0.480
-5.68,-7.80,0.480
-5.68,-5.20,0.480
-5.68,-2.60,0.480
-5.68,0.00,0.480
-5.68,2.60,0.480
-5.68,5.20,0.480
-5.68,7.80,0.480
-5.68,10.40,0.480
-4.26,-10.40,0.480
-4.26,-7.80,0.480
-4.26,-5.20,0.480
-4.26,-2.60,0.480
-4.26,0.00,0.480
-4.26,2.60,0.480
-4.26,5.20,0.480
-4.26,7.80,0.480
-4.26,10.40,0.480
-2.84,-10.40,0.480
-2.84,-7.80,0.480
-2.84,-5.20,0.480
-2.84,-2.60,0.480
-2.84,0.00,0.480
-2.84,2.60,0.480
-2.84,5.20,0.480
-2.84,7.80,0.480
-2.84,10.40,0.480
-1.42,-10.40,0.480
-1.42,-7.80,0.480
-1.42,-5.20,0.480
-1.42,-2.60,0.480
-1.42,0.00,0.480
-1.42,2.60,0.480
-1.42,5.20,0.480
-1.42,7.80,0.480
-1.42,10.40,0.480
0.00,-10.40,0.480
0.00,-7.80,0.480
0.00,-5.20,0.480
0.00,-2.60,0.480
0.00,0.00,0.480
0.00,2.60,0.480
0.00,5.20,0.480
0.00,7.80,0.480
0.00,10.40,0.480
1.42,-10.40,0.480
1.42,-7.80,0.480
1.42,-5.20,0.480
1.42,-2.60,0.480
1.42,0.00,0.480
1.42,2.60,0.480
1.42,5.20,0.480
1.42,7.80,0.480
1.42,10.40,0.480
2.84,-10.40,0.480
2.84,-7.80,0.480
2.84,-5.20,0.480
2.84,-2.60,0.480
2.84,0.00,0.480
2.84,2.60,0.480
2.84,5.20,0.480
2.84,7.80,0.480
2.84,10.40,0.480
4.26,-10.40,0.480
4.26,-7.80,0.480
4.26,-5.20,0.480
4.26,-2.60,0.480
4.26,0.00,0.480
4.26,2.60,0.480
4.26,5.20,0.480
4.26,7.80,0.480
4.26,10.40,0.480
5.68,-10.40,0.480
5.68,-7.80,0.480
5.68,-5.20,0.480
5.68,-2.60,0.480
5.68,0.00,0.480
5.68,2.60,0.480
5.68,5.20,0.480
5.68,7.80,0.480
5.68,10.40,0.480
