Sample 1 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 1 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 2 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 2 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 3 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 3 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 4 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 4 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 5 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 5 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 6 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 6 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 8 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 8 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 9 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 9 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 10 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 10 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 11 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 11 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 12 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 12 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 13 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 13 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	
3,156250E+2	3,395913E+0	3,156250E+2	-2,843289E+0	3,156250E+2	2,558477E+0	3,156250E+2	-2,546390E+0	3,156250E+2	1,836469E+0	3,156250E+2	-3,146489E+0	3,156250E+2	1,467835E+0	3,156250E+2	-3,801720E+0	3,156250E+2	1,455633E+0	3,156250E+2	-4,162821E+0	3,156250E+2	1,391455E+0	3,156250E+2	-4,120822E+0	3,156250E+2	5,104356E+0	3,156250E+2	-2,538141E+0	3,156250E+2	3,897043E+0	3,156250E+2	-2,478822E+0	3,156250E+2	2,543682E+0	3,156250E+2	-2,554469E+0	3,156250E+2	1,766955E+0	3,156250E+2	-2,909104E+0	3,156250E+2	1,276294E+0	3,156250E+2	-3,223901E+0	3,156250E+2	1,158312E+0	3,156250E+2	-3,359632E+0
3,171875E+2	3,407020E+0	3,171875E+2	-2,878827E+0	3,171875E+2	2,575376E+0	3,171875E+2	-2,560986E+0	3,171875E+2	1,854668E+0	3,171875E+2	-3,142748E+0	3,171875E+2	1,490783E+0	3,171875E+2	-3,810007E+0	3,171875E+2	1,488709E+0	3,171875E+2	-4,190144E+0	3,171875E+2	1,436613E+0	3,171875E+2	-4,169212E+0	3,171875E+2	5,067566E+0	3,171875E+2	-2,733472E+0	3,171875E+2	3,955564E+0	3,171875E+2	-2,501222E+0	3,171875E+2	2,566277E+0	3,171875E+2	-2,567633E+0	3,171875E+2	1,767416E+0	3,171875E+2	-2,901098E+0	3,171875E+2	1,274577E+0	3,171875E+2	-3,209060E+0	3,171875E+2	1,158873E+0	3,171875E+2	-3,348138E+0
3,187500E+2	3,416539E+0	3,187500E+2	-2,918404E+0	3,187500E+2	2,591620E+0	3,187500E+2	-2,577026E+0	3,187500E+2	1,871566E+0	3,187500E+2	-3,138447E+0	3,187500E+2	1,512723E+0	3,187500E+2	-3,817122E+0	3,187500E+2	1,521454E+0	3,187500E+2	-4,216568E+0	3,187500E+2	1,482936E+0	3,187500E+2	-4,217773E+0	3,187500E+2	5,017655E+0	3,187500E+2	-2,949524E+0	3,187500E+2	4,016243E+0	3,187500E+2	-2,526734E+0	3,187500E+2	2,588469E+0	3,187500E+2	-2,581995E+0	3,187500E+2	1,766232E+0	3,187500E+2	-2,892902E+0	3,187500E+2	1,271320E+0	3,187500E+2	-3,193233E+0	3,187500E+2	1,158019E+0	3,187500E+2	-3,335480E+0
3,203125E+2	3,433674E+0	3,203125E+2	-2,951952E+0	3,203125E+2	2,612513E+0	3,203125E+2	-2,591083E+0	3,203125E+2	1,890307E+0	3,203125E+2	-3,133484E+0	3,203125E+2	1,533556E+0	3,203125E+2	-3,820634E+0	3,203125E+2	1,549549E+0	3,203125E+2	-4,236565E+0	3,203125E+2	1,527450E+0	3,203125E+2	-4,260861E+0	3,203125E+2	4,903007E+0	3,203125E+2	-3,099503E+0	3,203125E+2	4,050654E+0	3,203125E+2	-2,582122E+0	3,203125E+2	2,610152E+0	3,203125E+2	-2,597620E+0	3,203125E+2	1,764763E+0	3,203125E+2	-2,884537E+0	3,203125E+2	1,260820E+0	3,203125E+2	-3,165088E+0	3,203125E+2	1,153674E+0	3,203125E+2	-3,312714E+0
3,218750E+2	3,449537E+0	3,218750E+2	-2,989187E+0	3,218750E+2	2,632950E+0	3,218750E+2	-2,606442E+0	3,218750E+2	1,907791E+0	3,218750E+2	-3,127986E+0	3,218750E+2	1,553206E+0	3,218750E+2	-3,822928E+0	3,218750E+2	1,576817E+0	3,218750E+2	-4,255456E+0	3,218750E+2	1,572770E+0	3,218750E+2	-4,303786E+0	3,218750E+2	4,772420E+0	3,218750E+2	-3,257807E+0	3,218750E+2	4,085855E+0	3,218750E+2	-2,644134E+0	3,218750E+2	2,631456E+0	3,218750E+2	-2,614602E+0	3,218750E+2	1,761705E+0	3,218750E+2	-2,876045E+0	3,218750E+2	1,248694E+0	3,218750E+2	-3,135991E+0	3,218750E+2	1,147833E+0	3,218750E+2	-3,288767E+0
3,234375E+2	3,464074E+0	3,234375E+2	-3,025902E+0	3,234375E+2	2,651620E+0	3,234375E+2	-2,622312E+0	3,234375E+2	1,917005E+0	3,234375E+2	-3,116092E+0	3,234375E+2	1,571269E+0	3,234375E+2	-3,819934E+0	3,234375E+2	1,609777E+0	3,234375E+2	-4,275176E+0	3,234375E+2	1,617198E+0	3,234375E+2	-4,340813E+0	3,234375E+2	4,713534E+0	3,234375E+2	-3,338909E+0	3,234375E+2	4,088286E+0	3,234375E+2	-2,729367E+0	3,234375E+2	2,654816E+0	3,234375E+2	-2,630668E+0	3,234375E+2	1,762162E+0	3,234375E+2	-2,869834E+0	3,234375E+2	1,233487E+0	3,234375E+2	-3,100163E+0	3,234375E+2	1,124450E+0	3,234375E+2	-3,236357E+0
3,250000E+2	3,477151E+0	3,250000E+2	-3,066400E+0	3,250000E+2	2,669768E+0	3,250000E+2	-2,639620E+0	3,250000E+2	1,924602E+0	3,250000E+2	-3,103769E+0	3,250000E+2	1,587951E+0	3,250000E+2	-3,815654E+0	3,250000E+2	1,642136E+0	3,250000E+2	-4,293742E+0	3,250000E+2	1,662120E+0	3,250000E+2	-4,377311E+0	3,250000E+2	4,646420E+0	3,250000E+2	-3,427421E+0	3,250000E+2	4,088236E+0	3,250000E+2	-2,823375E+0	3,250000E+2	2,677893E+0	3,250000E+2	-2,648064E+0	3,250000E+2	1,761208E+0	3,250000E+2	-2,863552E+0	3,250000E+2	1,216783E+0	3,250000E+2	-3,063552E+0	3,250000E+2	1,099697E+0	3,250000E+2	-3,183095E+0
3,265625E+2	3,483386E+0	3,265625E+2	-3,107934E+0	3,265625E+2	2,685775E+0	3,265625E+2	-2,657616E+0	3,265625E+2	1,935374E+0	3,265625E+2	-3,091970E+0	3,265625E+2	1,593481E+0	3,265625E+2	-3,795473E+0	3,265625E+2	1,659337E+0	3,265625E+2	-4,295118E+0	3,265625E+2	1,703746E+0	3,265625E+2	-4,404862E+0	3,265625E+2	4,621969E+0	3,265625E+2	-3,500362E+0	3,265625E+2	4,081569E+0	3,265625E+2	-2,912588E+0	3,265625E+2	2,698392E+0	3,265625E+2	-2,664781E+0	3,265625E+2	1,761305E+0	3,265625E+2	-2,858282E+0	3,265625E+2	1,207820E+0	3,265625E+2	-3,039209E+0	3,265625E+2	1,085394E+0	3,265625E+2	-3,143450E+0
3,281250E+2	3,487616E+0	3,281250E+2	-3,153444E+0	3,281250E+2	2,701178E+0	3,281250E+2	-2,677200E+0	3,281250E+2	1,944658E+0	3,281250E+2	-3,079789E+0	3,281250E+2	1,597084E+0	3,281250E+2	-3,773950E+0	3,281250E+2	1,674860E+0	3,281250E+2	-4,294996E+0	3,281250E+2	1,745316E+0	3,281250E+2	-4,431470E+0	3,281250E+2	4,591555E+0	3,281250E+2	-3,580762E+0	3,281250E+2	4,071273E+0	3,281250E+2	-3,010239E+0	3,281250E+2	2,718474E+0	3,281250E+2	-2,682935E+0	3,281250E+2	1,760084E+0	3,281250E+2	-2,853006E+0	3,281250E+2	1,197564E+0	3,281250E+2	-3,014202E+0	3,281250E+2	1,069820E+0	3,281250E+2	-3,103023E+0
3,296875E+2	3,500606E+0	3,296875E+2	-3,190870E+0	3,296875E+2	2,710377E+0	3,296875E+2	-2,697532E+0	3,296875E+2	1,961298E+0	3,296875E+2	-3,071981E+0	3,296875E+2	1,589770E+0	3,296875E+2	-3,732824E+0	3,296875E+2	1,684960E+0	3,296875E+2	-4,282830E+0	3,296875E+2	1,770369E+0	3,296875E+2	-4,437190E+0	3,296875E+2	4,554979E+0	3,296875E+2	-3,668672E+0	3,296875E+2	4,065843E+0	3,296875E+2	-3,094011E+0	3,296875E+2	2,733690E+0	3,296875E+2	-2,701446E+0	3,296875E+2	1,755568E+0	3,296875E+2	-2,845340E+0	3,296875E+2	1,204834E+0	3,296875E+2	-3,012049E+0	3,296875E+2	1,071551E+0	3,296875E+2	-3,093632E+0
