Sample 1_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 2_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 3_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 4_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 5_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 6_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 7_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	
3,406250E+2	5,290698E+1	3,406250E+2	6,248427E+1	3,406250E+2	7,379630E+1	3,406250E+2	8,334256E+1	3,406250E+2	9,215906E+1	3,406250E+2	9,654346E+1	3,406250E+2	1,024277E+2
3,421875E+2	5,301622E+1	3,421875E+2	6,186430E+1	3,421875E+2	7,305440E+1	3,421875E+2	8,294153E+1	3,421875E+2	9,125642E+1	3,421875E+2	9,620864E+1	3,421875E+2	1,009110E+2
3,437500E+2	5,362218E+1	3,437500E+2	6,280719E+1	3,437500E+2	7,308615E+1	3,437500E+2	8,400305E+1	3,437500E+2	9,053393E+1	3,437500E+2	9,685351E+1	3,437500E+2	1,004458E+2
3,453125E+2	5,233583E+1	3,453125E+2	6,261779E+1	3,453125E+2	7,282526E+1	3,453125E+2	8,330521E+1	3,453125E+2	9,143246E+1	3,453125E+2	9,641257E+1	3,453125E+2	1,007335E+2
3,468750E+2	5,208356E+1	3,468750E+2	6,251660E+1	3,468750E+2	7,277414E+1	3,468750E+2	8,229982E+1	3,468750E+2	9,184849E+1	3,468750E+2	9,686457E+1	3,468750E+2	1,002826E+2
3,484375E+2	5,195054E+1	3,484375E+2	6,222057E+1	3,484375E+2	7,278481E+1	3,484375E+2	8,301733E+1	3,484375E+2	9,187986E+1	3,484375E+2	9,716123E+1	3,484375E+2	1,011731E+2
3,500000E+2	5,043482E+1	3,500000E+2	6,123251E+1	3,500000E+2	7,222684E+1	3,500000E+2	8,353407E+1	3,500000E+2	9,274955E+1	3,500000E+2	9,778743E+1	3,500000E+2	1,016349E+2
3,515625E+2	5,019372E+1	3,515625E+2	6,118290E+1	3,515625E+2	7,206716E+1	3,515625E+2	8,348267E+1	3,515625E+2	9,329981E+1	3,515625E+2	9,843458E+1	3,515625E+2	1,012920E+2
3,531250E+2	5,085200E+1	3,531250E+2	6,081985E+1	3,531250E+2	7,093250E+1	3,531250E+2	8,287981E+1	3,531250E+2	9,173155E+1	3,531250E+2	9,847670E+1	3,531250E+2	1,010476E+2
3,546875E+2	5,075968E+1	3,546875E+2	5,970750E+1	3,546875E+2	7,087246E+1	3,546875E+2	8,258194E+1	3,546875E+2	9,342825E+1	3,546875E+2	9,809454E+1	3,546875E+2	1,028646E+2
3,562500E+2	5,037379E+1	3,562500E+2	5,884193E+1	3,562500E+2	6,961780E+1	3,562500E+2	8,312537E+1	3,562500E+2	9,289072E+1	3,562500E+2	9,912983E+1	3,562500E+2	1,027443E+2
3,578125E+2	5,024049E+1	3,578125E+2	5,980023E+1	3,578125E+2	7,174963E+1	3,578125E+2	8,259484E+1	3,578125E+2	9,369241E+1	3,578125E+2	9,899813E+1	3,578125E+2	1,031838E+2
3,593750E+2	5,132754E+1	3,593750E+2	6,048750E+1	3,593750E+2	7,202538E+1	3,593750E+2	8,287508E+1	3,593750E+2	9,431043E+1	3,593750E+2	9,784107E+1	3,593750E+2	1,023429E+2
3,609375E+2	5,124102E+1	3,609375E+2	5,973030E+1	3,609375E+2	7,158952E+1	3,609375E+2	8,413750E+1	3,609375E+2	9,395967E+1	3,609375E+2	9,838397E+1	3,609375E+2	1,021081E+2
3,625000E+2	5,028939E+1	3,625000E+2	6,021372E+1	3,625000E+2	7,158781E+1	3,625000E+2	8,556452E+1	3,625000E+2	9,371278E+1	3,625000E+2	9,865381E+1	3,625000E+2	1,038344E+2
3,640625E+2	4,896801E+1	3,640625E+2	6,142242E+1	3,640625E+2	7,137189E+1	3,640625E+2	8,510094E+1	3,640625E+2	9,374296E+1	3,640625E+2	9,975411E+1	3,640625E+2	1,030851E+2
3,656250E+2	5,136143E+1	3,656250E+2	6,254845E+1	3,656250E+2	7,084337E+1	3,656250E+2	8,389911E+1	3,656250E+2	9,426895E+1	3,656250E+2	9,968841E+1	3,656250E+2	1,028222E+2
3,671875E+2	5,181107E+1	3,671875E+2	6,271817E+1	3,671875E+2	7,167559E+1	3,671875E+2	8,412120E+1	3,671875E+2	9,310832E+1	3,671875E+2	9,902734E+1	3,671875E+2	1,026655E+2
3,687500E+2	5,084136E+1	3,687500E+2	6,163868E+1	3,687500E+2	7,130063E+1	3,687500E+2	8,418122E+1	3,687500E+2	9,352218E+1	3,687500E+2	9,912332E+1	3,687500E+2	1,020856E+2
3,703125E+2	5,133920E+1	3,703125E+2	6,150849E+1	3,703125E+2	7,230110E+1	3,703125E+2	8,431123E+1	3,703125E+2	9,503493E+1	3,703125E+2	9,903016E+1	3,703125E+2	1,023587E+2
3,718750E+2	5,260134E+1	3,718750E+2	6,179622E+1	3,718750E+2	7,305854E+1	3,718750E+2	8,399600E+1	3,718750E+2	9,529757E+1	3,718750E+2	9,955109E+1	3,718750E+2	1,034175E+2
3,734375E+2	5,299686E+1	3,734375E+2	6,200176E+1	3,734375E+2	7,351653E+1	3,734375E+2	8,498019E+1	3,734375E+2	9,512676E+1	3,734375E+2	1,001453E+2	3,734375E+2	1,031243E+2
3,750000E+2	5,251069E+1	3,750000E+2	6,292511E+1	3,750000E+2	7,335560E+1	3,750000E+2	8,525524E+1	3,750000E+2	9,512369E+1	3,750000E+2	1,003008E+2	3,750000E+2	1,045202E+2
