Sample 1 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 1 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 2 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 2 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 3 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 3 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 4 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 4 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 5 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 5 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 6 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 6 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 8 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 8 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 9 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 9 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 10 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 10 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 11 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 11 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 12 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 12 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 13 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 13 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	
3,156250E+2	6,792281E-1	3,156250E+2	-2,074761E-1	3,156250E+2	6,282966E-1	3,156250E+2	-2,659851E-1	3,156250E+2	6,838876E-1	3,156250E+2	-3,506629E-1	3,156250E+2	7,597429E-1	3,156250E+2	-3,701180E-1	3,156250E+2	7,897503E-1	3,156250E+2	-3,564179E-1	3,156250E+2	7,893013E-1	3,156250E+2	-3,630643E-1	3,156250E+2	7,206585E-1	3,156250E+2	-1,161479E-1	3,156250E+2	6,748914E-1	3,156250E+2	-1,645659E-1	3,156250E+2	6,286032E-1	3,156250E+2	-2,677221E-1	3,156250E+2	6,566825E-1	3,156250E+2	-3,609551E-1	3,156250E+2	7,077000E-1	3,156250E+2	-4,139827E-1	3,156250E+2	7,292878E-1	3,156250E+2	-4,213910E-1
3,171875E+2	6,819124E-1	3,171875E+2	-2,077865E-1	3,171875E+2	6,302986E-1	3,171875E+2	-2,648114E-1	3,171875E+2	6,832721E-1	3,171875E+2	-3,486906E-1	3,171875E+2	7,595787E-1	3,171875E+2	-3,677585E-1	3,171875E+2	7,904331E-1	3,171875E+2	-3,528397E-1	3,171875E+2	7,910228E-1	3,171875E+2	-3,575744E-1	3,171875E+2	7,259902E-1	3,171875E+2	-1,234429E-1	3,171875E+2	6,783535E-1	3,171875E+2	-1,623446E-1	3,171875E+2	6,306495E-1	3,171875E+2	-2,659235E-1	3,171875E+2	6,556862E-1	3,171875E+2	-3,609462E-1	3,171875E+2	7,059706E-1	3,171875E+2	-4,148279E-1	3,171875E+2	7,279434E-1	3,171875E+2	-4,219253E-1
3,187500E+2	6,847907E-1	3,187500E+2	-2,082871E-1	3,187500E+2	6,323978E-1	3,187500E+2	-2,637586E-1	3,187500E+2	6,826252E-1	3,187500E+2	-3,468713E-1	3,187500E+2	7,593661E-1	3,187500E+2	-3,655512E-1	3,187500E+2	7,910730E-1	3,187500E+2	-3,493837E-1	3,187500E+2	7,926964E-1	3,187500E+2	-3,521475E-1	3,187500E+2	7,320238E-1	3,187500E+2	-1,313472E-1	3,187500E+2	6,819837E-1	3,187500E+2	-1,601881E-1	3,187500E+2	6,327769E-1	3,187500E+2	-2,642264E-1	3,187500E+2	6,546725E-1	3,187500E+2	-3,611405E-1	3,187500E+2	7,041711E-1	3,187500E+2	-4,159039E-1	3,187500E+2	7,265297E-1	3,187500E+2	-4,226815E-1
3,203125E+2	6,874556E-1	3,203125E+2	-2,080929E-1	3,203125E+2	6,344343E-1	3,203125E+2	-2,622028E-1	3,203125E+2	6,819049E-1	3,203125E+2	-3,448582E-1	3,203125E+2	7,588943E-1	3,203125E+2	-3,635903E-1	3,203125E+2	7,914367E-1	3,203125E+2	-3,465680E-1	3,203125E+2	7,940385E-1	3,203125E+2	-3,472168E-1	3,203125E+2	7,344123E-1	3,203125E+2	-1,394526E-1	3,203125E+2	6,860653E-1	3,203125E+2	-1,604976E-1	3,203125E+2	6,349847E-1	3,203125E+2	-2,626401E-1	3,203125E+2	6,536354E-1	3,203125E+2	-3,613697E-1	3,203125E+2	7,011293E-1	3,203125E+2	-4,184109E-1	3,203125E+2	7,241070E-1	3,203125E+2	-4,243699E-1
3,218750E+2	6,902905E-1	3,218750E+2	-2,080620E-1	3,218750E+2	6,365572E-1	3,218750E+2	-2,607502E-1	3,218750E+2	6,811553E-1	3,218750E+2	-3,429895E-1	3,218750E+2	7,583752E-1	3,218750E+2	-3,617860E-1	3,218750E+2	7,917630E-1	3,218750E+2	-3,438906E-1	3,218750E+2	7,953386E-1	3,218750E+2	-3,423621E-1	3,218750E+2	7,372239E-1	3,218750E+2	-1,483041E-1	3,218750E+2	6,904283E-1	3,218750E+2	-1,609462E-1	3,218750E+2	6,372827E-1	3,218750E+2	-2,611518E-1	3,218750E+2	6,525862E-1	3,218750E+2	-3,617974E-1	3,218750E+2	6,979807E-1	3,218750E+2	-4,211910E-1	3,218750E+2	7,215881E-1	3,218750E+2	-4,263050E-1
3,234375E+2	6,930224E-1	3,234375E+2	-2,080799E-1	3,234375E+2	6,386475E-1	3,234375E+2	-2,594955E-1	3,234375E+2	6,797834E-1	3,234375E+2	-3,420715E-1	3,234375E+2	7,574654E-1	3,234375E+2	-3,603147E-1	3,234375E+2	7,919507E-1	3,234375E+2	-3,408136E-1	3,234375E+2	7,962666E-1	3,234375E+2	-3,379066E-1	3,234375E+2	7,390650E-1	3,234375E+2	-1,524867E-1	3,234375E+2	6,947648E-1	3,234375E+2	-1,637288E-1	3,234375E+2	6,395306E-1	3,234375E+2	-2,594591E-1	3,234375E+2	6,518024E-1	3,234375E+2	-3,617707E-1	3,234375E+2	6,940319E-1	3,234375E+2	-4,246952E-1	3,234375E+2	7,164999E-1	3,234375E+2	-4,318801E-1
3,250000E+2	6,959252E-1	3,250000E+2	-2,082609E-1	3,250000E+2	6,408313E-1	3,250000E+2	-2,583456E-1	3,250000E+2	6,783798E-1	3,250000E+2	-3,413234E-1	3,250000E+2	7,565050E-1	3,250000E+2	-3,590070E-1	3,250000E+2	7,920978E-1	3,250000E+2	-3,378624E-1	3,250000E+2	7,971543E-1	3,250000E+2	-3,335382E-1	3,250000E+2	7,411637E-1	3,250000E+2	-1,571157E-1	3,250000E+2	6,994686E-1	3,250000E+2	-1,667597E-1	3,250000E+2	6,418649E-1	3,250000E+2	-2,578554E-1	3,250000E+2	6,510145E-1	3,250000E+2	-3,619206E-1	3,250000E+2	6,899491E-1	3,250000E+2	-4,284844E-1	3,250000E+2	7,111997E-1	3,250000E+2	-4,378150E-1
3,265625E+2	6,986972E-1	3,265625E+2	-2,088665E-1	3,265625E+2	6,429872E-1	3,265625E+2	-2,574229E-1	3,265625E+2	6,770179E-1	3,265625E+2	-3,402125E-1	3,265625E+2	7,545419E-1	3,265625E+2	-3,592198E-1	3,265625E+2	7,915889E-1	3,265625E+2	-3,366065E-1	3,265625E+2	7,975711E-1	3,265625E+2	-3,297910E-1	3,265625E+2	7,436348E-1	3,265625E+2	-1,596186E-1	3,265625E+2	7,037462E-1	3,265625E+2	-1,698029E-1	3,265625E+2	6,440287E-1	3,265625E+2	-2,564859E-1	3,265625E+2	6,503478E-1	3,265625E+2	-3,619320E-1	3,265625E+2	6,870839E-1	3,265625E+2	-4,307495E-1	3,265625E+2	7,069047E-1	3,265625E+2	-4,418015E-1
3,281250E+2	7,016501E-1	3,281250E+2	-2,096502E-1	3,281250E+2	6,452451E-1	3,281250E+2	-2,566074E-1	3,281250E+2	6,756290E-1	3,281250E+2	-3,392565E-1	3,281250E+2	7,525119E-1	3,281250E+2	-3,596371E-1	3,281250E+2	7,910418E-1	3,281250E+2	-3,355221E-1	3,281250E+2	7,979505E-1	3,281250E+2	-3,261469E-1	3,281250E+2	7,463419E-1	3,281250E+2	-1,624395E-1	3,281250E+2	7,083745E-1	3,281250E+2	-1,731050E-1	3,281250E+2	6,462839E-1	3,281250E+2	-2,552115E-1	3,281250E+2	6,496846E-1	3,281250E+2	-3,621092E-1	3,281250E+2	6,841379E-1	3,281250E+2	-4,332400E-1	3,281250E+2	7,024605E-1	3,281250E+2	-4,460639E-1
3,296875E+2	7,042685E-1	3,296875E+2	-2,096698E-1	3,296875E+2	6,473625E-1	3,296875E+2	-2,563758E-1	3,296875E+2	6,746962E-1	3,296875E+2	-3,374625E-1	3,296875E+2	7,490640E-1	3,296875E+2	-3,616922E-1	3,296875E+2	7,898405E-1	3,296875E+2	-3,352293E-1	3,296875E+2	7,975143E-1	3,296875E+2	-3,243133E-1	3,296875E+2	7,493068E-1	3,296875E+2	-1,655652E-1	3,296875E+2	7,124594E-1	3,296875E+2	-1,756181E-1	3,296875E+2	6,483995E-1	3,296875E+2	-2,543944E-1	3,296875E+2	6,487286E-1	3,296875E+2	-3,627152E-1	3,296875E+2	6,835257E-1	3,296875E+2	-4,323391E-1	3,296875E+2	7,011155E-1	3,296875E+2	-4,463509E-1
