Sample 1_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 2_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 3_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 4_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 5_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 6_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 8_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 9_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 10_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 11_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 12_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 13_Frequency [Hz]	Absorption Coefficient on Cavity	
3,218750E+2	4,802092E-1	3,218750E+2	5,268043E-1	3,218750E+2	4,183856E-1	3,218750E+2	2,939779E-1	3,218750E+2	2,548505E-1	3,218750E+2	2,502247E-1	3,218750E+2	4,345068E-1	3,218750E+2	4,974051E-1	3,218750E+2	5,256705E-1	3,218750E+2	4,432339E-1	3,218750E+2	3,354210E-1	3,218750E+2	2,975746E-1
3,234375E+2	4,764227E-1	3,234375E+2	5,247914E-1	3,234375E+2	4,208816E-1	3,234375E+2	2,964194E-1	3,234375E+2	2,566602E-1	3,234375E+2	2,517786E-1	3,234375E+2	4,305307E-1	3,234375E+2	4,904948E-1	3,234375E+2	5,236816E-1	3,234375E+2	4,442756E-1	3,234375E+2	3,379537E-1	3,234375E+2	3,001075E-1
3,250000E+2	4,723156E-1	3,250000E+2	5,225927E-1	3,250000E+2	4,232992E-1	3,250000E+2	2,988141E-1	3,250000E+2	2,584301E-1	3,250000E+2	2,532973E-1	3,250000E+2	4,259910E-1	3,250000E+2	4,829349E-1	3,250000E+2	5,215200E-1	3,250000E+2	4,451936E-1	3,250000E+2	3,403713E-1	3,250000E+2	3,025130E-1
3,265625E+2	4,681970E-1	3,265625E+2	5,203009E-1	3,265625E+2	4,259023E-1	3,265625E+2	3,016277E-1	3,265625E+2	2,600830E-1	3,265625E+2	2,551182E-1	3,265625E+2	4,215291E-1	3,265625E+2	4,759083E-1	3,265625E+2	5,194420E-1	3,265625E+2	4,460529E-1	3,265625E+2	3,423706E-1	3,265625E+2	3,050971E-1
3,281250E+2	4,637340E-1	3,281250E+2	5,178114E-1	3,281250E+2	4,284305E-1	3,281250E+2	3,043870E-1	3,281250E+2	2,616778E-1	3,281250E+2	2,569032E-1	3,281250E+2	4,165871E-1	3,281250E+2	4,682403E-1	3,281250E+2	5,171842E-1	3,281250E+2	4,467868E-1	3,281250E+2	3,442585E-1	3,281250E+2	3,075763E-1
3,296875E+2	4,600445E-1	3,296875E+2	5,151933E-1	3,296875E+2	4,309041E-1	3,296875E+2	3,080818E-1	3,296875E+2	2,637732E-1	3,296875E+2	2,587918E-1	3,296875E+2	4,111276E-1	3,296875E+2	4,615599E-1	3,296875E+2	5,148616E-1	3,296875E+2	4,475888E-1	3,296875E+2	3,458755E-1	3,296875E+2	3,092079E-1
3,312500E+2	4,560616E-1	3,312500E+2	5,123541E-1	3,312500E+2	4,333083E-1	3,312500E+2	3,117257E-1	3,312500E+2	2,658129E-1	3,312500E+2	2,606327E-1	3,312500E+2	4,051325E-1	3,312500E+2	4,543156E-1	3,312500E+2	5,123426E-1	3,312500E+2	4,482562E-1	3,312500E+2	3,474145E-1	3,312500E+2	3,107563E-1
3,328125E+2	4,526570E-1	3,328125E+2	5,095051E-1	3,328125E+2	4,353467E-1	3,328125E+2	3,165285E-1	3,328125E+2	2,680696E-1	3,328125E+2	2,625599E-1	3,328125E+2	3,990039E-1	3,328125E+2	4,479002E-1	3,328125E+2	5,096006E-1	3,328125E+2	4,490573E-1	3,328125E+2	3,487590E-1	3,328125E+2	3,120834E-1
3,343750E+2	4,490046E-1	3,343750E+2	5,064218E-1	3,343750E+2	4,373234E-1	3,343750E+2	3,212756E-1	3,343750E+2	2,702470E-1	3,343750E+2	2,644183E-1	3,343750E+2	3,922813E-1	3,343750E+2	4,409348E-1	3,343750E+2	5,066372E-1	3,343750E+2	4,497209E-1	3,343750E+2	3,500221E-1	3,343750E+2	3,133440E-1
3,359375E+2	4,458130E-1	3,359375E+2	5,036431E-1	3,359375E+2	4,390716E-1	3,359375E+2	3,255486E-1	3,359375E+2	2,730223E-1	3,359375E+2	2,662033E-1	3,359375E+2	3,872613E-1	3,359375E+2	4,346465E-1	3,359375E+2	5,030183E-1	3,359375E+2	4,504286E-1	3,359375E+2	3,516881E-1	3,359375E+2	3,146560E-1
3,375000E+2	4,424183E-1	3,375000E+2	5,006646E-1	3,375000E+2	4,407602E-1	3,375000E+2	3,297697E-1	3,375000E+2	2,756944E-1	3,375000E+2	2,678663E-1	3,375000E+2	3,816859E-1	3,375000E+2	4,277714E-1	3,375000E+2	4,990941E-1	3,375000E+2	4,509996E-1	3,375000E+2	3,532618E-1	3,375000E+2	3,158882E-1
3,390625E+2	4,391356E-1	3,390625E+2	4,982616E-1	3,390625E+2	4,435871E-1	3,390625E+2	3,323593E-1	3,390625E+2	2,780651E-1	3,390625E+2	2,688270E-1	3,390625E+2	3,778371E-1	3,390625E+2	4,226737E-1	3,390625E+2	4,948561E-1	3,390625E+2	4,515230E-1	3,390625E+2	3,555852E-1	3,390625E+2	3,179269E-1
3,406250E+2	4,356646E-1	3,406250E+2	4,957121E-1	3,406250E+2	4,463370E-1	3,406250E+2	3,349057E-1	3,406250E+2	2,803138E-1	3,406250E+2	2,696291E-1	3,406250E+2	3,735727E-1	3,406250E+2	4,171097E-1	3,406250E+2	4,902435E-1	3,406250E+2	4,519062E-1	3,406250E+2	3,577868E-1	3,406250E+2	3,198536E-1
3,421875E+2	4,317611E-1	3,421875E+2	4,932091E-1	3,421875E+2	4,510951E-1	3,421875E+2	3,363325E-1	3,421875E+2	2,815241E-1	3,421875E+2	2,694436E-1	3,421875E+2	3,687617E-1	3,421875E+2	4,119547E-1	3,421875E+2	4,870385E-1	3,421875E+2	4,520877E-1	3,421875E+2	3,593093E-1	3,421875E+2	3,216775E-1
3,437500E+2	4,276461E-1	3,437500E+2	4,905714E-1	3,437500E+2	4,556385E-1	3,437500E+2	3,377153E-1	3,437500E+2	2,826698E-1	3,437500E+2	2,691608E-1	3,437500E+2	3,635157E-1	3,437500E+2	4,063585E-1	3,437500E+2	4,835890E-1	3,437500E+2	4,521401E-1	3,437500E+2	3,607114E-1	3,437500E+2	3,233818E-1
3,453125E+2	4,231504E-1	3,453125E+2	4,875275E-1	3,453125E+2	4,558652E-1	3,453125E+2	3,389857E-1	3,453125E+2	2,835161E-1	3,453125E+2	2,693154E-1	3,453125E+2	3,576393E-1	3,453125E+2	4,012964E-1	3,453125E+2	4,806299E-1	3,453125E+2	4,520876E-1	3,453125E+2	3,617042E-1	3,453125E+2	3,245539E-1
3,468750E+2	4,184159E-1	3,468750E+2	4,843239E-1	3,468750E+2	4,560215E-1	3,468750E+2	3,402178E-1	3,468750E+2	2,843172E-1	3,468750E+2	2,694175E-1	3,468750E+2	3,513178E-1	3,468750E+2	3,958406E-1	3,468750E+2	4,774670E-1	3,468750E+2	4,519119E-1	3,468750E+2	3,625991E-1	3,468750E+2	3,256347E-1
3,484375E+2	4,134982E-1	3,484375E+2	4,807410E-1	3,484375E+2	4,559167E-1	3,484375E+2	3,416739E-1	3,484375E+2	2,852244E-1	3,484375E+2	2,697358E-1	3,484375E+2	3,467885E-1	3,484375E+2	3,909928E-1	3,484375E+2	4,743956E-1	3,484375E+2	4,520164E-1	3,484375E+2	3,637941E-1	3,484375E+2	3,268523E-1
3,500000E+2	4,083210E-1	3,500000E+2	4,769568E-1	3,500000E+2	4,557465E-1	3,500000E+2	3,430922E-1	3,500000E+2	2,860941E-1	3,500000E+2	2,700105E-1	3,500000E+2	3,419034E-1	3,500000E+2	3,857762E-1	3,500000E+2	4,711229E-1	3,500000E+2	4,520134E-1	3,500000E+2	3,648976E-1	3,500000E+2	3,279835E-1
