Sample 1 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 1 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 2 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 2 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 3 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 3 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 4 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 4 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 5 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 5 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 6 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 6 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 7 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 7 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	
3,000000E+2	4,124605E+0	3,000000E+2	1,752675E+0	3,000000E+2	4,224256E+0	3,000000E+2	1,614118E+0	3,000000E+2	4,514773E+0	3,000000E+2	5,140799E-1	3,000000E+2	4,974306E+0	3,000000E+2	-1,945180E+0	3,000000E+2	5,498706E+0	3,000000E+2	-4,364820E+0	3,000000E+2	5,812048E+0	3,000000E+2	-5,228075E+0	3,000000E+2	6,233492E+0	3,000000E+2	-5,830194E+0
3,015625E+2	4,017875E+0	3,015625E+2	1,869805E+0	3,015625E+2	4,223669E+0	3,015625E+2	1,683181E+0	3,015625E+2	4,569734E+0	3,015625E+2	5,651241E-1	3,015625E+2	5,113858E+0	3,015625E+2	-1,900983E+0	3,015625E+2	5,595946E+0	3,015625E+2	-4,370075E+0	3,015625E+2	5,821988E+0	3,015625E+2	-5,165290E+0	3,015625E+2	6,308993E+0	3,015625E+2	-5,920117E+0
3,031250E+2	4,275012E+0	3,031250E+2	1,859209E+0	3,031250E+2	4,446485E+0	3,031250E+2	1,736899E+0	3,031250E+2	4,609448E+0	3,031250E+2	6,239179E-1	3,031250E+2	5,171319E+0	3,031250E+2	-1,938370E+0	3,031250E+2	5,764433E+0	3,031250E+2	-4,403511E+0	3,031250E+2	6,039162E+0	3,031250E+2	-5,270210E+0	3,031250E+2	6,471751E+0	3,031250E+2	-5,821283E+0
3,046875E+2	4,316267E+0	3,046875E+2	1,800615E+0	3,046875E+2	4,451899E+0	3,046875E+2	1,755588E+0	3,046875E+2	4,646890E+0	3,046875E+2	6,167917E-1	3,046875E+2	5,062902E+0	3,046875E+2	-1,935539E+0	3,046875E+2	5,618454E+0	3,046875E+2	-4,393222E+0	3,046875E+2	5,873945E+0	3,046875E+2	-5,238408E+0	3,046875E+2	6,232083E+0	3,046875E+2	-5,657974E+0
3,062500E+2	4,535875E+0	3,062500E+2	1,954409E+0	3,062500E+2	4,560804E+0	3,062500E+2	1,823535E+0	3,062500E+2	4,739494E+0	3,062500E+2	6,682927E-1	3,062500E+2	5,141642E+0	3,062500E+2	-1,909685E+0	3,062500E+2	5,620564E+0	3,062500E+2	-4,395436E+0	3,062500E+2	5,793540E+0	3,062500E+2	-5,329765E+0	3,062500E+2	6,192996E+0	3,062500E+2	-5,885749E+0
3,078125E+2	4,659776E+0	3,078125E+2	2,104581E+0	3,078125E+2	4,636693E+0	3,078125E+2	1,881774E+0	3,078125E+2	4,807535E+0	3,078125E+2	7,516407E-1	3,078125E+2	5,240028E+0	3,078125E+2	-1,915752E+0	3,078125E+2	5,650724E+0	3,078125E+2	-4,261705E+0	3,078125E+2	5,854121E+0	3,078125E+2	-5,213743E+0	3,078125E+2	6,195652E+0	3,078125E+2	-5,858994E+0
3,093750E+2	4,633909E+0	3,093750E+2	2,074805E+0	3,093750E+2	4,721520E+0	3,093750E+2	1,946369E+0	3,093750E+2	4,925616E+0	3,093750E+2	7,536542E-1	3,093750E+2	5,274785E+0	3,093750E+2	-1,947820E+0	3,093750E+2	5,687635E+0	3,093750E+2	-4,294218E+0	3,093750E+2	5,864455E+0	3,093750E+2	-5,108085E+0	3,093750E+2	6,304320E+0	3,093750E+2	-5,721953E+0
3,109375E+2	4,749068E+0	3,109375E+2	2,139022E+0	3,109375E+2	4,836713E+0	3,109375E+2	1,975101E+0	3,109375E+2	4,912894E+0	3,109375E+2	7,641940E-1	3,109375E+2	5,348167E+0	3,109375E+2	-1,937263E+0	3,109375E+2	5,587328E+0	3,109375E+2	-4,352954E+0	3,109375E+2	5,939055E+0	3,109375E+2	-5,066633E+0	3,109375E+2	6,289814E+0	3,109375E+2	-5,614302E+0
3,125000E+2	4,939003E+0	3,125000E+2	2,229396E+0	3,125000E+2	4,919726E+0	3,125000E+2	2,018022E+0	3,125000E+2	5,054313E+0	3,125000E+2	7,349219E-1	3,125000E+2	5,394706E+0	3,125000E+2	-1,980568E+0	3,125000E+2	5,617202E+0	3,125000E+2	-4,568314E+0	3,125000E+2	5,935826E+0	3,125000E+2	-5,357517E+0	3,125000E+2	6,263207E+0	3,125000E+2	-5,698404E+0
3,140625E+2	5,059460E+0	3,140625E+2	2,177552E+0	3,140625E+2	5,047533E+0	3,140625E+2	2,061664E+0	3,140625E+2	5,182435E+0	3,140625E+2	8,045628E-1	3,140625E+2	5,400442E+0	3,140625E+2	-2,033552E+0	3,140625E+2	5,558872E+0	3,140625E+2	-4,629750E+0	3,140625E+2	5,929449E+0	3,140625E+2	-5,344387E+0	3,140625E+2	6,182679E+0	3,140625E+2	-5,809617E+0
