Sample 2 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 2 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 3 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 3 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 4 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 4 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 5 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 5 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 6 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 6 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 7 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 7 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 8 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 8 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 9 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 9 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 10 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 10 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 11 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 11 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 12 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 12 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 13 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 13 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	
3,000000E+2	4,744091E-1	3,000000E+2	-7,624943E-1	3,000000E+2	4,760202E-1	3,000000E+2	-7,519584E-1	3,000000E+2	4,833866E-1	3,000000E+2	-7,205205E-1	3,000000E+2	4,851807E-1	3,000000E+2	-6,265247E-1	3,000000E+2	5,203793E-1	3,000000E+2	-4,769913E-1	3,000000E+2	5,662664E-1	3,000000E+2	-4,195083E-1	3,000000E+2	4,276125E-1	3,000000E+2	-7,671128E-1	3,000000E+2	4,341687E-1	3,000000E+2	-7,798767E-1	3,000000E+2	4,374581E-1	3,000000E+2	-7,715569E-1	3,000000E+2	4,394520E-1	3,000000E+2	-7,381427E-1	3,000000E+2	4,351095E-1	3,000000E+2	-6,432683E-1	3,000000E+2	4,517565E-1	3,000000E+2	-5,674636E-1
3,015625E+2	4,752654E-1	3,015625E+2	-7,611150E-1	3,015625E+2	4,764862E-1	3,015625E+2	-7,506060E-1	3,015625E+2	4,829769E-1	3,015625E+2	-7,198429E-1	3,015625E+2	4,815294E-1	3,015625E+2	-6,281464E-1	3,015625E+2	5,154150E-1	3,015625E+2	-4,788234E-1	3,015625E+2	5,636633E-1	3,015625E+2	-4,192303E-1	3,015625E+2	4,220786E-1	3,015625E+2	-7,661007E-1	3,015625E+2	4,320609E-1	3,015625E+2	-7,799544E-1	3,015625E+2	4,350479E-1	3,015625E+2	-7,712877E-1	3,015625E+2	4,354390E-1	3,015625E+2	-7,387900E-1	3,015625E+2	4,291119E-1	3,015625E+2	-6,442912E-1	3,015625E+2	4,469992E-1	3,015625E+2	-5,675497E-1
3,031250E+2	4,760800E-1	3,031250E+2	-7,597903E-1	3,031250E+2	4,769044E-1	3,031250E+2	-7,493135E-1	3,031250E+2	4,825070E-1	3,031250E+2	-7,192510E-1	3,031250E+2	4,777514E-1	3,031250E+2	-6,299508E-1	3,031250E+2	5,102939E-1	3,031250E+2	-4,809226E-1	3,031250E+2	5,609769E-1	3,031250E+2	-4,191749E-1	3,031250E+2	4,164016E-1	3,031250E+2	-7,651297E-1	3,031250E+2	4,298691E-1	3,031250E+2	-7,801114E-1	3,031250E+2	4,325477E-1	3,031250E+2	-7,710933E-1	3,031250E+2	4,312986E-1	3,031250E+2	-7,395391E-1	3,031250E+2	4,229421E-1	3,031250E+2	-6,454545E-1	3,031250E+2	4,421093E-1	3,031250E+2	-5,677921E-1
3,046875E+2	4,747320E-1	3,046875E+2	-7,595672E-1	3,046875E+2	4,753745E-1	3,046875E+2	-7,490985E-1	3,046875E+2	4,804223E-1	3,046875E+2	-7,196001E-1	3,046875E+2	4,730266E-1	3,046875E+2	-6,325216E-1	3,046875E+2	5,061080E-1	3,046875E+2	-4,820225E-1	3,046875E+2	5,584352E-1	3,046875E+2	-4,188581E-1	3,046875E+2	4,072062E-1	3,046875E+2	-7,679072E-1	3,046875E+2	4,251538E-1	3,046875E+2	-7,813571E-1	3,046875E+2	4,266335E-1	3,046875E+2	-7,723338E-1	3,046875E+2	4,237871E-1	3,046875E+2	-7,416374E-1	3,046875E+2	4,133889E-1	3,046875E+2	-6,478098E-1	3,046875E+2	4,356987E-1	3,046875E+2	-5,686592E-1
3,062500E+2	4,733123E-1	3,062500E+2	-7,594224E-1	3,062500E+2	4,737697E-1	3,062500E+2	-7,489655E-1	3,062500E+2	4,782517E-1	3,062500E+2	-7,200538E-1	3,062500E+2	4,681528E-1	3,062500E+2	-6,352877E-1	3,062500E+2	5,018062E-1	3,062500E+2	-4,833454E-1	3,062500E+2	5,558200E-1	3,062500E+2	-4,187490E-1	3,062500E+2	3,977455E-1	3,062500E+2	-7,707600E-1	3,062500E+2	4,203045E-1	3,062500E+2	-7,826892E-1	3,062500E+2	4,205559E-1	3,062500E+2	-7,736534E-1	3,062500E+2	4,160614E-1	3,062500E+2	-7,438326E-1	3,062500E+2	4,035630E-1	3,062500E+2	-6,502890E-1	3,062500E+2	4,291224E-1	3,062500E+2	-5,696855E-1
3,078125E+2	4,674993E-1	3,078125E+2	-7,613032E-1	3,078125E+2	4,682319E-1	3,078125E+2	-7,510272E-1	3,078125E+2	4,734186E-1	3,078125E+2	-7,221414E-1	3,078125E+2	4,619166E-1	3,078125E+2	-6,390469E-1	3,078125E+2	4,976006E-1	3,078125E+2	-4,845483E-1	3,078125E+2	5,534765E-1	3,078125E+2	-4,181910E-1	3,078125E+2	3,411941E-1	3,078125E+2	-7,931702E-1	3,078125E+2	4,119185E-1	3,078125E+2	-7,851579E-1	3,078125E+2	4,095157E-1	3,078125E+2	-7,768918E-1	3,078125E+2	4,011075E-1	3,078125E+2	-7,490599E-1	3,078125E+2	3,901769E-1	3,078125E+2	-6,533250E-1	3,078125E+2	4,212611E-1	3,078125E+2	-5,709192E-1
3,093750E+2	4,615163E-1	3,093750E+2	-7,632802E-1	3,093750E+2	4,625295E-1	3,093750E+2	-7,531975E-1	3,093750E+2	4,684390E-1	3,093750E+2	-7,243580E-1	3,093750E+2	4,554924E-1	3,093750E+2	-6,430151E-1	3,093750E+2	4,932917E-1	3,093750E+2	-4,859631E-1	3,093750E+2	5,510721E-1	3,093750E+2	-4,178206E-1	3,093750E+2	2,799999E-1	3,093750E+2	-8,131713E-1	3,093750E+2	4,033137E-1	3,093750E+2	-7,876902E-1	3,093750E+2	3,981673E-1	3,093750E+2	-7,801672E-1	3,093750E+2	3,856608E-1	3,093750E+2	-7,543010E-1	3,093750E+2	3,764154E-1	3,093750E+2	-6,564087E-1	3,093750E+2	4,132117E-1	3,093750E+2	-5,722983E-1
3,109375E+2	4,468903E-1	3,109375E+2	-7,677920E-1	3,109375E+2	4,484388E-1	3,109375E+2	-7,589297E-1	3,109375E+2	4,572940E-1	3,109375E+2	-7,295516E-1	3,109375E+2	4,456825E-1	3,109375E+2	-6,487186E-1	3,109375E+2	4,878780E-1	3,109375E+2	-4,881958E-1	3,109375E+2	5,483980E-1	3,109375E+2	-4,174469E-1	3,109375E+2	2,232788E-1	3,109375E+2	-8,194193E-1	3,109375E+2	2,883155E-1	3,109375E+2	-8,148123E-1	3,109375E+2	2,895298E-1	3,109375E+2	-8,081738E-1	3,109375E+2	3,076957E-1	3,109375E+2	-7,728496E-1	3,109375E+2	3,554415E-1	3,109375E+2	-6,603697E-1	3,109375E+2	4,043477E-1	3,109375E+2	-5,730736E-1
3,125000E+2	4,318121E-1	3,125000E+2	-7,722673E-1	3,125000E+2	4,338725E-1	3,125000E+2	-7,646907E-1	3,125000E+2	4,457853E-1	3,125000E+2	-7,348547E-1	3,125000E+2	4,355551E-1	3,125000E+2	-6,546305E-1	3,125000E+2	4,823352E-1	3,125000E+2	-4,906548E-1	3,125000E+2	5,456632E-1	3,125000E+2	-4,172559E-1	3,125000E+2	1,644073E-1	3,125000E+2	-8,223044E-1	3,125000E+2	1,624565E-1	3,125000E+2	-8,271738E-1	3,125000E+2	1,703225E-1	3,125000E+2	-8,233462E-1	3,125000E+2	2,240576E-1	3,125000E+2	-7,850237E-1	3,125000E+2	3,338539E-1	3,125000E+2	-6,641123E-1	3,125000E+2	3,953005E-1	3,125000E+2	-5,739565E-1
3,140625E+2	3,902711E-1	3,140625E+2	-7,862662E-1	3,140625E+2	3,899315E-1	3,140625E+2	-7,814793E-1	3,140625E+2	3,711086E-1	3,140625E+2	-7,643350E-1	3,140625E+2	4,182558E-1	3,140625E+2	-6,639624E-1	3,140625E+2	4,765468E-1	3,140625E+2	-4,930992E-1	3,140625E+2	5,426245E-1	3,140625E+2	-4,172754E-1	3,140625E+2	1,693123E-1	3,140625E+2	-8,218916E-1	3,140625E+2	1,681823E-1	3,140625E+2	-8,257683E-1	3,140625E+2	1,758407E-1	3,140625E+2	-8,214637E-1	3,140625E+2	2,248796E-1	3,140625E+2	-7,827160E-1	3,140625E+2	3,268351E-1	3,140625E+2	-6,626181E-1	3,140625E+2	3,880300E-1	3,140625E+2	-5,736107E-1
