X,Y,R
-6.05,-10.64,0.600
-6.05,-8.27,0.600
-6.05,-5.91,0.600
-6.05,-3.55,0.600
-6.05,-1.18,0.600
-6.05,1.18,0.600
-6.05,3.55,0.600
-6.05,5.91,0.600
-6.05,8.27,0.600
-6.05,10.64,0.600
-3.63,-10.64,0.600
-3.63,-8.27,0.600
-3.63,-5.91,0.600
-3.63,-3.55,0.600
-3.63,-1.18,0.600
-3.63,1.18,0.600
-3.63,3.55,0.600
-3.63,5.91,0.600
-3.63,8.27,0.600
-3.63,10.64,0.600
-1.21,-10.64,0.600
-1.21,-8.27,0.600
-1.21,-5.91,0.600
-1.21,-3.55,0.600
-1.21,-1.18,0.600
-1.21,1.18,0.600
-1.21,3.55,0.600
-1.21,5.91,0.600
-1.21,8.27,0.600
-1.21,10.64,0.600
1.21,-10.64,0.600
1.21,-8.27,0.600
1.21,-5.91,0.600
1.21,-3.55,0.600
1.21,-1.18,0.600
1.21,1.18,0.600
1.21,3.55,0.600
1.21,5.91,0.600
1.21,8.27,0.600
1.21,10.64,0.600
3.63,-10.64,0.600
3.63,-8.27,0.600
3.63,-5.91,0.600
3.63,-3.55,0.600
3.63,-1.18,0.600
3.63,1.18,0.600
3.63,3.55,0.600
3.63,5.91,0.600
3.63,8.27,0.600
3.63,10.64,0.600
6.05,-10.64,0.600
6.05,-8.27,0.600
6.05,-5.91,0.600
6.05,-3.55,0.600
6.05,-1.18,0.600
6.05,1.18,0.600
6.05,3.55,0.600
6.05,5.91,0.600
6.05,8.27,0.600
6.05,10.64,0.600
