X,Y,R
-1.14,-10.64,0.620
-1.14,-8.27,0.620
-1.14,-5.91,0.620
-1.14,-3.55,0.620
-1.14,-1.18,0.620
-1.14,1.18,0.620
-1.14,3.55,0.620
-1.14,5.91,0.620
-1.14,8.27,0.620
-1.14,10.64,0.620
0.00,-10.64,0.620
0.00,-8.27,0.620
0.00,-5.91,0.620
0.00,-3.55,0.620
0.00,-1.18,0.620
0.00,1.18,0.620
0.00,3.55,0.620
0.00,5.91,0.620
0.00,8.27,0.620
0.00,10.64,0.620
1.14,-10.64,0.620
1.14,-8.27,0.620
1.14,-5.91,0.620
1.14,-3.55,0.620
1.14,-1.18,0.620
1.14,1.18,0.620
1.14,3.55,0.620
1.14,5.91,0.620
1.14,8.27,0.620
1.14,10.64,0.620
