X,Y,R
-5.67,-10.64,0.780
-5.67,-8.27,0.780
-5.67,-5.91,0.780
-5.67,-3.55,0.780
-5.67,-1.18,0.780
-5.67,1.18,0.780
-5.67,3.55,0.780
-5.67,5.91,0.780
-5.67,8.27,0.780
-5.67,10.64,0.780
-3.40,-10.64,0.780
-3.40,-8.27,0.780
-3.40,-5.91,0.780
-3.40,-3.55,0.780
-3.40,-1.18,0.780
-3.40,1.18,0.780
-3.40,3.55,0.780
-3.40,5.91,0.780
-3.40,8.27,0.780
-3.40,10.64,0.780
-1.13,-10.64,0.780
-1.13,-8.27,0.780
-1.13,-5.91,0.780
-1.13,-3.55,0.780
-1.13,-1.18,0.780
-1.13,1.18,0.780
-1.13,3.55,0.780
-1.13,5.91,0.780
-1.13,8.27,0.780
-1.13,10.64,0.780
1.14,-10.64,0.780
1.14,-8.27,0.780
1.14,-5.91,0.780
1.14,-3.55,0.780
1.14,-1.18,0.780
1.14,1.18,0.780
1.14,3.55,0.780
1.14,5.91,0.780
1.14,8.27,0.780
1.14,10.64,0.780
3.41,-10.64,0.780
3.41,-8.27,0.780
3.41,-5.91,0.780
3.41,-3.55,0.780
3.41,-1.18,0.780
3.41,1.18,0.780
3.41,3.55,0.780
3.41,5.91,0.780
3.41,8.27,0.780
3.41,10.64,0.780
5.67,-10.64,0.780
5.67,-8.27,0.780
5.67,-5.91,0.780
5.67,-3.55,0.780
5.67,-1.18,0.780
5.67,1.18,0.780
5.67,3.55,0.780
5.67,5.91,0.780
5.67,8.27,0.780
5.67,10.64,0.780
