X,Y,R
-6.30,-10.64,0.520
-6.30,-8.27,0.520
-6.30,-5.91,0.520
-6.30,-3.55,0.520
-6.30,-1.18,0.520
-6.30,1.18,0.520
-6.30,3.55,0.520
-6.30,5.91,0.520
-6.30,8.27,0.520
-6.30,10.64,0.520
-4.20,-10.64,0.520
-4.20,-8.27,0.520
-4.20,-5.91,0.520
-4.20,-3.55,0.520
-4.20,-1.18,0.520
-4.20,1.18,0.520
-4.20,3.55,0.520
-4.20,5.91,0.520
-4.20,8.27,0.520
-4.20,10.64,0.520
-2.10,-10.64,0.520
-2.10,-8.27,0.520
-2.10,-5.91,0.520
-2.10,-3.55,0.520
-2.10,-1.18,0.520
-2.10,1.18,0.520
-2.10,3.55,0.520
-2.10,5.91,0.520
-2.10,8.27,0.520
-2.10,10.64,0.520
0.00,-10.64,0.520
0.00,-8.27,0.520
0.00,-5.91,0.520
0.00,-3.55,0.520
0.00,-1.18,0.520
0.00,1.18,0.520
0.00,3.55,0.520
0.00,5.91,0.520
0.00,8.27,0.520
0.00,10.64,0.520
2.10,-10.64,0.520
2.10,-8.27,0.520
2.10,-5.91,0.520
2.10,-3.55,0.520
2.10,-1.18,0.520
2.10,1.18,0.520
2.10,3.55,0.520
2.10,5.91,0.520
2.10,8.27,0.520
2.10,10.64,0.520
4.20,-10.64,0.520
4.20,-8.27,0.520
4.20,-5.91,0.520
4.20,-3.55,0.520
4.20,-1.18,0.520
4.20,1.18,0.520
4.20,3.55,0.520
4.20,5.91,0.520
4.20,8.27,0.520
4.20,10.64,0.520
6.30,-10.64,0.520
6.30,-8.27,0.520
6.30,-5.91,0.520
6.30,-3.55,0.520
6.30,-1.18,0.520
6.30,1.18,0.520
6.30,3.55,0.520
6.30,5.91,0.520
6.30,8.27,0.520
6.30,10.64,0.520
