Sample 1_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	
6,078125E+2	9,357960E+1
6,093750E+2	9,368656E+1
6,109375E+2	9,373793E+1
6,125000E+2	9,378900E+1
6,140625E+2	9,378047E+1
6,156250E+2	9,377193E+1
6,171875E+2	9,371459E+1
6,187500E+2	9,365686E+1
6,203125E+2	9,354955E+1
6,218750E+2	9,344089E+1
6,234375E+2	9,329411E+1
6,250000E+2	9,314481E+1
6,265625E+2	9,294883E+1
6,281250E+2	9,274834E+1
6,296875E+2	9,251925E+1
6,312500E+2	9,228395E+1
6,328125E+2	9,201231E+1
6,343750E+2	9,173189E+1
6,359375E+2	9,142231E+1
6,375000E+2	9,110128E+1
6,390625E+2	9,075441E+1
6,406250E+2	9,039311E+1
6,421875E+2	9,000865E+1
6,437500E+2	8,960639E+1
6,453125E+2	8,918468E+1
6,468750E+2	8,874144E+1
6,484375E+2	8,828285E+1
6,500000E+2	8,779869E+1
6,515625E+2	9,191748E+1
6,531250E+2	9,470003E+1
6,546875E+2	9,524621E+1
6,562500E+2	9,576007E+1
6,578125E+2	9,621433E+1
6,593750E+2	9,664601E+1
6,609375E+2	9,708053E+1
6,625000E+2	9,749434E+1
6,640625E+2	9,784952E+1
6,656250E+2	9,819074E+1
6,671875E+2	9,839989E+1
6,687500E+2	9,860412E+1
6,703125E+2	9,874440E+1
6,718750E+2	9,888246E+1
6,734375E+2	9,806780E+1
6,750000E+2	9,716874E+1
6,765625E+2	9,769891E+1
6,781250E+2	9,819857E+1
6,796875E+2	9,863624E+1
6,812500E+2	9,905290E+1
6,828125E+2	9,939472E+1
6,843750E+2	9,972360E+1
6,859375E+2	9,998212E+1
6,875000E+2	1,002332E+2
6,890625E+2	1,004148E+2
6,906250E+2	1,005926E+2
6,921875E+2	1,007053E+2
6,937500E+2	1,008166E+2
6,953125E+2	1,008624E+2
6,968750E+2	1,009080E+2
6,984375E+2	1,008907E+2
7,000000E+2	1,008734E+2
7,015625E+2	1,007807E+2
7,031250E+2	1,006870E+2
7,046875E+2	1,004193E+2
7,062500E+2	1,001431E+2
7,078125E+2	9,987892E+1
7,093750E+2	9,960644E+1
7,109375E+2	9,946805E+1
7,125000E+2	9,932742E+1
7,140625E+2	9,915916E+1
7,156250E+2	9,898757E+1
7,171875E+2	9,876746E+1
7,187500E+2	9,854162E+1
7,203125E+2	9,826534E+1
7,218750E+2	9,797999E+1
7,234375E+2	9,764064E+1
7,250000E+2	9,728749E+1
7,265625E+2	9,688845E+1
7,281250E+2	9,647019E+1
7,296875E+2	9,600090E+1
7,312500E+2	9,550480E+1
7,328125E+2	9,496379E+1
7,343750E+2	9,438683E+1
7,359375E+2	9,376592E+1
7,375000E+2	9,309720E+1
7,390625E+2	9,238676E+1
7,406250E+2	9,161300E+1
7,421875E+2	9,014603E+1
7,437500E+2	8,837992E+1
7,453125E+2	8,804150E+1
7,468750E+2	8,768936E+1
7,484375E+2	8,743324E+1
7,500000E+2	8,716934E+1
7,515625E+2	8,700102E+1
7,531250E+2	8,682936E+1
7,546875E+2	8,663126E+1
7,562500E+2	8,642853E+1
7,578125E+2	8,622555E+1
7,593750E+2	8,601771E+1
7,609375E+2	8,536818E+1
7,625000E+2	8,466611E+1
7,640625E+2	8,475957E+1
7,656250E+2	8,485204E+1
7,671875E+2	8,492431E+1
7,687500E+2	8,499598E+1
7,703125E+2	8,502761E+1
7,718750E+2	8,505912E+1
7,734375E+2	8,503789E+1
7,750000E+2	8,501661E+1
7,765625E+2	8,495121E+1
7,781250E+2	8,488532E+1
7,796875E+2	8,480101E+1
7,812500E+2	8,471587E+1
7,828125E+2	8,458410E+1
7,843750E+2	8,445029E+1
7,859375E+2	8,425805E+1
7,875000E+2	8,406147E+1
7,890625E+2	8,356505E+1
7,906250E+2	8,303853E+1
7,921875E+2	8,290957E+1
7,937500E+2	8,277867E+1
7,953125E+2	8,263459E+1
7,968750E+2	8,248808E+1
7,984375E+2	8,230914E+1
8,000000E+2	8,212643E+1
8,015625E+2	8,042167E+1
8,031250E+2	7,829854E+1
8,046875E+2	7,917749E+1
8,062500E+2	7,997561E+1
8,078125E+2	8,077750E+1
8,093750E+2	8,151157E+1
8,109375E+2	8,225833E+1
8,125000E+2	8,294594E+1
8,140625E+2	8,364641E+1
8,156250E+2	8,429459E+1
8,171875E+2	8,495348E+1
8,187500E+2	8,556590E+1
8,203125E+2	8,619381E+1
8,218750E+2	8,677936E+1
8,234375E+2	8,737630E+1
8,250000E+2	8,793485E+1
8,265625E+2	8,850449E+1
8,281250E+2	8,903906E+1
8,296875E+2	8,958644E+1
8,312500E+2	9,010135E+1
8,328125E+2	9,062519E+1
8,343750E+2	9,111923E+1
8,359375E+2	9,162524E+1
8,375000E+2	9,210340E+1
8,390625E+2	9,257917E+1
8,406250E+2	9,303024E+1
8,421875E+2	9,348190E+1
8,437500E+2	9,391123E+1
8,453125E+2	9,434038E+1
8,468750E+2	9,474931E+1
8,484375E+2	9,511168E+1
8,500000E+2	9,545953E+1
8,515625E+2	9,579988E+1
8,531250E+2	9,612739E+1
8,546875E+2	9,644343E+1
8,562500E+2	9,674837E+1
8,578125E+2	9,703548E+1
8,593750E+2	9,731340E+1
8,609375E+2	9,754435E+1
8,625000E+2	9,776931E+1
8,640625E+2	9,793296E+1
8,656250E+2	9,809358E+1
8,671875E+2	9,776882E+1
8,687500E+2	9,743143E+1
8,703125E+2	9,796474E+1
8,718750E+2	9,846719E+1
8,734375E+2	9,889840E+1
8,750000E+2	9,930922E+1
8,765625E+2	9,965340E+1
8,781250E+2	9,998445E+1
8,796875E+2	1,002458E+2
8,812500E+2	1,004995E+2
8,828125E+2	1,006891E+2
8,843750E+2	1,008747E+2
8,859375E+2	1,010002E+2
8,875000E+2	1,011240E+2
8,890625E+2	1,011771E+2
8,906250E+2	1,012298E+2
8,921875E+2	1,012186E+2
8,937500E+2	1,012073E+2
