Sample 2 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 2 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 3 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 3 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 4 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 4 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 5 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 5 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 6 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 6 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 7 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 7 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 8 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 8 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 9 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 9 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 10 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 10 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 11 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 11 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 12 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 12 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 13 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 13 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	
3,000000E+2	2,256632E-1	3,000000E+2	-1,778115E+0	3,000000E+2	2,475766E-1	3,000000E+2	-1,790385E+0	3,000000E+2	3,144723E-1	3,000000E+2	-1,833294E+0	3,000000E+2	5,658187E-1	3,000000E+2	-1,905570E+0	3,000000E+2	1,096443E+0	3,000000E+2	-2,084950E+0	3,000000E+2	1,382418E+0	3,000000E+2	-2,304281E+0	3,000000E+2	2,496323E-1	3,000000E+2	-1,674755E+0	3,000000E+2	2,189744E-1	3,000000E+2	-1,680094E+0	3,000000E+2	2,339781E-1	3,000000E+2	-1,692468E+0	3,000000E+2	3,050133E-1	3,000000E+2	-1,718472E+0	3,000000E+2	5,415310E-1	3,000000E+2	-1,755416E+0	3,000000E+2	7,611820E-1	3,000000E+2	-1,822925E+0
3,015625E+2	2,279628E-1	3,015625E+2	-1,781131E+0	3,015625E+2	2,502180E-1	3,015625E+2	-1,792543E+0	3,015625E+2	3,164401E-1	3,015625E+2	-1,832858E+0	3,015625E+2	5,631188E-1	3,015625E+2	-1,893776E+0	3,015625E+2	1,088303E+0	3,015625E+2	-2,063474E+0	3,015625E+2	1,383417E+0	3,015625E+2	-2,289976E+0	3,015625E+2	2,551184E-1	3,015625E+2	-1,663803E+0	3,015625E+2	2,202150E-1	3,015625E+2	-1,675729E+0	3,015625E+2	2,361438E-1	3,015625E+2	-1,687617E+0	3,015625E+2	3,060383E-1	3,015625E+2	-1,709094E+0	3,015625E+2	5,408078E-1	3,015625E+2	-1,738920E+0	3,015625E+2	7,613664E-1	3,015625E+2	-1,807706E+0
3,031250E+2	2,301862E-1	3,031250E+2	-1,784020E+0	3,031250E+2	2,527741E-1	3,031250E+2	-1,794549E+0	3,031250E+2	3,182502E-1	3,031250E+2	-1,832204E+0	3,031250E+2	5,599251E-1	3,031250E+2	-1,881625E+0	3,031250E+2	1,078996E+0	3,031250E+2	-2,041707E+0	3,031250E+2	1,383088E+0	3,031250E+2	-2,275349E+0	3,031250E+2	2,604574E-1	3,031250E+2	-1,652529E+0	3,031250E+2	2,213301E-1	3,031250E+2	-1,671149E+0	3,031250E+2	2,381853E-1	3,031250E+2	-1,682532E+0	3,031250E+2	3,068497E-1	3,031250E+2	-1,699427E+0	3,031250E+2	5,396273E-1	3,031250E+2	-1,722114E+0	3,031250E+2	7,609355E-1	3,031250E+2	-1,792188E+0
3,046875E+2	2,317963E-1	3,046875E+2	-1,781247E+0	3,046875E+2	2,545141E-1	3,046875E+2	-1,791286E+0	3,046875E+2	3,190847E-1	3,046875E+2	-1,826894E+0	3,046875E+2	5,549879E-1	3,046875E+2	-1,866439E+0	3,046875E+2	1,073978E+0	3,046875E+2	-2,024135E+0	3,046875E+2	1,384120E+0	3,046875E+2	-2,261521E+0	3,046875E+2	2,598081E-1	3,046875E+2	-1,631960E+0	3,046875E+2	2,218200E-1	3,046875E+2	-1,660753E+0	3,046875E+2	2,393782E-1	3,046875E+2	-1,669462E+0	3,046875E+2	3,065351E-1	3,046875E+2	-1,681627E+0	3,046875E+2	5,360933E-1	3,046875E+2	-1,696347E+0	3,046875E+2	7,584705E-1	3,046875E+2	-1,772050E+0
3,062500E+2	2,332841E-1	3,062500E+2	-1,778252E+0	3,062500E+2	2,561179E-1	3,062500E+2	-1,787790E+0	3,062500E+2	3,197145E-1	3,062500E+2	-1,821310E+0	3,062500E+2	5,495541E-1	3,062500E+2	-1,850931E+0	3,062500E+2	1,067967E+0	3,062500E+2	-2,006332E+0	3,062500E+2	1,383921E+0	3,062500E+2	-2,247433E+0	3,062500E+2	2,589177E-1	3,062500E+2	-1,611152E+0	3,062500E+2	2,221492E-1	3,062500E+2	-1,650113E+0	3,062500E+2	2,403878E-1	3,062500E+2	-1,656122E+0	3,062500E+2	3,059542E-1	3,062500E+2	-1,663550E+0	3,062500E+2	5,320503E-1	3,062500E+2	-1,670378E+0	3,062500E+2	7,553506E-1	3,062500E+2	-1,751685E+0
3,078125E+2	2,338692E-1	3,078125E+2	-1,764033E+0	3,078125E+2	2,559189E-1	3,078125E+2	-1,773761E+0	3,078125E+2	3,184704E-1	3,078125E+2	-1,808120E+0	3,078125E+2	5,419746E-1	3,078125E+2	-1,831304E+0	3,078125E+2	1,062428E+0	3,078125E+2	-1,989147E+0	3,078125E+2	1,386123E+0	3,078125E+2	-2,234720E+0	3,078125E+2	2,393539E-1	3,078125E+2	-1,492122E+0	3,078125E+2	2,222254E-1	3,078125E+2	-1,631814E+0	3,078125E+2	2,402103E-1	3,078125E+2	-1,631727E+0	3,078125E+2	3,022757E-1	3,078125E+2	-1,628811E+0	3,078125E+2	5,270052E-1	3,078125E+2	-1,635935E+0	3,078125E+2	7,513992E-1	3,078125E+2	-1,727735E+0
3,093750E+2	2,342598E-1	3,093750E+2	-1,749516E+0	3,093750E+2	2,555068E-1	3,093750E+2	-1,759435E+0	3,093750E+2	3,169648E-1	3,093750E+2	-1,794628E+0	3,093750E+2	5,339171E-1	3,093750E+2	-1,811420E+0	3,093750E+2	1,055973E+0	3,093750E+2	-1,971799E+0	3,093750E+2	1,387214E+0	3,093750E+2	-2,221798E+0	3,093750E+2	2,207036E-1	3,093750E+2	-1,378668E+0	3,093750E+2	2,221037E-1	3,093750E+2	-1,613309E+0	3,093750E+2	2,397885E-1	3,093750E+2	-1,607162E+0	3,093750E+2	2,982891E-1	3,093750E+2	-1,594072E+0	3,093750E+2	5,214387E-1	3,093750E+2	-1,601524E+0	3,093750E+2	7,467945E-1	3,093750E+2	-1,703659E+0
3,109375E+2	2,353990E-1	3,109375E+2	-1,714903E+0	3,109375E+2	2,532718E-1	3,109375E+2	-1,724460E+0	3,109375E+2	3,128259E-1	3,109375E+2	-1,764812E+0	3,109375E+2	5,226335E-1	3,109375E+2	-1,781940E+0	3,109375E+2	1,046016E+0	3,109375E+2	-1,950427E+0	3,109375E+2	1,388126E+0	3,109375E+2	-2,207509E+0	3,109375E+2	2,186310E-1	3,109375E+2	-1,285622E+0	3,109375E+2	2,161245E-1	3,109375E+2	-1,392349E+0	3,109375E+2	2,271567E-1	3,109375E+2	-1,395915E+0	3,109375E+2	2,861156E-1	3,109375E+2	-1,435747E+0	3,109375E+2	5,138587E-1	3,109375E+2	-1,550994E+0	3,109375E+2	7,436745E-1	3,109375E+2	-1,677579E+0
3,125000E+2	2,362201E-1	3,125000E+2	-1,680241E+0	3,125000E+2	2,507618E-1	3,125000E+2	-1,689453E+0	3,125000E+2	3,083979E-1	3,125000E+2	-1,734855E+0	3,125000E+2	5,109499E-1	3,125000E+2	-1,752366E+0	3,125000E+2	1,035170E+0	3,125000E+2	-1,928982E+0	3,125000E+2	1,387951E+0	3,125000E+2	-2,193057E+0	3,125000E+2	2,159384E-1	3,125000E+2	-1,196602E+0	3,125000E+2	2,088419E-1	3,125000E+2	-1,193875E+0	3,125000E+2	2,145203E-1	3,125000E+2	-1,205252E+0	3,125000E+2	2,737606E-1	3,125000E+2	-1,288668E+0	3,125000E+2	5,057625E-1	3,125000E+2	-1,501165E+0	3,125000E+2	7,399233E-1	3,125000E+2	-1,651465E+0
3,140625E+2	2,317955E-1	3,140625E+2	-1,588442E+0	3,140625E+2	2,413725E-1	3,140625E+2	-1,590161E+0	3,140625E+2	2,838286E-1	3,140625E+2	-1,560325E+0	3,140625E+2	4,930446E-1	3,140625E+2	-1,704057E+0	3,140625E+2	1,024376E+0	3,140625E+2	-1,906987E+0	3,140625E+2	1,386446E+0	3,140625E+2	-2,177215E+0	3,140625E+2	2,166365E-1	3,140625E+2	-1,203754E+0	3,140625E+2	2,109611E-1	3,140625E+2	-1,202155E+0	3,140625E+2	2,173328E-1	3,140625E+2	-1,213351E+0	3,140625E+2	2,775419E-1	3,140625E+2	-1,290061E+0	3,140625E+2	5,089768E-1	3,140625E+2	-1,485335E+0	3,140625E+2	7,396966E-1	3,140625E+2	-1,630649E+0
