Sample 2_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 3_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 4_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 5_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 6_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 7_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 8_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 9_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 10_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 11_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 12_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 13_Frequency [Hz]	Absorption Coefficient on Cavity	
3,218750E+2	2,606470E-1	3,218750E+2	2,747109E-1	3,218750E+2	2,965452E-1	3,218750E+2	3,982063E-1	3,218750E+2	5,452130E-1	3,218750E+2	5,487908E-1	3,218750E+2	2,866486E-1	3,218750E+2	2,938565E-1	3,218750E+2	3,000712E-1	3,218750E+2	3,491037E-1	3,218750E+2	4,779665E-1	3,218750E+2	5,434503E-1
3,234375E+2	2,685520E-1	3,234375E+2	2,783621E-1	3,234375E+2	2,977552E-1	3,234375E+2	4,006225E-1	3,234375E+2	5,485315E-1	3,234375E+2	5,526537E-1	3,234375E+2	2,852215E-1	3,234375E+2	2,962130E-1	3,234375E+2	3,024102E-1	3,234375E+2	3,521587E-1	3,234375E+2	4,822647E-1	3,234375E+2	5,471744E-1
3,250000E+2	2,763396E-1	3,250000E+2	2,819135E-1	3,250000E+2	2,989176E-1	3,250000E+2	4,029353E-1	3,250000E+2	5,516664E-1	3,250000E+2	5,563755E-1	3,250000E+2	2,837107E-1	3,250000E+2	2,984973E-1	3,250000E+2	3,046805E-1	3,250000E+2	3,551331E-1	3,250000E+2	4,864526E-1	3,250000E+2	5,507949E-1
3,265625E+2	2,817192E-1	3,265625E+2	2,852565E-1	3,265625E+2	3,006381E-1	3,265625E+2	4,053592E-1	3,265625E+2	5,547565E-1	3,265625E+2	5,601156E-1	3,265625E+2	2,821315E-1	3,265625E+2	3,020781E-1	3,265625E+2	3,080868E-1	3,265625E+2	3,592599E-1	3,265625E+2	4,916250E-1	3,265625E+2	5,550771E-1
3,281250E+2	2,869980E-1	3,281250E+2	2,885116E-1	3,281250E+2	3,022929E-1	3,281250E+2	4,076291E-1	3,281250E+2	5,576840E-1	3,281250E+2	5,637087E-1	3,281250E+2	2,804172E-1	3,281250E+2	3,055573E-1	3,281250E+2	3,113946E-1	3,281250E+2	3,632707E-1	3,281250E+2	4,966509E-1	3,281250E+2	5,592316E-1
3,296875E+2	2,944014E-1	3,296875E+2	2,991495E-1	3,296875E+2	3,192098E-1	3,296875E+2	4,126510E-1	3,296875E+2	5,609954E-1	3,296875E+2	5,674497E-1	3,296875E+2	2,824622E-1	3,296875E+2	3,099189E-1	3,296875E+2	3,178620E-1	3,296875E+2	3,700719E-1	3,296875E+2	5,033822E-1	3,296875E+2	5,646155E-1
3,312500E+2	3,016205E-1	3,312500E+2	3,095446E-1	3,312500E+2	3,352299E-1	3,312500E+2	4,173477E-1	3,312500E+2	5,640707E-1	3,312500E+2	5,710414E-1	3,312500E+2	2,843250E-1	3,312500E+2	3,141164E-1	3,312500E+2	3,241503E-1	3,312500E+2	3,766721E-1	3,312500E+2	5,099175E-1	3,312500E+2	5,698363E-1
3,328125E+2	3,082135E-1	3,328125E+2	3,175479E-1	3,328125E+2	3,404850E-1	3,328125E+2	4,261647E-1	3,328125E+2	5,678786E-1	3,328125E+2	5,748765E-1	3,328125E+2	2,972085E-1	3,328125E+2	3,178863E-1	3,328125E+2	3,316296E-1	3,328125E+2	3,840424E-1	3,328125E+2	5,167430E-1	3,328125E+2	5,754304E-1
3,343750E+2	3,146155E-1	3,343750E+2	3,253359E-1	3,343750E+2	3,456086E-1	3,343750E+2	4,346132E-1	3,343750E+2	5,714908E-1	3,343750E+2	5,785624E-1	3,343750E+2	3,098008E-1	3,343750E+2	3,214436E-1	3,343750E+2	3,388773E-1	3,343750E+2	3,912027E-1	3,343750E+2	5,233763E-1	3,343750E+2	5,808625E-1
3,359375E+2	3,189689E-1	3,359375E+2	3,286125E-1	3,359375E+2	3,487317E-1	3,359375E+2	4,387213E-1	3,359375E+2	5,758477E-1	3,359375E+2	5,821124E-1	3,359375E+2	3,313926E-1	3,359375E+2	3,251969E-1	3,359375E+2	3,443114E-1	3,359375E+2	3,969316E-1	3,359375E+2	5,289873E-1	3,359375E+2	5,854795E-1
