Sample 2_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	
3,765625E+2	9,999473E+1
3,781250E+2	9,999809E+1
3,796875E+2	9,999356E+1
3,812500E+2	9,998902E+1
3,828125E+2	9,998854E+1
3,843750E+2	9,998805E+1
3,859375E+2	9,999161E+1
3,875000E+2	9,999516E+1
3,890625E+2	9,999705E+1
3,906250E+2	9,999894E+1
3,921875E+2	9,999645E+1
3,937500E+2	9,999397E+1
3,953125E+2	9,999355E+1
3,968750E+2	9,999313E+1
3,984375E+2	9,999283E+1
4,000000E+2	9,999253E+1
4,015625E+2	9,999193E+1
4,031250E+2	9,999133E+1
4,046875E+2	9,999244E+1
4,062500E+2	9,999355E+1
4,078125E+2	9,999314E+1
4,093750E+2	9,999273E+1
4,109375E+2	9,999185E+1
4,125000E+2	9,999096E+1
4,140625E+2	9,999239E+1
4,156250E+2	9,999382E+1
4,171875E+2	9,999443E+1
4,187500E+2	9,999503E+1
4,203125E+2	9,999450E+1
4,218750E+2	9,999396E+1
4,234375E+2	9,999402E+1
4,250000E+2	9,999409E+1
4,265625E+2	9,999386E+1
4,281250E+2	9,999363E+1
4,296875E+2	9,999359E+1
4,312500E+2	9,999356E+1
4,328125E+2	9,999405E+1
4,343750E+2	9,999455E+1
4,359375E+2	9,999341E+1
4,375000E+2	9,999226E+1
4,390625E+2	9,999403E+1
4,406250E+2	9,999581E+1
4,421875E+2	9,999446E+1
4,437500E+2	9,999311E+1
4,453125E+2	9,999368E+1
4,468750E+2	9,999426E+1
4,484375E+2	9,999391E+1
4,500000E+2	9,999356E+1
4,515625E+2	9,999211E+1
4,531250E+2	9,999067E+1
4,546875E+2	9,999036E+1
4,562500E+2	9,999005E+1
4,578125E+2	9,999258E+1
4,593750E+2	9,999511E+1
4,609375E+2	9,999226E+1
4,625000E+2	9,998941E+1
4,640625E+2	9,999367E+1
4,656250E+2	9,999792E+1
4,671875E+2	9,999657E+1
4,687500E+2	9,999522E+1
4,703125E+2	9,999480E+1
4,718750E+2	9,999437E+1
4,734375E+2	9,999446E+1
4,750000E+2	9,999454E+1
4,765625E+2	9,999365E+1
4,781250E+2	9,999276E+1
4,796875E+2	9,999192E+1
4,812500E+2	9,999108E+1
4,828125E+2	9,999196E+1
4,843750E+2	9,999284E+1
4,859375E+2	9,999328E+1
4,875000E+2	9,999372E+1
4,890625E+2	9,999365E+1
4,906250E+2	9,999358E+1
4,921875E+2	9,999321E+1
4,937500E+2	9,999285E+1
4,953125E+2	9,999351E+1
4,968750E+2	9,999417E+1
4,984375E+2	9,999551E+1
5,000000E+2	9,999686E+1
5,015625E+2	9,999571E+1
5,031250E+2	9,999456E+1
5,046875E+2	9,999494E+1
5,062500E+2	9,999532E+1
5,078125E+2	9,999467E+1
5,093750E+2	9,999402E+1
5,109375E+2	9,999249E+1
5,125000E+2	9,999097E+1
5,140625E+2	9,999103E+1
5,156250E+2	9,999109E+1
5,171875E+2	9,999106E+1
5,187500E+2	9,999102E+1
5,203125E+2	9,999156E+1
5,218750E+2	9,999210E+1
5,234375E+2	9,999322E+1
5,250000E+2	9,999434E+1
5,265625E+2	9,999500E+1
5,281250E+2	9,999567E+1
5,296875E+2	9,999759E+1
5,312500E+2	9,999952E+1
5,328125E+2	9,999607E+1
5,343750E+2	9,999263E+1
5,359375E+2	9,998961E+1
5,375000E+2	9,998658E+1
5,390625E+2	9,997826E+1
5,406250E+2	9,996992E+1
5,421875E+2	9,985292E+1
5,437500E+2	9,973432E+1
5,453125E+2	9,983015E+1
5,468750E+2	9,992495E+1
5,484375E+2	9,997289E+1
5,500000E+2	1,000206E+2
5,515625E+2	1,000041E+2
5,531250E+2	9,998761E+1
5,546875E+2	9,994286E+1
5,562500E+2	9,989788E+1
5,578125E+2	9,992767E+1
5,593750E+2	9,995737E+1
5,609375E+2	9,997891E+1
5,625000E+2	1,000004E+2
5,640625E+2	9,999980E+1
5,656250E+2	9,999920E+1
5,671875E+2	9,996310E+1
5,687500E+2	9,992684E+1
5,703125E+2	9,984931E+1
5,718750E+2	9,977107E+1
5,734375E+2	9,965857E+1
5,750000E+2	9,954459E+1
5,765625E+2	9,949888E+1
5,781250E+2	9,945292E+1
5,796875E+2	9,950414E+1
5,812500E+2	9,955506E+1
5,828125E+2	9,947456E+1
5,843750E+2	9,939331E+1
5,859375E+2	9,955884E+1
5,875000E+2	9,972128E+1
5,890625E+2	9,981858E+1
5,906250E+2	9,991481E+1
5,921875E+2	9,995947E+1
5,937500E+2	1,000039E+2
5,953125E+2	9,999845E+1
5,968750E+2	9,999300E+1
5,984375E+2	9,998073E+1
6,000000E+2	9,996845E+1
6,015625E+2	9,998047E+1
6,031250E+2	9,999247E+1
6,046875E+2	9,999825E+1
6,062500E+2	1,000040E+2
6,078125E+2	1,000015E+2
6,093750E+2	9,999907E+1
6,109375E+2	9,998219E+1
6,125000E+2	9,996528E+1
6,140625E+2	9,998723E+1
6,156250E+2	1,000091E+2
6,171875E+2	1,000016E+2
6,187500E+2	9,999409E+1
6,203125E+2	9,999341E+1
6,218750E+2	9,999272E+1
6,234375E+2	9,999706E+1
6,250000E+2	1,000014E+2
6,265625E+2	9,999570E+1
6,281250E+2	9,999000E+1
6,296875E+2	9,999314E+1
6,312500E+2	9,999628E+1
6,328125E+2	9,999487E+1
6,343750E+2	9,999346E+1
6,359375E+2	9,999207E+1
6,375000E+2	9,999069E+1
6,390625E+2	9,999198E+1
6,406250E+2	9,999328E+1
6,421875E+2	9,999142E+1
6,437500E+2	9,998956E+1
6,453125E+2	9,999060E+1
6,468750E+2	9,999164E+1
6,484375E+2	9,999116E+1
6,500000E+2	9,999068E+1
6,515625E+2	9,999210E+1
6,531250E+2	9,999352E+1
6,546875E+2	9,999133E+1
6,562500E+2	9,998914E+1
6,578125E+2	9,999122E+1
6,593750E+2	9,999330E+1
6,609375E+2	9,999327E+1
6,625000E+2	9,999325E+1
6,640625E+2	9,999467E+1
6,656250E+2	9,999610E+1
6,671875E+2	9,999454E+1
6,687500E+2	9,999298E+1
6,703125E+2	9,999347E+1
6,718750E+2	9,999396E+1
6,734375E+2	9,999408E+1
6,750000E+2	9,999420E+1
6,765625E+2	9,999286E+1
6,781250E+2	9,999152E+1
6,796875E+2	9,999373E+1
6,812500E+2	9,999595E+1
6,828125E+2	9,999556E+1
6,843750E+2	9,999516E+1
6,859375E+2	9,999480E+1
6,875000E+2	9,999445E+1
6,890625E+2	9,999415E+1
6,906250E+2	9,999385E+1
6,921875E+2	9,999466E+1
6,937500E+2	9,999547E+1
6,953125E+2	9,999583E+1
6,968750E+2	9,999619E+1
6,984375E+2	9,999587E+1
7,000000E+2	9,999556E+1
7,015625E+2	9,999527E+1
7,031250E+2	9,999498E+1
7,046875E+2	9,999516E+1
7,062500E+2	9,999535E+1
7,078125E+2	9,999529E+1
7,093750E+2	9,999523E+1
7,109375E+2	9,999518E+1
7,125000E+2	9,999513E+1
7,140625E+2	9,999473E+1
7,156250E+2	9,999433E+1
7,171875E+2	9,999456E+1
7,187500E+2	9,999478E+1
7,203125E+2	9,999492E+1
7,218750E+2	9,999506E+1
7,234375E+2	9,999588E+1
7,250000E+2	9,999671E+1
7,265625E+2	9,999565E+1
7,281250E+2	9,999459E+1
7,296875E+2	9,999537E+1
