Sample 2 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 2 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	
2,156250E+2	5,708523E-1	2,156250E+2	-2,778432E+0
2,171875E+2	5,527176E-1	2,171875E+2	-2,710510E+0
2,187500E+2	5,684588E-1	2,187500E+2	-2,740170E+0
2,203125E+2	5,835700E-1	2,203125E+2	-2,766726E+0
2,218750E+2	5,715362E-1	2,218750E+2	-2,692808E+0
2,234375E+2	5,595845E-1	2,234375E+2	-2,641128E+0
2,250000E+2	5,712278E-1	2,250000E+2	-2,653734E+0
2,265625E+2	5,822392E-1	2,265625E+2	-2,666486E+0
2,281250E+2	5,805244E-1	2,281250E+2	-2,628724E+0
2,296875E+2	5,767705E-1	2,296875E+2	-2,598981E+0
2,312500E+2	5,621544E-1	2,312500E+2	-2,512497E+0
2,328125E+2	5,443198E-1	2,328125E+2	-2,457128E+0
2,343750E+2	5,558287E-1	2,343750E+2	-2,467755E+0
2,359375E+2	5,662320E-1	2,359375E+2	-2,476942E+0
2,375000E+2	5,600409E-1	2,375000E+2	-2,404436E+0
2,390625E+2	5,451805E-1	2,390625E+2	-2,359184E+0
2,406250E+2	5,553635E-1	2,406250E+2	-2,358439E+0
2,421875E+2	5,629176E-1	2,421875E+2	-2,359752E+0
2,437500E+2	5,661604E-1	2,437500E+2	-2,321350E+0
2,453125E+2	5,599070E-1	2,453125E+2	-2,297540E+0
2,468750E+2	5,741849E-1	2,468750E+2	-2,306273E+0
2,484375E+2	5,862438E-1	2,484375E+2	-2,317491E+0
2,500000E+2	6,054742E-1	2,500000E+2	-2,343713E+0
2,515625E+2	6,246460E-1	2,515625E+2	-2,370720E+0
2,531250E+2	6,453424E-1	2,531250E+2	-2,399920E+0
2,546875E+2	6,662263E-1	2,546875E+2	-2,429908E+0
2,562500E+2	6,882226E-1	2,562500E+2	-2,461354E+0
2,578125E+2	7,175059E-1	2,578125E+2	-2,483226E+0
2,593750E+2	7,716669E-1	2,593750E+2	-2,168829E+0
2,609375E+2	5,519324E-1	2,609375E+2	-1,959875E+0
2,625000E+2	5,580042E-1	2,625000E+2	-1,800555E+0
2,640625E+2	4,697112E-1	2,640625E+2	-1,599961E+0
2,656250E+2	4,797640E-1	2,656250E+2	-1,617188E+0
2,671875E+2	4,900951E-1	2,671875E+2	-1,634607E+0
2,687500E+2	5,014679E-1	2,687500E+2	-1,652108E+0
2,703125E+2	5,131376E-1	2,703125E+2	-1,669778E+0
2,718750E+2	5,249375E-1	2,718750E+2	-1,687526E+0
2,734375E+2	5,370619E-1	2,734375E+2	-1,705449E+0
2,750000E+2	5,498854E-1	2,750000E+2	-1,723540E+0
2,765625E+2	5,630523E-1	2,765625E+2	-1,741795E+0
2,781250E+2	5,764033E-1	2,781250E+2	-1,760110E+0
2,796875E+2	5,894615E-1	2,796875E+2	-1,772561E+0
2,812500E+2	5,740630E-1	2,812500E+2	-1,623264E+0
2,828125E+2	5,277285E-1	2,828125E+2	-1,447628E+0
2,843750E+2	5,374506E-1	2,843750E+2	-1,457993E+0
2,859375E+2	5,473146E-1	2,859375E+2	-1,468285E+0
2,875000E+2	5,571222E-1	2,875000E+2	-1,477435E+0
2,890625E+2	5,670645E-1	2,890625E+2	-1,486445E+0
2,906250E+2	5,776577E-1	2,906250E+2	-1,493999E+0
2,921875E+2	5,882092E-1	2,921875E+2	-1,500182E+0
2,937500E+2	5,947944E-1	2,937500E+2	-1,476492E+0
2,953125E+2	6,002729E-1	2,953125E+2	-1,451411E+0
2,968750E+2	6,085456E-1	2,968750E+2	-1,446082E+0
2,984375E+2	6,165056E-1	2,984375E+2	-1,440186E+0
3,000000E+2	6,253632E-1	3,000000E+2	-1,438274E+0
3,015625E+2	6,340634E-1	3,015625E+2	-1,436069E+0
3,031250E+2	6,440008E-1	3,031250E+2	-1,439242E+0
3,046875E+2	6,537501E-1	3,046875E+2	-1,441497E+0
3,062500E+2	6,590996E-1	3,062500E+2	-1,427777E+0
3,078125E+2	6,638858E-1	3,078125E+2	-1,413772E+0
3,093750E+2	6,729883E-1	3,093750E+2	-1,416794E+0
3,109375E+2	6,818608E-1	3,109375E+2	-1,419199E+0
3,125000E+2	6,860723E-1	3,125000E+2	-1,411760E+0
3,140625E+2	6,898161E-1	3,140625E+2	-1,404073E+0
3,156250E+2	6,953890E-1	3,156250E+2	-1,403079E+0
3,171875E+2	7,006559E-1	3,171875E+2	-1,401826E+0
3,187500E+2	7,051934E-1	3,187500E+2	-1,400532E+0
3,203125E+2	7,091780E-1	3,203125E+2	-1,398768E+0
3,218750E+2	7,071982E-1	3,218750E+2	-1,391149E+0
3,234375E+2	7,047633E-1	3,234375E+2	-1,383618E+0
3,250000E+2	7,089984E-1	3,250000E+2	-1,385038E+0
3,265625E+2	7,127411E-1	3,265625E+2	-1,386047E+0
3,281250E+2	7,097333E-1	3,281250E+2	-1,379614E+0
3,296875E+2	7,062145E-1	3,296875E+2	-1,373163E+0
3,312500E+2	7,064268E-1	3,312500E+2	-1,370899E+0
3,328125E+2	7,061183E-1	3,328125E+2	-1,368385E+0
3,343750E+2	7,031217E-1	3,343750E+2	-1,362790E+0
3,359375E+2	6,995033E-1	3,359375E+2	-1,356924E+0
3,375000E+2	6,946706E-1	3,375000E+2	-1,348175E+0
3,390625E+2	6,892501E-1	3,390625E+2	-1,339272E+0
3,406250E+2	6,857044E-1	3,406250E+2	-1,331636E+0
3,421875E+2	6,816204E-1	3,421875E+2	-1,323771E+0
3,437500E+2	6,780415E-1	3,437500E+2	-1,314955E+0
3,453125E+2	6,739897E-1	3,453125E+2	-1,305958E+0
3,468750E+2	6,717948E-1	3,468750E+2	-1,297686E+0
3,484375E+2	6,691517E-1	3,484375E+2	-1,289154E+0
3,500000E+2	6,669755E-1	3,500000E+2	-1,279464E+0
3,515625E+2	6,642430E-1	3,515625E+2	-1,269230E+0
3,531250E+2	6,591972E-1	3,531250E+2	-1,251459E+0
3,546875E+2	6,538272E-1	3,546875E+2	-1,233850E+0
3,562500E+2	6,559106E-1	3,562500E+2	-1,228440E+0
3,578125E+2	6,576165E-1	3,578125E+2	-1,222429E+0
3,593750E+2	6,559923E-1	3,593750E+2	-1,206079E+0
3,609375E+2	6,540248E-1	3,609375E+2	-1,189583E+0
3,625000E+2	6,552356E-1	3,625000E+2	-1,176942E+0
3,640625E+2	6,561709E-1	3,640625E+2	-1,164098E+0
3,656250E+2	6,588059E-1	3,656250E+2	-1,152553E+0
3,671875E+2	6,611641E-1	3,671875E+2	-1,140634E+0
3,687500E+2	6,638630E-1	3,687500E+2	-1,125408E+0
3,703125E+2	6,662949E-1	3,703125E+2	-1,110003E+0
3,718750E+2	6,705182E-1	3,718750E+2	-1,096570E+0
3,734375E+2	6,745008E-1	3,734375E+2	-1,082940E+0
3,750000E+2	6,795826E-1	3,750000E+2	-1,070262E+0
3,765625E+2	6,844468E-1	3,765625E+2	-1,057329E+0
3,781250E+2	6,903622E-1	3,781250E+2	-1,043572E+0
3,796875E+2	6,960595E-1	3,796875E+2	-1,029626E+0
3,812500E+2	7,031077E-1	3,812500E+2	-1,016437E+0
3,828125E+2	7,099445E-1	3,828125E+2	-1,003087E+0
3,843750E+2	7,178789E-1	3,843750E+2	-9,910864E-1
3,859375E+2	7,256232E-1	3,859375E+2	-9,789082E-1
3,875000E+2	7,343991E-1	3,875000E+2	-9,674951E-1
3,890625E+2	7,430056E-1	3,890625E+2	-9,558568E-1
3,906250E+2	7,528406E-1	3,906250E+2	-9,437893E-1
3,921875E+2	7,624715E-1	3,921875E+2	-9,315478E-1
3,937500E+2	7,729019E-1	3,937500E+2	-9,204381E-1
3,953125E+2	7,831455E-1	3,953125E+2	-9,091501E-1
3,968750E+2	7,942442E-1	3,968750E+2	-8,988863E-1
3,984375E+2	8,051789E-1	3,984375E+2	-8,884038E-1
4,000000E+2	8,171290E-1	4,000000E+2	-8,780953E-1
4,015625E+2	8,288830E-1	4,015625E+2	-8,676104E-1
4,031250E+2	8,410967E-1	4,031250E+2	-8,587265E-1
4,046875E+2	8,531497E-1	4,046875E+2	-8,496352E-1
4,062500E+2	8,657507E-1	4,062500E+2	-8,413820E-1
4,078125E+2	8,782135E-1	4,078125E+2	-8,328985E-1
4,093750E+2	8,914770E-1	4,093750E+2	-8,248681E-1
4,109375E+2	9,045763E-1	4,109375E+2	-8,166143E-1
4,125000E+2	9,177945E-1	4,125000E+2	-8,094582E-1
4,140625E+2	9,308796E-1	4,140625E+2	-8,020682E-1
4,156250E+2	9,443199E-1	4,156250E+2	-7,954677E-1
4,171875E+2	9,576251E-1	4,171875E+2	-7,886231E-1
4,187500E+2	9,708709E-1	4,187500E+2	-7,824974E-1
4,203125E+2	9,840060E-1	4,203125E+2	-7,761256E-1
4,218750E+2	9,973905E-1	4,218750E+2	-7,703207E-1
4,234375E+2	1,010669E+0	4,234375E+2	-7,642593E-1
4,250000E+2	1,024079E+0	4,250000E+2	-7,586750E-1
4,265625E+2	1,037376E+0	4,265625E+2	-7,528330E-1
4,281250E+2	1,050417E+0	4,281250E+2	-7,475181E-1
4,296875E+2	1,063383E+0	4,296875E+2	-7,419268E-1
4,312500E+2	1,076811E+0	4,312500E+2	-7,361901E-1
4,328125E+2	1,090128E+0	4,328125E+2	-7,301831E-1
4,343750E+2	1,103317E+0	4,343750E+2	-7,246219E-1
4,359375E+2	1,116465E+0	4,359375E+2	-7,187497E-1
4,375000E+2	1,130945E+0	4,375000E+2	-7,122213E-1
4,390625E+2	1,145303E+0	4,390625E+2	-7,053826E-1
4,406250E+2	1,159750E+0	4,406250E+2	-6,992769E-1
4,421875E+2	1,174167E+0	4,421875E+2	-6,928242E-1
4,437500E+2	1,190412E+0	4,437500E+2	-6,862494E-1
4,453125E+2	1,206610E+0	4,453125E+2	-6,792723E-1
4,468750E+2	1,224334E+0	4,468750E+2	-6,727640E-1
4,484375E+2	1,242023E+0	4,484375E+2	-6,658028E-1
4,500000E+2	1,261055E+0	4,500000E+2	-6,597616E-1
4,515625E+2	1,280135E+0	4,515625E+2	-6,532066E-1
4,531250E+2	1,301633E+0	4,531250E+2	-6,476179E-1
4,546875E+2	1,323253E+0	4,546875E+2	-6,414248E-1
4,562500E+2	1,347674E+0	4,562500E+2	-6,368881E-1
4,578125E+2	1,372257E+0	4,578125E+2	-6,316238E-1
4,593750E+2	1,397936E+0	4,593750E+2	-6,285945E-1
4,609375E+2	1,424044E+0	4,609375E+2	-6,248353E-1
4,625000E+2	1,454734E+0	4,625000E+2	-6,242928E-1
4,640625E+2	1,485960E+0	4,640625E+2	-6,228084E-1
4,656250E+2	1,517194E+0	4,656250E+2	-6,250246E-1
4,671875E+2	1,549376E+0	4,671875E+2	-6,264766E-1
4,687500E+2	1,586441E+0	4,687500E+2	-6,343132E-1
4,703125E+2	1,624850E+0	4,703125E+2	-6,412931E-1
4,718750E+2	1,663686E+0	4,718750E+2	-6,547978E-1
4,734375E+2	1,704420E+0	4,734375E+2	-6,678455E-1
4,750000E+2	1,747530E+0	4,750000E+2	-6,912478E-1
4,765625E+2	1,793118E+0	4,765625E+2	-7,147099E-1
4,781250E+2	1,835887E+0	4,781250E+2	-7,496392E-1
4,796875E+2	1,881485E+0	4,796875E+2	-7,857249E-1
4,812500E+2	1,920917E+0	4,812500E+2	-8,341739E-1
4,828125E+2	1,962895E+0	4,828125E+2	-8,848606E-1
4,843750E+2	1,992358E+0	4,843750E+2	-9,393166E-1
4,859375E+2	2,023390E+0	4,859375E+2	-9,965355E-1
4,875000E+2	2,042808E+0	4,875000E+2	-1,053410E+0
4,890625E+2	2,062819E+0	4,890625E+2	-1,113297E+0
4,906250E+2	2,071917E+0	4,906250E+2	-1,175533E+0
4,921875E+2	2,080645E+0	4,921875E+2	-1,240690E+0
4,937500E+2	2,079660E+0	4,937500E+2	-1,301581E+0
4,953125E+2	2,077657E+0	4,953125E+2	-1,364826E+0
4,968750E+2	2,067996E+0	4,968750E+2	-1,421543E+0
4,984375E+2	2,056878E+0	4,984375E+2	-1,480141E+0
5,000000E+2	2,037260E+0	5,000000E+2	-1,535434E+0
5,015625E+2	2,015897E+0	5,015625E+2	-1,591914E+0
5,031250E+2	1,990509E+0	5,031250E+2	-1,641426E+0
5,046875E+2	1,963424E+0	5,046875E+2	-1,691534E+0
5,062500E+2	1,932973E+0	5,062500E+2	-1,733193E+0
5,078125E+2	1,900894E+0	5,078125E+2	-1,775176E+0
5,093750E+2	1,862920E+0	5,093750E+2	-1,814937E+0
5,109375E+2	1,823541E+0	5,109375E+2	-1,854252E+0
5,125000E+2	1,785839E+0	5,125000E+2	-1,883278E+0
5,140625E+2	1,747125E+0	5,140625E+2	-1,911813E+0
5,156250E+2	1,708058E+0	5,156250E+2	-1,933976E+0
5,171875E+2	1,668243E+0	5,171875E+2	-1,955657E+0
5,187500E+2	1,627147E+0	5,187500E+2	-1,975623E+0
5,203125E+2	1,585527E+0	5,203125E+2	-1,994842E+0
5,218750E+2	1,545385E+0	5,218750E+2	-2,007889E+0
5,234375E+2	1,505013E+0	5,234375E+2	-2,020310E+0
5,250000E+2	1,465851E+0	5,250000E+2	-2,029426E+0
5,265625E+2	1,426740E+0	5,265625E+2	-2,037988E+0
5,281250E+2	1,391593E+0	5,281250E+2	-2,043972E+0
5,296875E+2	1,356400E+0	5,296875E+2	-2,049523E+0
5,312500E+2	1,320583E+0	5,312500E+2	-2,051281E+0
5,328125E+2	1,285169E+0	5,328125E+2	-2,052742E+0
5,343750E+2	1,256165E+0	5,343750E+2	-2,053826E+0
5,359375E+2	1,227784E+0	5,359375E+2	-2,054943E+0
5,375000E+2	1,212272E+0	5,375000E+2	-2,058401E+0
5,390625E+2	1,192895E+0	5,390625E+2	-2,060121E+0
5,406250E+2	1,085385E+0	5,406250E+2	-2,013715E+0
5,421875E+2	9,891320E-1	5,421875E+2	-1,967350E+0
5,437500E+2	9,867155E-1	5,437500E+2	-1,973648E+0
5,453125E+2	9,844472E-1	5,453125E+2	-1,980372E+0
5,468750E+2	9,865035E-1	5,468750E+2	-1,990309E+0
5,484375E+2	9,878872E-1	5,484375E+2	-2,000123E+0
5,500000E+2	9,732812E-1	5,500000E+2	-1,998803E+0
5,515625E+2	9,572244E-1	5,515625E+2	-1,996231E+0
5,531250E+2	9,085321E-1	5,531250E+2	-1,959825E+0
5,546875E+2	8,632528E-1	5,546875E+2	-1,925054E+0
5,562500E+2	8,468009E-1	5,562500E+2	-1,916685E+0
5,578125E+2	8,306728E-1	5,578125E+2	-1,908652E+0
5,593750E+2	8,202142E-1	5,593750E+2	-1,904395E+0
5,609375E+2	8,099276E-1	5,609375E+2	-1,900517E+0
5,625000E+2	8,047595E-1	5,625000E+2	-1,902027E+0
5,640625E+2	7,995567E-1	5,640625E+2	-1,903719E+0
5,656250E+2	7,958238E-1	5,656250E+2	-1,906803E+0
5,671875E+2	7,918689E-1	5,671875E+2	-1,909835E+0
5,687500E+2	7,846361E-1	5,687500E+2	-1,909182E+0
5,703125E+2	7,770928E-1	5,703125E+2	-1,908208E+0
5,718750E+2	7,628863E-1	5,718750E+2	-1,897555E+0
5,734375E+2	7,465988E-1	5,734375E+2	-1,883989E+0
5,750000E+2	6,799877E-1	5,750000E+2	-1,799231E+0
5,765625E+2	6,230885E-1	5,765625E+2	-1,723165E+0
5,781250E+2	6,288963E-1	5,781250E+2	-1,736015E+0
5,796875E+2	6,323750E-1	5,796875E+2	-1,744910E+0
5,812500E+2	5,798654E-1	5,812500E+2	-1,658278E+0
5,828125E+2	5,352286E-1	5,828125E+2	-1,581614E+0
5,843750E+2	5,401866E-1	5,843750E+2	-1,592979E+0
5,859375E+2	5,451790E-1	5,859375E+2	-1,604353E+0
5,875000E+2	5,481988E-1	5,875000E+2	-1,611872E+0
5,890625E+2	5,512037E-1	5,890625E+2	-1,619402E+0
5,906250E+2	5,524547E-1	5,906250E+2	-1,623746E+0
5,921875E+2	5,536787E-1	5,921875E+2	-1,628120E+0
5,937500E+2	5,536668E-1	5,937500E+2	-1,629889E+0
5,953125E+2	5,530161E-1	5,953125E+2	-1,630453E+0
5,968750E+2	5,371834E-1	5,968750E+2	-1,599278E+0
5,984375E+2	5,224071E-1	5,984375E+2	-1,570118E+0
6,000000E+2	5,168895E-1	6,000000E+2	-1,558908E+0
6,015625E+2	5,115136E-1	6,015625E+2	-1,548127E+0
6,031250E+2	5,073940E-1	6,031250E+2	-1,539076E+0
6,046875E+2	5,032064E-1	6,046875E+2	-1,529950E+0
6,062500E+2	4,960100E-1	6,062500E+2	-1,512095E+0
6,078125E+2	4,888183E-1	6,078125E+2	-1,494400E+0
6,093750E+2	4,775278E-1	6,093750E+2	-1,466099E+0
6,109375E+2	4,670684E-1	6,109375E+2	-1,439894E+0
6,125000E+2	4,655605E-1	6,125000E+2	-1,434242E+0
6,140625E+2	4,639976E-1	6,140625E+2	-1,428508E+0
6,156250E+2	4,602668E-1	6,156250E+2	-1,415560E+0
6,171875E+2	4,566583E-1	6,171875E+2	-1,403091E+0
6,187500E+2	4,539783E-1	6,187500E+2	-1,390951E+0
6,203125E+2	4,513985E-1	6,203125E+2	-1,379379E+0
6,218750E+2	4,498518E-1	6,218750E+2	-1,370768E+0
6,234375E+2	4,483243E-1	6,234375E+2	-1,362303E+0
6,250000E+2	4,462626E-1	6,250000E+2	-1,349419E+0
6,265625E+2	4,442866E-1	6,265625E+2	-1,337113E+0
6,281250E+2	4,435833E-1	6,281250E+2	-1,326580E+0
6,296875E+2	4,428889E-1	6,296875E+2	-1,316452E+0
6,312500E+2	4,422060E-1	6,312500E+2	-1,306249E+0
6,328125E+2	4,415305E-1	6,328125E+2	-1,296464E+0
6,343750E+2	4,409576E-1	6,343750E+2	-1,286631E+0
6,359375E+2	4,404162E-1	6,359375E+2	-1,277220E+0
6,375000E+2	4,405702E-1	6,375000E+2	-1,267854E+0
6,390625E+2	4,407059E-1	6,390625E+2	-1,258868E+0
6,406250E+2	4,408871E-1	6,406250E+2	-1,249231E+0
6,421875E+2	4,410642E-1	6,421875E+2	-1,240032E+0
6,437500E+2	4,418677E-1	6,437500E+2	-1,231060E+0
6,453125E+2	4,426346E-1	6,453125E+2	-1,222481E+0
6,468750E+2	4,436558E-1	6,468750E+2	-1,213590E+0
6,484375E+2	4,446367E-1	6,484375E+2	-1,205131E+0
6,500000E+2	4,460982E-1	6,500000E+2	-1,197219E+0
6,515625E+2	4,474963E-1	6,515625E+2	-1,189650E+0
6,531250E+2	4,489481E-1	6,531250E+2	-1,181319E+0
6,546875E+2	4,503514E-1	6,546875E+2	-1,173421E+0
6,562500E+2	4,524731E-1	6,562500E+2	-1,166353E+0
