Sample 1_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	
3,000000E+2	1,005259E+2
3,015625E+2	1,005179E+2
3,031250E+2	1,005098E+2
3,046875E+2	1,004159E+2
3,062500E+2	1,003210E+2
3,078125E+2	1,002129E+2
3,093750E+2	1,001034E+2
3,109375E+2	1,000900E+2
3,125000E+2	1,000765E+2
3,140625E+2	1,000591E+2
3,156250E+2	1,000417E+2
3,171875E+2	1,000246E+2
3,187500E+2	1,000075E+2
3,203125E+2	9,999244E+1
3,218750E+2	9,997732E+1
3,234375E+2	9,997838E+1
3,250000E+2	9,997945E+1
3,265625E+2	9,996451E+1
3,281250E+2	9,994956E+1
3,296875E+2	9,995165E+1
3,312500E+2	9,995375E+1
3,328125E+2	9,997462E+1
3,343750E+2	9,999545E+1
3,359375E+2	1,000194E+2
3,375000E+2	1,000433E+2
3,390625E+2	1,000429E+2
3,406250E+2	1,000426E+2
3,421875E+2	1,000086E+2
3,437500E+2	9,997441E+1
3,453125E+2	9,989730E+1
3,468750E+2	9,981949E+1
3,484375E+2	9,970162E+1
3,500000E+2	9,958212E+1
3,515625E+2	9,941180E+1
3,531250E+2	9,923808E+1
3,546875E+2	9,904678E+1
3,562500E+2	9,885117E+1
3,578125E+2	9,866616E+1
3,593750E+2	9,847713E+1
3,609375E+2	9,831535E+1
3,625000E+2	9,815051E+1
3,640625E+2	9,873152E+1
3,656250E+2	9,927609E+1
3,671875E+2	9,944420E+1
3,687500E+2	9,960911E+1
3,703125E+2	9,971963E+1
3,718750E+2	9,982876E+1
3,734375E+2	9,988762E+1
3,750000E+2	9,994608E+1
3,765625E+2	9,995608E+1
3,781250E+2	9,996608E+1
3,796875E+2	9,993869E+1
3,812500E+2	9,991121E+1
3,828125E+2	9,987551E+1
3,843750E+2	9,983965E+1
3,859375E+2	9,987922E+1
3,875000E+2	9,991860E+1
3,890625E+2	1,000016E+2
3,906250E+2	1,000838E+2
3,921875E+2	1,001008E+2
3,937500E+2	1,001177E+2
3,953125E+2	1,000863E+2
3,968750E+2	1,000548E+2
3,984375E+2	1,000175E+2
4,000000E+2	9,998008E+1
4,015625E+2	1,000067E+2
4,031250E+2	1,000332E+2
4,046875E+2	1,000699E+2
4,062500E+2	1,001065E+2
4,078125E+2	1,000932E+2
