Sample 1 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 1 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 2 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 2 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 3 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 3 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 4 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 4 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 5 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 5 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 6 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 6 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 8 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 8 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 9 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 9 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 10 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 10 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 11 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 11 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 12 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 12 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 13 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 13 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	
3,156250E+2	1,080495E-1	3,156250E+2	-2,784591E-1	3,156250E+2	1,991876E-1	3,156250E+2	-3,690157E-1	3,156250E+2	3,726285E-1	3,156250E+2	-4,264944E-1	3,156250E+2	5,541181E-1	3,156250E+2	-4,347768E-1	3,156250E+2	6,554978E-1	3,156250E+2	-3,978038E-1	3,156250E+2	6,903892E-1	3,156250E+2	-3,769069E-1	3,156250E+2	9,923773E-2	3,156250E+2	-2,505967E-1	3,156250E+2	1,343836E-1	3,156250E+2	-3,001951E-1	3,156250E+2	2,423768E-1	3,156250E+2	-3,860219E-1	3,156250E+2	3,915563E-1	3,156250E+2	-4,486373E-1	3,156250E+2	5,191788E-1	3,156250E+2	-4,689956E-1	3,156250E+2	5,711063E-1	3,156250E+2	-4,604391E-1
3,171875E+2	1,101512E-1	3,171875E+2	-2,700619E-1	3,171875E+2	1,879933E-1	3,171875E+2	-3,512992E-1	3,171875E+2	3,674667E-1	3,171875E+2	-4,223433E-1	3,171875E+2	5,483702E-1	3,171875E+2	-4,355766E-1	3,171875E+2	6,538351E-1	3,171875E+2	-3,970354E-1	3,171875E+2	6,899176E-1	3,171875E+2	-3,747510E-1	3,171875E+2	1,018474E-1	3,171875E+2	-2,441514E-1	3,171875E+2	1,370785E-1	3,171875E+2	-2,945236E-1	3,171875E+2	2,449152E-1	3,171875E+2	-3,814040E-1	3,171875E+2	3,914624E-1	3,171875E+2	-4,454613E-1	3,171875E+2	5,147599E-1	3,171875E+2	-4,697030E-1	3,171875E+2	5,665946E-1	3,171875E+2	-4,621373E-1
3,187500E+2	1,120812E-1	3,187500E+2	-2,617844E-1	3,187500E+2	1,770616E-1	3,187500E+2	-3,338646E-1	3,187500E+2	3,622544E-1	3,187500E+2	-4,182944E-1	3,187500E+2	5,424914E-1	3,187500E+2	-4,365652E-1	3,187500E+2	6,521205E-1	3,187500E+2	-3,964416E-1	3,187500E+2	6,894086E-1	3,187500E+2	-3,727372E-1	3,187500E+2	1,043076E-1	3,187500E+2	-2,377697E-1	3,187500E+2	1,396652E-1	3,187500E+2	-2,888938E-1	3,187500E+2	2,474082E-1	3,187500E+2	-3,768076E-1	3,187500E+2	3,913565E-1	3,187500E+2	-4,423547E-1	3,187500E+2	5,102555E-1	3,187500E+2	-4,705825E-1	3,187500E+2	5,619733E-1	3,187500E+2	-4,640461E-1
3,203125E+2	1,146980E-1	3,203125E+2	-2,527066E-1	3,203125E+2	1,766070E-1	3,203125E+2	-3,247155E-1	3,203125E+2	3,578770E-1	3,203125E+2	-4,138190E-1	3,203125E+2	5,362039E-1	3,203125E+2	-4,376449E-1	3,203125E+2	6,497670E-1	3,203125E+2	-3,966781E-1	3,203125E+2	6,883283E-1	3,203125E+2	-3,716049E-1	3,203125E+2	1,070758E-1	3,203125E+2	-2,297403E-1	3,203125E+2	1,420525E-1	3,203125E+2	-2,819962E-1	3,203125E+2	2,492399E-1	3,203125E+2	-3,716068E-1	3,203125E+2	3,916874E-1	3,203125E+2	-4,390955E-1	3,203125E+2	5,076533E-1	3,203125E+2	-4,702475E-1	3,203125E+2	5,578350E-1	3,203125E+2	-4,655445E-1
3,218750E+2	1,171047E-1	3,218750E+2	-2,437552E-1	3,218750E+2	1,760476E-1	3,218750E+2	-3,157233E-1	3,218750E+2	3,534629E-1	3,218750E+2	-4,094461E-1	3,218750E+2	5,297867E-1	3,218750E+2	-4,389052E-1	3,218750E+2	6,473553E-1	3,218750E+2	-3,971100E-1	3,218750E+2	6,872105E-1	3,218750E+2	-3,706386E-1	3,218750E+2	1,096431E-1	3,218750E+2	-2,218062E-1	3,218750E+2	1,443027E-1	3,218750E+2	-2,751684E-1	3,218750E+2	2,510177E-1	3,218750E+2	-3,664473E-1	3,218750E+2	3,920117E-1	3,218750E+2	-4,358975E-1	3,218750E+2	5,050159E-1	3,218750E+2	-4,700481E-1	3,218750E+2	5,536118E-1	3,218750E+2	-4,672342E-1
3,234375E+2	1,193446E-1	3,234375E+2	-2,271523E-1	3,234375E+2	1,755989E-1	3,234375E+2	-3,034818E-1	3,234375E+2	3,495512E-1	3,234375E+2	-4,044349E-1	3,234375E+2	5,240775E-1	3,234375E+2	-4,391941E-1	3,234375E+2	6,438293E-1	3,234375E+2	-3,985839E-1	3,234375E+2	6,855805E-1	3,234375E+2	-3,699326E-1	3,234375E+2	1,143139E-1	3,234375E+2	-2,094214E-1	3,234375E+2	1,462914E-1	3,234375E+2	-2,631054E-1	3,234375E+2	2,501704E-1	3,234375E+2	-3,590426E-1	3,234375E+2	3,914346E-1	3,234375E+2	-4,324882E-1	3,234375E+2	5,038100E-1	3,234375E+2	-4,686191E-1	3,234375E+2	5,512055E-1	3,234375E+2	-4,671813E-1
3,250000E+2	1,212267E-1	3,250000E+2	-2,109862E-1	3,250000E+2	1,749999E-1	3,250000E+2	-2,914842E-1	3,250000E+2	3,456094E-1	3,250000E+2	-3,995248E-1	3,250000E+2	5,182723E-1	3,250000E+2	-4,396343E-1	3,250000E+2	6,402197E-1	3,250000E+2	-4,002769E-1	3,250000E+2	6,839060E-1	3,250000E+2	-3,693966E-1	3,250000E+2	1,185872E-1	3,250000E+2	-1,972282E-1	3,250000E+2	1,480317E-1	3,250000E+2	-2,512625E-1	3,250000E+2	2,492561E-1	3,250000E+2	-3,517485E-1	3,250000E+2	3,908463E-1	3,250000E+2	-4,291498E-1	3,250000E+2	5,025922E-1	3,250000E+2	-4,672893E-1	3,250000E+2	5,487631E-1	3,250000E+2	-4,672663E-1
3,265625E+2	1,268281E-1	3,265625E+2	-1,944568E-1	3,265625E+2	1,752473E-1	3,265625E+2	-2,760808E-1	3,265625E+2	3,382619E-1	3,265625E+2	-3,943074E-1	3,265625E+2	5,138738E-1	3,265625E+2	-4,389050E-1	3,265625E+2	6,358781E-1	3,265625E+2	-4,024183E-1	3,265625E+2	6,813289E-1	3,265625E+2	-3,699472E-1	3,265625E+2	1,280907E-1	3,265625E+2	-1,784664E-1	3,265625E+2	1,532726E-1	3,265625E+2	-2,326821E-1	3,265625E+2	2,425568E-1	3,265625E+2	-3,393570E-1	3,265625E+2	3,853529E-1	3,265625E+2	-4,268755E-1	3,265625E+2	5,010516E-1	3,265625E+2	-4,660550E-1	3,265625E+2	5,474906E-1	3,265625E+2	-4,662122E-1
3,281250E+2	1,318492E-1	3,281250E+2	-1,782882E-1	3,281250E+2	1,752624E-1	3,281250E+2	-2,610401E-1	3,281250E+2	3,308939E-1	3,281250E+2	-3,891906E-1	3,281250E+2	5,094198E-1	3,281250E+2	-4,383016E-1	3,281250E+2	6,314367E-1	3,281250E+2	-4,047813E-1	3,281250E+2	6,786926E-1	3,281250E+2	-3,706946E-1	3,281250E+2	1,366763E-1	3,281250E+2	-1,600774E-1	3,281250E+2	1,579359E-1	3,281250E+2	-2,145595E-1	3,281250E+2	2,358837E-1	3,281250E+2	-3,272005E-1	3,281250E+2	3,798264E-1	3,281250E+2	-4,247080E-1	3,281250E+2	4,995006E-1	3,281250E+2	-4,649202E-1	3,281250E+2	5,462038E-1	3,281250E+2	-4,652629E-1
3,296875E+2	1,375581E-1	3,296875E+2	-1,694179E-1	3,296875E+2	1,779195E-1	3,296875E+2	-2,516785E-1	3,296875E+2	3,225651E-1	3,296875E+2	-3,834324E-1	3,296875E+2	5,058542E-1	3,296875E+2	-4,369638E-1	3,296875E+2	6,265322E-1	3,296875E+2	-4,075702E-1	3,296875E+2	6,751442E-1	3,296875E+2	-3,726147E-1	3,296875E+2	1,455911E-1	3,296875E+2	-1,452443E-1	3,296875E+2	1,630302E-1	3,296875E+2	-2,051642E-1	3,296875E+2	2,375031E-1	3,296875E+2	-3,215100E-1	3,296875E+2	3,714549E-1	3,296875E+2	-4,238422E-1	3,296875E+2	4,959226E-1	3,296875E+2	-4,650107E-1	3,296875E+2	5,440228E-1	3,296875E+2	-4,651080E-1
3,312500E+2	1,429150E-1	3,312500E+2	-1,605410E-1	3,312500E+2	1,803591E-1	3,312500E+2	-2,424223E-1	3,312500E+2	3,142358E-1	3,312500E+2	-3,777761E-1	3,312500E+2	5,022560E-1	3,312500E+2	-4,357356E-1	3,312500E+2	6,215212E-1	3,312500E+2	-4,105799E-1	3,312500E+2	6,715174E-1	3,312500E+2	-3,747570E-1	3,312500E+2	1,537346E-1	3,312500E+2	-1,305252E-1	3,312500E+2	1,678041E-1	3,312500E+2	-1,957977E-1	3,312500E+2	2,390512E-1	3,312500E+2	-3,158682E-1	3,312500E+2	3,630283E-1	3,312500E+2	-4,230802E-1	3,312500E+2	4,923157E-1	3,312500E+2	-4,652250E-1	3,312500E+2	5,418239E-1	3,312500E+2	-4,650723E-1
3,328125E+2	1,504708E-1	3,328125E+2	-1,490278E-1	3,328125E+2	1,838537E-1	3,328125E+2	-2,332614E-1	3,328125E+2	3,104274E-1	3,328125E+2	-3,722899E-1	3,328125E+2	4,977544E-1	3,328125E+2	-4,346077E-1	3,328125E+2	6,173720E-1	3,328125E+2	-4,123306E-1	3,328125E+2	6,673292E-1	3,328125E+2	-3,775416E-1	3,328125E+2	1,607016E-1	3,328125E+2	-1,216870E-1	3,328125E+2	1,727763E-1	3,328125E+2	-1,876343E-1	3,328125E+2	2,414144E-1	3,328125E+2	-3,107154E-1	3,328125E+2	3,623583E-1	3,328125E+2	-4,203836E-1	3,328125E+2	4,869831E-1	3,328125E+2	-4,662313E-1	3,328125E+2	5,378681E-1	3,328125E+2	-4,661768E-1
3,343750E+2	1,574751E-1	3,343750E+2	-1,375119E-1	3,343750E+2	1,871035E-1	3,343750E+2	-2,241711E-1	3,343750E+2	3,066059E-1	3,343750E+2	-3,669162E-1	3,343750E+2	4,932177E-1	3,343750E+2	-4,335864E-1	3,343750E+2	6,131530E-1	3,343750E+2	-4,142583E-1	3,343750E+2	6,630502E-1	3,343750E+2	-3,805534E-1	3,343750E+2	1,672481E-1	3,343750E+2	-1,127459E-1	3,343750E+2	1,774692E-1	3,343750E+2	-1,794550E-1	3,343750E+2	2,437110E-1	3,343750E+2	-3,055841E-1	3,343750E+2	3,616984E-1	3,343750E+2	-4,177565E-1	3,343750E+2	4,816006E-1	3,343750E+2	-4,673651E-1	3,343750E+2	5,338711E-1	3,343750E+2	-4,674169E-1
3,359375E+2	1,673373E-1	3,359375E+2	-1,238094E-1	3,359375E+2	1,916380E-1	3,359375E+2	-2,149225E-1	3,359375E+2	3,055124E-1	3,359375E+2	-3,620791E-1	3,359375E+2	4,819004E-1	3,359375E+2	-4,364017E-1	3,359375E+2	6,107100E-1	3,359375E+2	-4,141096E-1	3,359375E+2	6,596510E-1	3,359375E+2	-3,826955E-1	3,359375E+2	1,746634E-1	3,359375E+2	-1,045687E-1	3,359375E+2	1,832281E-1	3,359375E+2	-1,719577E-1	3,359375E+2	2,460617E-1	3,359375E+2	-3,004977E-1	3,359375E+2	3,616357E-1	3,359375E+2	-4,150387E-1	3,359375E+2	4,779254E-1	3,359375E+2	-4,677953E-1	3,359375E+2	5,294773E-1	3,359375E+2	-4,690649E-1
3,375000E+2	1,764016E-1	3,375000E+2	-1,100577E-1	3,375000E+2	1,958847E-1	3,375000E+2	-2,057032E-1	3,375000E+2	3,044001E-1	3,375000E+2	-3,573264E-1	3,375000E+2	4,704112E-1	3,375000E+2	-4,393090E-1	3,375000E+2	6,082442E-1	3,375000E+2	-4,140853E-1	3,375000E+2	6,561971E-1	3,375000E+2	-3,850320E-1	3,375000E+2	1,816715E-1	3,375000E+2	-9,621838E-2	3,375000E+2	1,887085E-1	3,375000E+2	-1,643805E-1	3,375000E+2	2,483470E-1	3,375000E+2	-2,954304E-1	3,375000E+2	3,615881E-1	3,375000E+2	-4,123804E-1	3,375000E+2	4,742400E-1	3,375000E+2	-4,683384E-1	3,375000E+2	5,250446E-1	3,375000E+2	-4,708489E-1
3,390625E+2	1,860264E-1	3,390625E+2	-9,968017E-2	3,390625E+2	2,008629E-1	3,390625E+2	-1,983083E-1	3,390625E+2	3,038661E-1	3,390625E+2	-3,524488E-1	3,390625E+2	4,640714E-1	3,390625E+2	-4,393988E-1	3,390625E+2	6,048876E-1	3,390625E+2	-4,149199E-1	3,390625E+2	6,541668E-1	3,390625E+2	-3,851613E-1	3,390625E+2	1,903986E-1	3,390625E+2	-8,810105E-2	3,390625E+2	1,953238E-1	3,390625E+2	-1,576918E-1	3,390625E+2	2,503543E-1	3,390625E+2	-2,899424E-1	3,390625E+2	3,609330E-1	3,390625E+2	-4,095587E-1	3,390625E+2	4,726719E-1	3,390625E+2	-4,673638E-1	3,390625E+2	5,221779E-1	3,390625E+2	-4,712056E-1
3,406250E+2	1,950419E-1	3,406250E+2	-8,906543E-2	3,406250E+2	2,056068E-1	3,406250E+2	-1,908659E-1	3,406250E+2	3,033106E-1	3,406250E+2	-3,476474E-1	3,406250E+2	4,576986E-1	3,406250E+2	-4,395921E-1	3,406250E+2	6,014999E-1	3,406250E+2	-4,158896E-1	3,406250E+2	6,521190E-1	3,406250E+2	-3,854230E-1	3,406250E+2	1,986804E-1	3,406250E+2	-7,970559E-2	3,406250E+2	2,016765E-1	3,406250E+2	-1,508482E-1	3,406250E+2	2,522878E-1	3,406250E+2	-2,844849E-1	3,406250E+2	3,602926E-1	3,406250E+2	-4,068032E-1	3,406250E+2	4,711206E-1	3,406250E+2	-4,664691E-1	3,406250E+2	5,193074E-1	3,406250E+2	-4,716666E-1
3,421875E+2	2,075518E-1	3,421875E+2	-8,005590E-2	3,421875E+2	2,110444E-1	3,421875E+2	-1,834090E-1	3,421875E+2	3,021469E-1	3,421875E+2	-3,427144E-1	3,421875E+2	4,557558E-1	3,421875E+2	-4,375294E-1	3,421875E+2	5,947375E-1	3,421875E+2	-4,201212E-1	3,421875E+2	6,500465E-1	3,421875E+2	-3,857585E-1	3,421875E+2	2,089134E-1	3,421875E+2	-7,268696E-2	3,421875E+2	2,082107E-1	3,421875E+2	-1,453138E-1	3,421875E+2	2,543950E-1	3,421875E+2	-2,792126E-1	3,421875E+2	3,591101E-1	3,421875E+2	-4,040868E-1	3,421875E+2	4,697466E-1	3,421875E+2	-4,653736E-1	3,421875E+2	5,174752E-1	3,421875E+2	-4,712194E-1
