Sample 1_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 2_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 3_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 4_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 5_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 6_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 8_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 9_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 10_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 11_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 12_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 13_Frequency [Hz]	Absorption Coefficient on Cavity	
3,218750E+2	9,268699E-1	3,218750E+2	8,693260E-1	3,218750E+2	7,074179E-1	3,218750E+2	5,266882E-1	3,218750E+2	4,232347E-1	3,218750E+2	3,903687E-1	3,218750E+2	9,387804E-1	3,218750E+2	9,034591E-1	3,218750E+2	8,027065E-1	3,218750E+2	6,563202E-1	3,218750E+2	5,240138E-1	3,218750E+2	4,752062E-1
3,234375E+2	9,341587E-1	3,234375E+2	8,770638E-1	3,234375E+2	7,142464E-1	3,234375E+2	5,324513E-1	3,234375E+2	4,266147E-1	3,234375E+2	3,931293E-1	3,234375E+2	9,430750E-1	3,234375E+2	9,093744E-1	3,234375E+2	8,085032E-1	3,234375E+2	6,597329E-1	3,234375E+2	5,265716E-1	3,234375E+2	4,779141E-1
3,250000E+2	9,407889E-1	3,250000E+2	8,844120E-1	3,250000E+2	7,209341E-1	3,250000E+2	5,381155E-1	3,250000E+2	4,298971E-1	3,250000E+2	3,958187E-1	3,250000E+2	9,470381E-1	3,250000E+2	9,149538E-1	3,250000E+2	8,141444E-1	3,250000E+2	6,630696E-1	3,250000E+2	5,290418E-1	3,250000E+2	4,805213E-1
3,265625E+2	9,461012E-1	3,265625E+2	8,930677E-1	3,265625E+2	7,301006E-1	3,265625E+2	5,432961E-1	3,265625E+2	4,337186E-1	3,265625E+2	3,989300E-1	3,265625E+2	9,517425E-1	3,265625E+2	9,223665E-1	3,265625E+2	8,260030E-1	3,265625E+2	6,692805E-1	3,265625E+2	5,317400E-1	3,265625E+2	4,829002E-1
3,281250E+2	9,508291E-1	3,281250E+2	9,011412E-1	3,281250E+2	7,390399E-1	3,281250E+2	5,483832E-1	3,281250E+2	4,374398E-1	3,281250E+2	4,019619E-1	3,281250E+2	9,556948E-1	3,281250E+2	9,290205E-1	3,281250E+2	8,372987E-1	3,281250E+2	6,753550E-1	3,281250E+2	5,343484E-1	3,281250E+2	4,851918E-1
3,296875E+2	9,523753E-1	3,296875E+2	9,050026E-1	3,296875E+2	7,489313E-1	3,296875E+2	5,531742E-1	3,296875E+2	4,413440E-1	3,296875E+2	4,053386E-1	3,296875E+2	9,577073E-1	3,296875E+2	9,313288E-1	3,296875E+2	8,402236E-1	3,296875E+2	6,823790E-1	3,296875E+2	5,378259E-1	3,296875E+2	4,877138E-1
3,312500E+2	9,538019E-1	3,312500E+2	9,087020E-1	3,312500E+2	7,585410E-1	3,312500E+2	5,578734E-1	3,312500E+2	4,451356E-1	3,312500E+2	4,086216E-1	3,312500E+2	9,593289E-1	3,312500E+2	9,335050E-1	3,312500E+2	8,430818E-1	3,312500E+2	6,892136E-1	3,312500E+2	5,411910E-1	3,312500E+2	4,901346E-1
3,328125E+2	9,551493E-1	3,328125E+2	9,117869E-1	3,328125E+2	7,650351E-1	3,328125E+2	5,633567E-1	3,328125E+2	4,488353E-1	3,328125E+2	4,121340E-1	3,328125E+2	9,593673E-1	3,328125E+2	9,349417E-1	3,328125E+2	8,451750E-1	3,328125E+2	6,919741E-1	3,328125E+2	5,454759E-1	3,328125E+2	4,933772E-1
3,343750E+2	9,562921E-1	3,343750E+2	9,147396E-1	3,343750E+2	7,713653E-1	3,343750E+2	5,687391E-1	3,343750E+2	4,524334E-1	3,343750E+2	4,155435E-1	3,343750E+2	9,593164E-1	3,343750E+2	9,363006E-1	3,343750E+2	8,472233E-1	3,343750E+2	6,946538E-1	3,343750E+2	5,496307E-1	3,343750E+2	4,965030E-1
3,359375E+2	9,566695E-1	3,359375E+2	9,170832E-1	3,359375E+2	7,755609E-1	3,359375E+2	5,773256E-1	3,359375E+2	4,555465E-1	3,359375E+2	4,184047E-1	3,359375E+2	9,585581E-1	3,359375E+2	9,368580E-1	3,359375E+2	8,491548E-1	3,359375E+2	6,969625E-1	3,359375E+2	5,527549E-1	3,359375E+2	4,996319E-1
