X,Y,R
-3.77,-10.64,0.600
-3.77,-8.27,0.600
-3.77,-5.91,0.600
-3.77,-3.55,0.600
-3.77,-1.18,0.600
-3.77,1.18,0.600
-3.77,3.55,0.600
-3.77,5.91,0.600
-3.77,8.27,0.600
-3.77,10.64,0.600
-1.26,-10.64,0.600
-1.26,-8.27,0.600
-1.26,-5.91,0.600
-1.26,-3.55,0.600
-1.26,-1.18,0.600
-1.26,1.18,0.600
-1.26,3.55,0.600
-1.26,5.91,0.600
-1.26,8.27,0.600
-1.26,10.64,0.600
1.26,-10.64,0.600
1.26,-8.27,0.600
1.26,-5.91,0.600
1.26,-3.55,0.600
1.26,-1.18,0.600
1.26,1.18,0.600
1.26,3.55,0.600
1.26,5.91,0.600
1.26,8.27,0.600
1.26,10.64,0.600
3.77,-10.64,0.600
3.77,-8.27,0.600
3.77,-5.91,0.600
3.77,-3.55,0.600
3.77,-1.18,0.600
3.77,1.18,0.600
3.77,3.55,0.600
3.77,5.91,0.600
3.77,8.27,0.600
3.77,10.64,0.600
