X,Y,R
-5.34,-10.11,0.550
-5.34,-7.22,0.550
-5.34,-4.33,0.550
-5.34,-1.44,0.550
-5.34,1.44,0.550
-5.34,4.33,0.550
-5.34,7.22,0.550
-5.34,10.11,0.550
-3.56,-10.11,0.550
-3.56,-7.22,0.550
-3.56,-4.33,0.550
-3.56,-1.44,0.550
-3.56,1.44,0.550
-3.56,4.33,0.550
-3.56,7.22,0.550
-3.56,10.11,0.550
-1.78,-10.11,0.550
-1.78,-7.22,0.550
-1.78,-4.33,0.550
-1.78,-1.44,0.550
-1.78,1.44,0.550
-1.78,4.33,0.550
-1.78,7.22,0.550
-1.78,10.11,0.550
0.00,-10.11,0.550
0.00,-7.22,0.550
0.00,-4.33,0.550
0.00,-1.44,0.550
0.00,1.44,0.550
0.00,4.33,0.550
0.00,7.22,0.550
0.00,10.11,0.550
1.78,-10.11,0.550
1.78,-7.22,0.550
1.78,-4.33,0.550
1.78,-1.44,0.550
1.78,1.44,0.550
1.78,4.33,0.550
1.78,7.22,0.550
1.78,10.11,0.550
3.56,-10.11,0.550
3.56,-7.22,0.550
3.56,-4.33,0.550
3.56,-1.44,0.550
3.56,1.44,0.550
3.56,4.33,0.550
3.56,7.22,0.550
3.56,10.11,0.550
5.34,-10.11,0.550
5.34,-7.22,0.550
5.34,-4.33,0.550
5.34,-1.44,0.550
5.34,1.44,0.550
5.34,4.33,0.550
5.34,7.22,0.550
5.34,10.11,0.550
