X,Y,R
-4.25,-10.64,0.530
-4.25,-8.27,0.530
-4.25,-5.91,0.530
-4.25,-3.55,0.530
-4.25,-1.18,0.530
-4.25,1.18,0.530
-4.25,3.55,0.530
-4.25,5.91,0.530
-4.25,8.27,0.530
-4.25,10.64,0.530
-2.55,-10.64,0.530
-2.55,-8.27,0.530
-2.55,-5.91,0.530
-2.55,-3.55,0.530
-2.55,-1.18,0.530
-2.55,1.18,0.530
-2.55,3.55,0.530
-2.55,5.91,0.530
-2.55,8.27,0.530
-2.55,10.64,0.530
-0.85,-10.64,0.530
-0.85,-8.27,0.530
-0.85,-5.91,0.530
-0.85,-3.55,0.530
-0.85,-1.18,0.530
-0.85,1.18,0.530
-0.85,3.55,0.530
-0.85,5.91,0.530
-0.85,8.27,0.530
-0.85,10.64,0.530
0.85,-10.64,0.530
0.85,-8.27,0.530
0.85,-5.91,0.530
0.85,-3.55,0.530
0.85,-1.18,0.530
0.85,1.18,0.530
0.85,3.55,0.530
0.85,5.91,0.530
0.85,8.27,0.530
0.85,10.64,0.530
2.55,-10.64,0.530
2.55,-8.27,0.530
2.55,-5.91,0.530
2.55,-3.55,0.530
2.55,-1.18,0.530
2.55,1.18,0.530
2.55,3.55,0.530
2.55,5.91,0.530
2.55,8.27,0.530
2.55,10.64,0.530
4.25,-10.64,0.530
4.25,-8.27,0.530
4.25,-5.91,0.530
4.25,-3.55,0.530
4.25,-1.18,0.530
4.25,1.18,0.530
4.25,3.55,0.530
4.25,5.91,0.530
4.25,8.27,0.530
4.25,10.64,0.530
