X,Y,R
-4.14,-10.64,0.600
-4.14,-8.27,0.600
-4.14,-5.91,0.600
-4.14,-3.55,0.600
-4.14,-1.18,0.600
-4.14,1.18,0.600
-4.14,3.55,0.600
-4.14,5.91,0.600
-4.14,8.27,0.600
-4.14,10.64,0.600
-2.07,-10.64,0.600
-2.07,-8.27,0.600
-2.07,-5.91,0.600
-2.07,-3.55,0.600
-2.07,-1.18,0.600
-2.07,1.18,0.600
-2.07,3.55,0.600
-2.07,5.91,0.600
-2.07,8.27,0.600
-2.07,10.64,0.600
0.00,-10.64,0.600
0.00,-8.27,0.600
0.00,-5.91,0.600
0.00,-3.55,0.600
0.00,-1.18,0.600
0.00,1.18,0.600
0.00,3.55,0.600
0.00,5.91,0.600
0.00,8.27,0.600
0.00,10.64,0.600
2.07,-10.64,0.600
2.07,-8.27,0.600
2.07,-5.91,0.600
2.07,-3.55,0.600
2.07,-1.18,0.600
2.07,1.18,0.600
2.07,3.55,0.600
2.07,5.91,0.600
2.07,8.27,0.600
2.07,10.64,0.600
4.14,-10.64,0.600
4.14,-8.27,0.600
4.14,-5.91,0.600
4.14,-3.55,0.600
4.14,-1.18,0.600
4.14,1.18,0.600
4.14,3.55,0.600
4.14,5.91,0.600
4.14,8.27,0.600
4.14,10.64,0.600
