X,Y,R
-5.76,-9.75,0.530
-5.76,-6.50,0.530
-5.76,-3.25,0.530
-5.76,0.00,0.530
-5.76,3.25,0.530
-5.76,6.50,0.530
-5.76,9.75,0.530
-3.84,-9.75,0.530
-3.84,-6.50,0.530
-3.84,-3.25,0.530
-3.84,0.00,0.530
-3.84,3.25,0.530
-3.84,6.50,0.530
-3.84,9.75,0.530
-1.92,-9.75,0.530
-1.92,-6.50,0.530
-1.92,-3.25,0.530
-1.92,0.00,0.530
-1.92,3.25,0.530
-1.92,6.50,0.530
-1.92,9.75,0.530
0.00,-9.75,0.530
0.00,-6.50,0.530
0.00,-3.25,0.530
0.00,0.00,0.530
0.00,3.25,0.530
0.00,6.50,0.530
0.00,9.75,0.530
1.92,-9.75,0.530
1.92,-6.50,0.530
1.92,-3.25,0.530
1.92,0.00,0.530
1.92,3.25,0.530
1.92,6.50,0.530
1.92,9.75,0.530
3.84,-9.75,0.530
3.84,-6.50,0.530
3.84,-3.25,0.530
3.84,0.00,0.530
3.84,3.25,0.530
3.84,6.50,0.530
3.84,9.75,0.530
5.76,-9.75,0.530
5.76,-6.50,0.530
5.76,-3.25,0.530
5.76,0.00,0.530
5.76,3.25,0.530
5.76,6.50,0.530
5.76,9.75,0.530
