Sample 1_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 2_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 3_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 4_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 5_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 6_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 7_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	
3,406250E+2	5,884315E+1	3,406250E+2	6,886671E+1	3,406250E+2	7,928109E+1	3,406250E+2	8,864189E+1	3,406250E+2	9,911281E+1	3,406250E+2	1,022304E+2	3,406250E+2	1,070075E+2
3,421875E+2	6,123189E+1	3,421875E+2	6,895846E+1	3,421875E+2	7,973095E+1	3,421875E+2	8,841743E+1	3,421875E+2	9,955069E+1	3,421875E+2	1,023522E+2	3,421875E+2	1,067506E+2
3,437500E+2	6,071021E+1	3,437500E+2	6,959876E+1	3,437500E+2	7,996105E+1	3,437500E+2	8,927702E+1	3,437500E+2	9,904680E+1	3,437500E+2	1,026698E+2	3,437500E+2	1,061777E+2
3,453125E+2	6,013124E+1	3,453125E+2	7,094090E+1	3,453125E+2	8,029015E+1	3,453125E+2	8,910108E+1	3,453125E+2	9,906724E+1	3,453125E+2	1,038847E+2	3,453125E+2	1,058539E+2
3,468750E+2	5,992265E+1	3,468750E+2	7,045258E+1	3,468750E+2	7,970355E+1	3,468750E+2	8,889792E+1	3,468750E+2	9,957162E+1	3,468750E+2	1,038446E+2	3,468750E+2	1,077989E+2
3,484375E+2	6,025477E+1	3,484375E+2	6,935221E+1	3,484375E+2	8,034940E+1	3,484375E+2	8,883884E+1	3,484375E+2	9,977143E+1	3,484375E+2	1,033058E+2	3,484375E+2	1,074026E+2
3,500000E+2	6,004557E+1	3,500000E+2	7,001808E+1	3,500000E+2	8,046221E+1	3,500000E+2	8,907184E+1	3,500000E+2	9,981527E+1	3,500000E+2	1,029738E+2	3,500000E+2	1,069216E+2
3,515625E+2	5,977781E+1	3,515625E+2	7,061268E+1	3,515625E+2	8,027042E+1	3,515625E+2	9,048405E+1	3,515625E+2	9,838744E+1	3,515625E+2	1,034739E+2	3,515625E+2	1,068104E+2
3,531250E+2	6,095097E+1	3,531250E+2	7,026638E+1	3,531250E+2	7,967549E+1	3,531250E+2	8,894879E+1	3,531250E+2	9,865336E+1	3,531250E+2	1,027174E+2	3,531250E+2	1,073544E+2
3,546875E+2	6,063709E+1	3,546875E+2	7,029274E+1	3,546875E+2	7,933675E+1	3,546875E+2	8,944441E+1	3,546875E+2	9,941815E+1	3,546875E+2	1,039986E+2	3,546875E+2	1,069670E+2
3,562500E+2	6,049287E+1	3,562500E+2	7,066735E+1	3,562500E+2	8,017175E+1	3,562500E+2	8,985617E+1	3,562500E+2	9,887661E+1	3,562500E+2	1,041823E+2	3,562500E+2	1,054896E+2
3,578125E+2	6,120062E+1	3,578125E+2	6,982236E+1	3,578125E+2	8,072047E+1	3,578125E+2	9,047805E+1	3,578125E+2	9,959179E+1	3,578125E+2	1,040813E+2	3,578125E+2	1,058170E+2
