Sample 1 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 1 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 2 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 2 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 3 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 3 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 4 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 4 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 5 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 5 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 6 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 6 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 7 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 7 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 8 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 8 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 9 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 9 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 10 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 10 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 11 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 11 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 12 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 12 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	
3,156250E+2	3,332506E-1	3,156250E+2	-1,392163E+0	3,156250E+2	3,386099E-1	3,156250E+2	-1,412586E+0	3,156250E+2	3,947994E-1	3,156250E+2	-1,397729E+0	3,156250E+2	6,917695E-1	3,156250E+2	-1,626241E+0	3,156250E+2	1,274600E+0	3,156250E+2	-2,188517E+0	3,156250E+2	1,449666E+0	3,156250E+2	-2,539179E+0	3,156250E+2	3,185169E-1	3,156250E+2	-1,083953E+0	3,156250E+2	3,125878E-1	3,156250E+2	-1,083050E+0	3,156250E+2	3,353387E-1	3,156250E+2	-1,110684E+0	3,156250E+2	4,395810E-1	3,156250E+2	-1,242872E+0	3,156250E+2	7,409606E-1	3,156250E+2	-1,537011E+0	3,156250E+2	9,353983E-1	3,156250E+2	-1,750865E+0
3,171875E+2	3,204287E-1	3,171875E+2	-1,258720E+0	3,171875E+2	3,342519E-1	3,171875E+2	-1,276828E+0	3,171875E+2	3,969218E-1	3,171875E+2	-1,382952E+0	3,171875E+2	6,735728E-1	3,171875E+2	-1,575013E+0	3,171875E+2	1,265962E+0	3,171875E+2	-2,160705E+0	3,171875E+2	1,454427E+0	3,171875E+2	-2,524453E+0	3,171875E+2	3,216315E-1	3,171875E+2	-1,088289E+0	3,171875E+2	3,163534E-1	3,171875E+2	-1,087558E+0	3,171875E+2	3,396791E-1	3,171875E+2	-1,114945E+0	3,171875E+2	4,459022E-1	3,171875E+2	-1,243018E+0	3,171875E+2	7,478186E-1	3,171875E+2	-1,529245E+0	3,171875E+2	9,370279E-1	3,171875E+2	-1,736107E+0
3,187500E+2	3,075327E-1	3,187500E+2	-1,134847E+0	3,187500E+2	3,285193E-1	3,187500E+2	-1,150768E+0	3,187500E+2	3,987953E-1	3,187500E+2	-1,368200E+0	3,187500E+2	6,551487E-1	3,187500E+2	-1,524769E+0	3,187500E+2	1,256194E+0	3,187500E+2	-2,132852E+0	3,187500E+2	1,458031E+0	3,187500E+2	-2,509374E+0	3,187500E+2	3,247403E-1	3,187500E+2	-1,092734E+0	3,187500E+2	3,201223E-1	3,187500E+2	-1,092171E+0	3,187500E+2	3,440241E-1	3,187500E+2	-1,119302E+0	3,187500E+2	4,521756E-1	3,187500E+2	-1,243183E+0	3,187500E+2	7,543976E-1	3,187500E+2	-1,521392E+0	3,187500E+2	9,381039E-1	3,187500E+2	-1,721290E+0
3,203125E+2	3,124766E-1	3,203125E+2	-1,141299E+0	3,203125E+2	3,330060E-1	3,203125E+2	-1,155596E+0	3,203125E+2	4,005066E-1	3,203125E+2	-1,348578E+0	3,203125E+2	6,580986E-1	3,203125E+2	-1,514608E+0	3,203125E+2	1,241228E+0	3,203125E+2	-2,099153E+0	3,203125E+2	1,455671E+0	3,203125E+2	-2,487908E+0	3,203125E+2	3,284586E-1	3,203125E+2	-1,094549E+0	3,203125E+2	3,242969E-1	3,203125E+2	-1,095348E+0	3,203125E+2	3,485255E-1	3,203125E+2	-1,122083E+0	3,203125E+2	4,580875E-1	3,203125E+2	-1,243360E+0	3,203125E+2	7,583636E-1	3,203125E+2	-1,511231E+0	3,203125E+2	9,441442E-1	3,203125E+2	-1,714389E+0
3,218750E+2	3,174568E-1	3,218750E+2	-1,147872E+0	3,218750E+2	3,375027E-1	3,218750E+2	-1,160529E+0	3,218750E+2	4,019170E-1	3,218750E+2	-1,329095E+0	3,218750E+2	6,607477E-1	3,218750E+2	-1,504440E+0	3,218750E+2	1,225243E+0	3,218750E+2	-2,065635E+0	3,218750E+2	1,452026E+0	3,218750E+2	-2,466222E+0	3,218750E+2	3,321467E-1	3,218750E+2	-1,096453E+0	3,218750E+2	3,284609E-1	3,218750E+2	-1,098620E+0	3,218750E+2	3,530123E-1	3,218750E+2	-1,124951E+0	3,218750E+2	4,639458E-1	3,218750E+2	-1,243577E+0	3,218750E+2	7,619972E-1	3,218750E+2	-1,501061E+0	3,218750E+2	9,498339E-1	3,218750E+2	-1,707434E+0
3,234375E+2	3,227402E-1	3,234375E+2	-1,154361E+0	3,234375E+2	3,423801E-1	3,234375E+2	-1,166429E+0	3,234375E+2	4,025354E-1	3,234375E+2	-1,303515E+0	3,234375E+2	6,653079E-1	3,234375E+2	-1,498692E+0	3,234375E+2	1,206058E+0	3,234375E+2	-2,028315E+0	3,234375E+2	1,448649E+0	3,234375E+2	-2,442283E+0	3,234375E+2	3,359058E-1	3,234375E+2	-1,093104E+0	3,234375E+2	3,324181E-1	3,234375E+2	-1,096758E+0	3,234375E+2	3,569131E-1	3,234375E+2	-1,122431E+0	3,234375E+2	4,697880E-1	3,234375E+2	-1,241015E+0	3,234375E+2	7,685615E-1	3,234375E+2	-1,495189E+0	3,234375E+2	9,558012E-1	3,234375E+2	-1,700986E+0
3,250000E+2	3,280667E-1	3,250000E+2	-1,160968E+0	3,250000E+2	3,472874E-1	3,250000E+2	-1,172444E+0	3,250000E+2	4,028088E-1	3,250000E+2	-1,278270E+0	3,250000E+2	6,696554E-1	3,250000E+2	-1,492944E+0	3,250000E+2	1,186046E+0	3,250000E+2	-1,991367E+0	3,250000E+2	1,444041E+0	3,250000E+2	-2,418196E+0	3,250000E+2	3,395741E-1	3,250000E+2	-1,089835E+0	3,250000E+2	3,363037E-1	3,250000E+2	-1,094973E+0	3,250000E+2	3,607304E-1	3,250000E+2	-1,119985E+0	3,250000E+2	4,755331E-1	3,250000E+2	-1,238483E+0	3,250000E+2	7,748996E-1	3,250000E+2	-1,489292E+0	3,250000E+2	9,614437E-1	3,250000E+2	-1,694507E+0
3,265625E+2	3,334585E-1	3,265625E+2	-1,165088E+0	3,265625E+2	3,516872E-1	3,265625E+2	-1,175660E+0	3,265625E+2	4,052410E-1	3,265625E+2	-1,263126E+0	3,265625E+2	6,722007E-1	3,265625E+2	-1,484056E+0	3,265625E+2	1,175203E+0	3,265625E+2	-1,963470E+0	3,265625E+2	1,432117E+0	3,265625E+2	-2,388351E+0	3,265625E+2	3,434634E-1	3,265625E+2	-1,077892E+0	3,265625E+2	3,402989E-1	3,265625E+2	-1,084803E+0	3,265625E+2	3,645547E-1	3,265625E+2	-1,110708E+0	3,265625E+2	4,796033E-1	3,265625E+2	-1,226382E+0	3,265625E+2	7,785087E-1	3,265625E+2	-1,476847E+0	3,265625E+2	9,657435E-1	3,265625E+2	-1,685926E+0
3,281250E+2	3,388638E-1	3,281250E+2	-1,169300E+0	3,281250E+2	3,560787E-1	3,281250E+2	-1,178972E+0	3,281250E+2	4,074245E-1	3,281250E+2	-1,248139E+0	3,281250E+2	6,744856E-1	3,281250E+2	-1,475213E+0	3,281250E+2	1,163578E+0	3,281250E+2	-1,935806E+0	3,281250E+2	1,419013E+0	3,281250E+2	-2,358567E+0	3,281250E+2	3,471413E-1	3,281250E+2	-1,066111E+0	3,281250E+2	3,441084E-1	3,281250E+2	-1,074767E+0	3,281250E+2	3,682026E-1	3,281250E+2	-1,101550E+0	3,281250E+2	4,834216E-1	3,281250E+2	-1,214387E+0	3,281250E+2	7,817626E-1	3,281250E+2	-1,464450E+0	3,281250E+2	9,696775E-1	3,281250E+2	-1,677354E+0
3,296875E+2	3,440033E-1	3,296875E+2	-1,157944E+0	3,296875E+2	3,585620E-1	3,296875E+2	-1,166911E+0	3,296875E+2	4,047069E-1	3,296875E+2	-1,188220E+0	3,296875E+2	6,639019E-1	3,296875E+2	-1,439015E+0	3,296875E+2	1,158429E+0	3,296875E+2	-1,915542E+0	3,296875E+2	1,406765E+0	3,296875E+2	-2,331134E+0	3,296875E+2	3,488078E-1	3,296875E+2	-1,037211E+0	3,296875E+2	3,479608E-1	3,296875E+2	-1,042756E+0	3,296875E+2	3,708856E-1	3,296875E+2	-1,073520E+0	3,296875E+2	4,857623E-1	3,296875E+2	-1,190226E+0	3,296875E+2	7,815516E-1	3,296875E+2	-1,443265E+0	3,296875E+2	9,628861E-1	3,296875E+2	-1,654911E+0
3,312500E+2	3,489249E-1	3,312500E+2	-1,146718E+0	3,312500E+2	3,608487E-1	3,312500E+2	-1,155024E+0	3,312500E+2	4,013331E-1	3,312500E+2	-1,130713E+0	3,312500E+2	6,530356E-1	3,312500E+2	-1,403601E+0	3,312500E+2	1,152603E+0	3,312500E+2	-1,895436E+0	3,312500E+2	1,393477E+0	3,312500E+2	-2,303837E+0	3,312500E+2	3,500608E-1	3,312500E+2	-1,009031E+0	3,312500E+2	3,512553E-1	3,312500E+2	-1,011558E+0	3,312500E+2	3,731176E-1	3,312500E+2	-1,046126E+0	3,312500E+2	4,876708E-1	3,312500E+2	-1,166479E+0	3,312500E+2	7,808712E-1	3,312500E+2	-1,422328E+0	3,312500E+2	9,555842E-1	3,312500E+2	-1,632753E+0
3,328125E+2	3,464368E-1	3,328125E+2	-1,067692E+0	3,328125E+2	3,599021E-1	3,328125E+2	-1,076356E+0	3,328125E+2	4,051525E-1	3,328125E+2	-1,112913E+0	3,328125E+2	6,398325E-1	3,328125E+2	-1,345207E+0	3,328125E+2	1,147847E+0	3,328125E+2	-1,874280E+0	3,328125E+2	1,387757E+0	3,328125E+2	-2,281436E+0	3,328125E+2	3,485010E-1	3,328125E+2	-9,893979E-1	3,328125E+2	3,555485E-1	3,328125E+2	-9,882135E-1	3,328125E+2	3,773464E-1	3,328125E+2	-1,024719E+0	3,328125E+2	4,921331E-1	3,328125E+2	-1,147159E+0	3,328125E+2	7,835453E-1	3,328125E+2	-1,404616E+0	3,328125E+2	9,571682E-1	3,328125E+2	-1,619067E+0
3,343750E+2	3,430622E-1	3,343750E+2	-9,933068E-1	3,343750E+2	3,578722E-1	3,343750E+2	-1,002228E+0	3,343750E+2	4,086484E-1	3,343750E+2	-1,095414E+0	3,343750E+2	6,263891E-1	3,343750E+2	-1,289028E+0	3,343750E+2	1,142461E+0	3,343750E+2	-1,853329E+0	3,343750E+2	1,381125E+0	3,343750E+2	-2,259127E+0	3,343750E+2	3,467606E-1	3,343750E+2	-9,702544E-1	3,343750E+2	3,594076E-1	3,343750E+2	-9,654020E-1	3,343750E+2	3,811748E-1	3,343750E+2	-1,003754E+0	3,343750E+2	4,961950E-1	3,343750E+2	-1,128137E+0	3,343750E+2	7,857905E-1	3,343750E+2	-1,387086E+0	3,343750E+2	9,583361E-1	3,343750E+2	-1,605494E+0
3,359375E+2	3,456337E-1	3,359375E+2	-9,915674E-1	3,359375E+2	3,614080E-1	3,359375E+2	-1,000740E+0	3,359375E+2	4,129030E-1	3,359375E+2	-1,089094E+0	3,359375E+2	6,297518E-1	3,359375E+2	-1,276491E+0	3,359375E+2	1,133044E+0	3,359375E+2	-1,827590E+0	3,359375E+2	1,371028E+0	3,359375E+2	-2,234124E+0	3,359375E+2	3,458353E-1	3,359375E+2	-9,534228E-1	3,359375E+2	3,618785E-1	3,359375E+2	-9,485632E-1	3,359375E+2	3,850961E-1	3,359375E+2	-9,880811E-1	3,359375E+2	5,010259E-1	3,359375E+2	-1,113891E+0	3,359375E+2	7,899503E-1	3,359375E+2	-1,374309E+0	3,359375E+2	9,603554E-1	3,359375E+2	-1,593504E+0
3,375000E+2	3,481370E-1	3,375000E+2	-9,899653E-1	3,375000E+2	3,648740E-1	3,375000E+2	-9,993751E-1	3,375000E+2	4,170097E-1	3,375000E+2	-1,082905E+0	3,375000E+2	6,328291E-1	3,375000E+2	-1,264118E+0	3,375000E+2	1,123053E+0	3,375000E+2	-1,802233E+0	3,375000E+2	1,360095E+0	3,375000E+2	-2,209347E+0	3,375000E+2	3,447380E-1	3,375000E+2	-9,370334E-1	3,375000E+2	3,640699E-1	3,375000E+2	-9,321246E-1	3,375000E+2	3,887141E-1	3,375000E+2	-9,727325E-1	3,375000E+2	5,055398E-1	3,375000E+2	-1,099861E+0	3,375000E+2	7,937725E-1	3,375000E+2	-1,361659E+0	3,375000E+2	9,620048E-1	3,375000E+2	-1,581644E+0
