Sample 1_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 2_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 3_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 4_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 5_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 6_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 7_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 8_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 9_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 10_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 11_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 12_Frequency [Hz]	Absorption Coefficient on Cavity	
3,000000E+2	2,829101E-1	3,000000E+2	2,934380E-1	3,000000E+2	3,465240E-1	3,000000E+2	4,595202E-1	3,000000E+2	4,701950E-1	3,000000E+2	4,389807E-1	3,000000E+2	2,917782E-1	3,000000E+2	2,881730E-1	3,000000E+2	3,096649E-1	3,000000E+2	3,740418E-1	3,000000E+2	4,827424E-1	3,000000E+2	5,019110E-1
3,015625E+2	2,853819E-1	3,015625E+2	2,965121E-1	3,015625E+2	3,491970E-1	3,015625E+2	4,632179E-1	3,015625E+2	4,747946E-1	3,015625E+2	4,414072E-1	3,015625E+2	2,966549E-1	3,015625E+2	2,928809E-1	3,015625E+2	3,152624E-1	3,015625E+2	3,799338E-1	3,015625E+2	4,883248E-1	3,015625E+2	5,061466E-1
3,031250E+2	2,877872E-1	3,031250E+2	2,995247E-1	3,031250E+2	3,517732E-1	3,031250E+2	4,667219E-1	3,031250E+2	4,792538E-1	3,031250E+2	4,437506E-1	3,031250E+2	3,014776E-1	3,031250E+2	2,975200E-1	3,031250E+2	3,207909E-1	3,031250E+2	3,857248E-1	3,031250E+2	4,938046E-1	3,031250E+2	5,102862E-1
3,046875E+2	2,924669E-1	3,046875E+2	3,039676E-1	3,046875E+2	3,553226E-1	3,046875E+2	4,705696E-1	3,046875E+2	4,833078E-1	3,046875E+2	4,463959E-1	3,046875E+2	3,112972E-1	3,046875E+2	3,046589E-1	3,046875E+2	3,287445E-1	3,046875E+2	3,943090E-1	3,046875E+2	5,003577E-1	3,046875E+2	5,147604E-1
3,062500E+2	2,970887E-1	3,062500E+2	3,083428E-1	3,062500E+2	3,587715E-1	3,062500E+2	4,742493E-1	3,062500E+2	4,872590E-1	3,062500E+2	4,489547E-1	3,062500E+2	3,210801E-1	3,062500E+2	3,117237E-1	3,062500E+2	3,366179E-1	3,062500E+2	4,027662E-1	3,062500E+2	5,067981E-1	3,062500E+2	5,191432E-1
3,078125E+2	3,058195E-1	3,078125E+2	3,147310E-1	3,078125E+2	3,626116E-1	3,078125E+2	4,779159E-1	3,078125E+2	4,909587E-1	3,078125E+2	4,513930E-1	3,078125E+2	3,787139E-1	3,078125E+2	3,677831E-1	3,078125E+2	3,846690E-1	3,078125E+2	4,183538E-1	3,078125E+2	5,135723E-1	3,078125E+2	5,236265E-1
3,093750E+2	3,144981E-1	3,093750E+2	3,210228E-1	3,093750E+2	3,662695E-1	3,093750E+2	4,814040E-1	3,093750E+2	4,945580E-1	3,093750E+2	4,537395E-1	3,093750E+2	4,353178E-1	3,093750E+2	4,229249E-1	3,093750E+2	4,317948E-1	3,093750E+2	4,336485E-1	3,093750E+2	5,202151E-1	3,093750E+2	5,279907E-1
3,109375E+2	3,290773E-1	3,109375E+2	3,316836E-1	3,109375E+2	3,744464E-1	3,109375E+2	4,860740E-1	3,109375E+2	4,987592E-1	3,109375E+2	4,567008E-1	3,109375E+2	4,358717E-1	3,109375E+2	4,253302E-1	3,109375E+2	4,357225E-1	3,109375E+2	4,519167E-1	3,109375E+2	5,279162E-1	3,109375E+2	5,332909E-1
3,125000E+2	3,435515E-1	3,125000E+2	3,421529E-1	3,125000E+2	3,823572E-1	3,125000E+2	4,905329E-1	3,125000E+2	5,028563E-1	3,125000E+2	4,595868E-1	3,125000E+2	4,363629E-1	3,125000E+2	4,276698E-1	3,125000E+2	4,395632E-1	3,125000E+2	4,698518E-1	3,125000E+2	5,354849E-1	3,125000E+2	5,384728E-1
3,140625E+2	3,512103E-1	3,140625E+2	3,499540E-1	3,140625E+2	3,938732E-1	3,140625E+2	4,966518E-1	3,140625E+2	5,073348E-1	3,140625E+2	4,627413E-1	3,140625E+2	4,368675E-1	3,140625E+2	4,297525E-1	3,140625E+2	4,421372E-1	3,140625E+2	4,780603E-1	3,140625E+2	5,425762E-1	3,140625E+2	5,439592E-1
