Partie réelle               Partie imaginaire
612.628829592643            140335.332204407
612.618123785332            70168.3953569531
612.600337059703            46779.7397989973
612.575552318474            35085.6537639509
612.543882647978            28069.3946626572
612.505468513202            23392.0481178925
612.460474382893            20051.2221148855
612.409084934382            17545.7205407127
612.351500997278            15597.1010317397
612.287935394623            14038.2981129438
612.218608830701            12762.9973520135
612.143745957519            11700.3224359004
612.063571729548            10801.2051343774
611.978308130985            10030.5967068962
611.888171333249            9362.79474574434
611.793369315003            8778.52245205196
611.694099953909            8263.03875463513
611.590549579547            7804.87838836915
611.482891961411            7394.98984178603
611.371287693922            7026.13191973105
611.255883933131            6692.442716132
611.136814435256            6389.12613919356
611.014199846327            6112.22021226623
610.888148193283            5858.42329922073
610.758755529986            5624.96203552875
610.626106695796            5409.48973664534
610.490276149350            5210.00738221666
610.351328845467            5024.80153219505
610.209321128312            4852.39508788029
610.064301619099            4691.50790076191
609.916312081114            4541.02500548389
609.765388249137            4399.97080916854
609.611560613823            4267.48797363886
609.454855154763            4142.82002436046
609.295294018451            4025.29694076267
609.132896139462            3914.32314822763
608.967677804789            3809.36745737778
608.799653162506            3709.95459194765
608.628834676891            3615.65802010753
608.455233532767            3526.09386113259
608.278859992259            3440.91568381909
608.099723707431            3359.8100480204
607.91783399234            3282.4926683269
607.733200058087            3208.70510090966
607.545831214324            3138.21187214405
607.355737040573            3070.79798178354
607.162927530508            3006.26672489717
606.967413212148            2944.43778608231
606.769205246713            2885.14556705425
606.568315508638            2828.23771493815
606.364756649053            2773.57382371433
606.158542144785            2721.02428550658
605.94968633477            2670.46927192146
605.738204445546            2621.79782857923
605.524112607309            2574.9070684291
605.307427861897            2529.70145150005
605.088168163834            2486.09214047151
604.866352375515            2443.99642291256
604.642000257423            2403.33719227944
604.415132454187            2364.0424808155
604.185770477185            2326.0450383974
603.953936684293            2289.28195213954
603.719654257331            2253.69430222783
603.482947177641            2219.22685001985
603.243840200219            2185.82775493642
603.002358826723            2153.4483170907
602.758529277672            2122.0427429656
602.512378464069            2091.56793176689
602.26393395867            2061.98328035411
602.013223967092            2033.25050489165
601.760277298892            2005.33347757125
601.505123338763            1978.19807694063
601.247792017956            1951.81205053351
600.988313785999            1926.14488863727
600.726719582818            1901.16770815869
600.463040811284            1876.85314565771
600.197309310268            1853.1752587156
599.929557328215            1830.10943488967
599.659817497289            1807.63230758216
599.388122808093            1785.72167821838
599.114506584993            1764.35644418881
598.839002462054            1743.51653206308
598.561644359583            1723.1828356312
598.282466461302            1703.33715836983
598.001503192142            1683.962159969
597.718789196635            1665.041306589
597.43435931794            1646.55882454709
597.148248577454            1628.49965716137
596.860492155035            1610.8494245033
596.571125369799            1593.59438583287
596.280183661501            1576.72140450984
595.987702572477            1560.21791519283
595.693717730146            1544.0718931539
595.39826483005            1528.27182555122
595.101379619423            1512.80668451544
594.803097881289            1497.66590191758
594.503455419057            1482.83934569709
594.202488041614            1468.31729763858
593.900231548903            1454.09043249486
593.59672171797            1440.14979836202
593.291994289476            1426.48679821978
592.986084954644            1413.09317255714
592.679029342669            1399.96098300956
592.370863008522            1387.08259693962
592.061621421198            1374.45067289829
591.751339952358            1362.0581469085
591.44005386536            1349.8982195175
591.127798304692            1337.96434356787
590.814608285766            1326.25021264126
590.500518685089            1314.749750132
590.185564230787            1303.45709891074
589.869779493478            1292.36661154147
589.55319887749            1281.47284101739
589.235856612405            1270.77053198402
588.917786744931            1260.25461241971
588.599023131093            1249.92018574604
588.279599428725            1239.76252334236
587.959549090271            1229.77705744058
587.638905355872            1219.95937437769
587.31770124675            1210.30520818531
586.995969558866            1200.81043449672
586.673742856846            1191.47106475304
586.351053468186            1182.28324069179
586.027933477711            1173.24322910167
585.704414722284            1164.3474168287
585.380528785771            1155.59230601991
585.056306994246            1146.97450959129
584.731780411428            1138.49074690785
584.406979834355            1130.13783966427
584.081935789275            1121.91270795537
583.756678527772            1113.81236652619
583.431238023087            1105.83392119218
583.105643966661            1097.97456542068
582.779925764878            1090.23157706501
582.454112536013            1082.60231524357
582.12823310736            1075.08421735621
581.802316012568            1067.67479623109
581.476389489146            1060.37163739521
581.150481476159            1053.17239646259
580.824619612089            1046.07479663405
580.49883123288            1039.07662630318
580.173143370136            1032.17573676318
579.847582749496            1025.37004000968
579.52217578915            1018.65750663491
579.196948598526            1012.03616380874
578.871926977113            1005.50409334246
578.547136413442            999.05942983144
578.222602084197            992.700358872796
577.898348853473            986.42511535468
577.574401272167            980.23198181378
577.250783577494            974.119286857891
576.927519692634            968.085403650581
576.604633226505            962.128748455086
576.28214747365            956.247779234774
575.96008541424            950.440994307606
575.638469714199            944.706931052194
575.317322725425            939.044164663145
574.996666486126            933.451306953518
574.676522721258            927.927005202324
574.356912843057            922.469941045106
574.037857951676            917.078829405714
573.719378835906            911.752417467528
573.401495973994            906.489483682405
573.084229534548            901.28883681577
572.767599377519            896.149315026308
572.451625055275            891.06978497881
572.136325813747            886.049140988772
571.821720593651            881.08630419745
571.507828031786            876.18022177609
