Sample 1_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 2_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 3_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 4_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	
3,734375E+2	6,321341E+1	3,734375E+2	7,336777E+1	3,734375E+2	8,315743E+1	3,734375E+2	9,466185E+1
3,750000E+2	6,378881E+1	3,750000E+2	7,252163E+1	3,750000E+2	8,389596E+1	3,750000E+2	9,383119E+1
3,765625E+2	6,366223E+1	3,765625E+2	7,278665E+1	3,765625E+2	8,395145E+1	3,765625E+2	9,394201E+1
3,781250E+2	6,330863E+1	3,781250E+2	7,312346E+1	3,781250E+2	8,352589E+1	3,781250E+2	9,447269E+1
3,796875E+2	6,482724E+1	3,796875E+2	7,345549E+1	3,796875E+2	8,362956E+1	3,796875E+2	9,512270E+1
3,812500E+2	6,549396E+1	3,812500E+2	7,482781E+1	3,812500E+2	8,536218E+1	3,812500E+2	9,399249E+1
3,828125E+2	6,530209E+1	3,828125E+2	7,579834E+1	3,828125E+2	8,454451E+1	3,828125E+2	9,490294E+1
3,843750E+2	6,555650E+1	3,843750E+2	7,566329E+1	3,843750E+2	8,379563E+1	3,843750E+2	9,487656E+1
3,859375E+2	6,489746E+1	3,859375E+2	7,382268E+1	3,859375E+2	8,519272E+1	3,859375E+2	9,536313E+1
3,875000E+2	6,536049E+1	3,875000E+2	7,522163E+1	3,875000E+2	8,584565E+1	3,875000E+2	9,626006E+1
3,890625E+2	6,622189E+1	3,890625E+2	7,635933E+1	3,890625E+2	8,646953E+1	3,890625E+2	9,622978E+1
3,906250E+2	6,742261E+1	3,906250E+2	7,636611E+1	3,906250E+2	8,536475E+1	3,906250E+2	9,693123E+1
3,921875E+2	6,689228E+1	3,921875E+2	7,645518E+1	3,921875E+2	8,619559E+1	3,921875E+2	9,653410E+1
3,937500E+2	6,676544E+1	3,937500E+2	7,669747E+1	3,937500E+2	8,676196E+1	3,937500E+2	9,770917E+1
3,953125E+2	6,755261E+1	3,953125E+2	7,746167E+1	3,953125E+2	8,745531E+1	3,953125E+2	9,801699E+1
3,968750E+2	6,889742E+1	3,968750E+2	7,843634E+1	3,968750E+2	8,871012E+1	3,968750E+2	9,817299E+1
3,984375E+2	6,956869E+1	3,984375E+2	7,912298E+1	3,984375E+2	8,942099E+1	3,984375E+2	9,852577E+1
